Season,Player,Team,Position,ovr_pct,evs_pct,pkl_pct,ldg_pct,mdg_pct,hdg_pct,rbd_pct,tmd_pct,gre_pct,qal_pct,bad_pct,awf_pct,wrk_pct,ovr_rank,evs_rank,pkl_rank,ldg_rank,mdg_rank,hdg_rank,rbd_rank,tmd_rank,gre_rank,qal_rank,bad_rank,awf_rank,wrk_rank,all_players,Role,GP,TOI,SV%,GAA,xG Against,Goals Against,Player ID,Specific Position,Height (in),Weight (lbs),Date of Birth,Birth Country,Draft Year,Draft Round,Overall Draft Position,Shoots Catches,W,L,OT/SO,Shutouts,Age,ovr_history,evs_history,pkl_history,team_history
2015-2016,Al Montoya,FLA,G,35.3,33.8,55.9,61.8,20.6,47.1,20.6,66.2,5.9,30.9,20.6,72.1,25.0,45,46,31,27,55,37,55,24,65,48,55,20,52,68,Backup,25.0,1351.2333333333331,0.919407894736842,2.175790018994992,51.53701485009787,49.0,8471219,G,74.0,200.0,1985-02-13,USA,2004.0,1.0,6.0,L,12,7,3,0,30,"[15, None, 50, 16, 55]","[13, None, 47, 14, 50]","[62, None, 58, 19, 64]","['NYI', None, 'WPG', 'FLA', 'FLA']"
2015-2016,Alex Stalock,SJS,G,20.6,16.2,51.5,36.8,55.9,5.9,48.5,76.5,10.3,25.0,14.7,80.9,5.9,55,58,34,44,31,65,36,17,62,52,59,14,65,68,Backup,13.0,673.6666666666666,0.8842105263157894,2.939139040079169,25.441141267968156,33.0,8471774,G,71.0,170.0,1987-07-28,USA,2005.0,4.0,112.0,L,3,5,2,0,28,"[None, None, 65, 21, 13]","[None, None, 49, 27, 13]","[None, None, 85, 17, 48]","[None, None, 'SJS', 'SJS', 'SJS']"
2015-2016,Anders Lindback,ARI,G,4.4,10.3,14.7,20.6,13.2,13.2,52.9,39.7,14.7,4.4,8.8,35.3,17.6,66,62,59,55,60,60,33,42,59,65,63,45,57,68,Backup,19.0,906.1333333333332,0.8939051918735892,3.1121247792819307,36.755876712119566,47.0,8474765,G,78.0,215.0,1988-05-03,SWE,2008.0,7.0,207.0,L,5,7,1,0,27,"[46, 28, 23, 14, 7]","[48, 3, 43, 11, 20]","[60, 98, 4, 53, 16]","['NSH', 'TBL', 'TBL', 'BUF', 'ARI']"
2015-2016,Anders Nilsson,STL,G,13.2,29.4,19.1,19.1,7.4,77.9,57.4,4.4,7.4,1.5,100.0,98.5,33.8,60,49,56,56,64,16,30,66,64,67,1,2,46,68,Backup,29.0,1500.35,0.9011406844106464,3.1192721698270405,69.9909122169194,78.0,8475195,G,78.0,232.0,1990-03-19,SWE,2009.0,3.0,62.0,L,10,13,2,0,25,"[None, None, 47, None, 19]","[None, None, 65, None, 26]","[None, None, 20, None, 27]","[None, None, 'NYI', None, 'STL']"
2015-2016,Andrei Vasilevskiy,TBL,G,22.1,27.9,27.9,32.4,1.5,97.1,98.5,85.3,27.9,15.4,6.6,26.5,13.2,54,50,50,47,68,3,2,11,50,58,64,51,60,68,Backup,24.0,1259.3166666666666,0.9102167182662538,2.7634034330787864,49.69848200920171,58.0,8476883,G,76.0,223.0,1994-07-25,RUS,2012.0,1.0,19.0,L,11,10,0,1,21,"[None, None, None, 35, 14]","[None, None, None, 46, 25]","[None, None, None, 32, 25]","[None, None, None, 'TBL', 'TBL']"
2015-2016,Andrew Hammond,OTT,G,75.0,85.3,20.6,98.5,73.5,91.2,61.8,45.6,95.6,89.7,79.4,36.8,29.4,18,11,55,2,19,7,27,38,4,8,15,44,49,68,Backup,24.0,1382.3166666666666,0.9143258426966292,2.6477290538829745,61.51615713976079,61.0,8477202,G,74.0,215.0,1988-02-11,CAN,,,,L,7,11,4,1,27,"[None, None, None, 79, 52]","[None, None, None, 72, 86]","[None, None, None, 83, 5]","[None, None, None, 'OTT', 'OTT']"
2015-2016,Antti Niemi,DAL,G,38.2,52.9,22.1,45.6,77.9,36.8,47.1,57.4,47.1,50.0,38.2,33.8,82.4,43,33,54,38,16,44,37,30,37,35,43,46,13,68,Tandem (1A),48.0,2634.383333333333,0.9052969502407704,2.6875359824879954,114.6700077971466,118.0,8474550,G,74.0,209.0,1983-08-29,FIN,,,,L,25,13,7,3,32,"[48, 84, 28, 24, 63]","[72, 84, 26, 41, 73]","[6, 75, 32, 11, 32]","['SJS', 'SJS', 'SJS', 'SJS', 'DAL']"
2015-2016,Antti Raanta,NYR,G,63.2,55.9,61.8,76.5,92.6,51.5,66.2,51.5,51.5,82.4,75.0,76.5,16.2,26,31,27,17,6,34,24,34,34,13,18,17,58,68,Backup,25.0,1150.35,0.918867924528302,2.2427956708827748,49.85673675598949,43.0,8477293,G,72.0,195.0,1989-05-12,FIN,,,,L,11,6,2,1,26,"[None, None, 20, 56, 76]","[None, None, 17, 61, 72]","[None, None, 62, 51, 58]","[None, None, 'CHI', 'CHI', 'NYR']"
2015-2016,Ben Bishop,TBL,G,77.9,63.2,95.6,60.3,83.8,23.5,97.1,95.6,58.8,77.9,64.7,38.2,94.1,16,26,4,28,12,53,3,4,29,16,25,43,5,68,Starter,61.0,3578.95,0.9264793783622236,2.0620573073108033,127.8711621331236,123.0,8471750,G,79.0,210.0,1986-11-21,USA,2005.0,3.0,85.0,L,35,21,4,6,28,"[None, 59, 92, 61, 73]","[None, 57, 89, 30, 51]","[None, 52, 65, 91, 92]","[None, 'TBL', 'TBL', 'TBL', 'TBL']"
2015-2016,Ben Scrivens,MTL,G,11.8,14.7,33.8,80.9,51.5,16.2,58.8,26.5,4.4,8.8,17.6,25.0,42.6,61,59,46,14,34,58,29,51,66,62,57,52,40,68,Backup,15.0,821.9666666666667,0.906040268456376,3.065817754166835,36.74775889854821,42.0,8475681,G,74.0,181.0,1986-09-11,CAN,,,,L,5,8,0,0,28,"[None, 33, 86, 1, 32]","[None, 38, 82, 1, 33]","[None, 43, 88, 3, 41]","[None, 'TOR', 'EDM', 'EDM', 'MTL']"
2015-2016,Braden Holtby,WSH,G,97.1,97.1,76.5,52.9,58.8,83.8,50.0,55.9,79.4,75.0,60.3,61.8,97.1,3,3,17,33,29,12,35,31,15,18,28,27,3,68,Starter,66.0,3841.766666666667,0.9217970049916804,2.202111875612782,150.87292782456404,141.0,8474651,G,73.0,215.0,1989-09-16,CAN,2008.0,4.0,93.0,L,48,9,7,3,25,"[None, 78, 82, 93, 92]","[None, 77, 91, 87, 94]","[None, 59, 11, 96, 51]","[None, 'WSH', 'WSH', 'WSH', 'WSH']"
