Season,Player,Team,Position,ovr_pct,evs_pct,pkl_pct,ldg_pct,mdg_pct,hdg_pct,rbd_pct,tmd_pct,gre_pct,qal_pct,bad_pct,awf_pct,wrk_pct,ovr_rank,evs_rank,pkl_rank,ldg_rank,mdg_rank,hdg_rank,rbd_rank,tmd_rank,gre_rank,qal_rank,bad_rank,awf_rank,wrk_rank,all_players,Role,GP,TOI,SV%,GAA,xG Against,Goals Against,Player ID,Specific Position,Height (in),Weight (lbs),Date of Birth,Birth Country,Draft Year,Draft Round,Overall Draft Position,Shoots Catches,W,L,OT/SO,Shutouts,Age,ovr_history,evs_history,pkl_history,team_history
2015-2016,Brian Elliott,STL,G,89.7,83.8,88.2,51.5,85.3,70.6,86.8,77.9,97.1,85.3,70.6,67.6,55.9,8,12,9,34,11,21,10,16,3,11,21,23,31,68,Tandem (1A),42.0,2262.7,0.9299820466786356,2.0683254518937555,98.66941804656896,78.0,8470880,G,74.0,221.0,1985-04-09,CAN,2003.0,9.0,291.0,L,23,8,6,4,30,"[94, 40, 62, 58, 97]","[91, 52, 53, 56, 95]","[87, 19, 76, 64, 98]","['STL', 'STL', 'STL', 'STL', 'STL']"
2015-2016,Calvin Pickard,COL,G,79.4,73.5,80.9,95.6,14.7,100.0,4.4,1.5,88.2,100.0,95.6,97.1,7.4,15,19,14,4,59,1,66,68,9,1,4,3,64,68,Backup,20.0,980.4333333333332,0.922077922077922,2.5702920477339957,50.421371534484415,42.0,8475717,G,73.0,206.0,1992-04-15,CAN,2010.0,2.0,49.0,L,7,6,1,1,23,"[None, None, None, 66, 88]","[None, None, None, 74, 63]","[None, None, None, 22, 97]","[None, None, None, 'COL', 'COL']"
2015-2016,Cam Talbot,EDM,G,85.3,79.4,91.2,64.7,66.2,80.9,41.2,14.7,98.5,88.2,77.9,91.2,63.2,11,15,7,25,24,14,41,59,2,9,16,7,26,68,Starter,56.0,3176.8166666666666,0.9169193450576106,2.587495868505685,149.3104620267144,137.0,8475660,G,75.0,202.0,1987-07-05,CAN,,,,L,21,27,5,3,28,"[None, None, 91, 88, 60]","[None, None, 83, 93, 35]","[None, None, 92, 82, 91]","[None, None, 'NYR', 'NYR', 'EDM']"
2015-2016,Cam Ward,CAR,G,36.8,39.7,36.8,66.2,22.1,52.9,75.0,44.1,61.8,32.4,22.1,22.1,73.5,44,42,44,24,54,33,18,39,27,47,54,54,19,68,Starter,52.0,3031.016666666667,0.9091586001489204,2.415031260138237,120.3012353421103,122.0,8470320,G,73.0,194.0,1984-02-29,CAN,2002.0,1.0,25.0,L,23,17,10,1,31,"[89, 36, 32, 43, 38]","[93, 50, 40, 29, 52]","[72, 26, 19, 77, 33]","['CAR', 'CAR', 'CAR', 'CAR', 'CAR']"
2015-2016,Carter Hutton,NSH,G,25.0,20.6,52.9,70.6,26.5,25.0,79.4,82.4,30.9,17.6,10.3,66.2,20.6,52,55,33,21,51,52,15,13,48,57,62,24,55,68,Backup,17.0,978.9,0.918103448275862,2.32914495862703,38.55900888026072,38.0,8475622,G,72.0,211.0,1985-12-19,CAN,,,,L,7,5,4,2,29,"[None, None, 7, 22, 47]","[None, None, 19, 17, 36]","[None, None, 14, 46, 66]","[None, None, 'NSH', 'NSH', 'NSH']"
2015-2016,Chad Johnson,BUF,G,50.0,51.5,42.6,33.8,70.6,41.2,27.9,38.2,45.6,98.5,88.2,83.8,47.1,35,34,40,46,21,41,50,43,38,2,9,12,37,68,Tandem (1A),45.0,2591.0833333333335,0.9205246913580248,2.3851027562473868,111.09416579888756,103.0,8473434,G,75.0,197.0,1986-06-10,CAN,2006.0,5.0,125.0,L,22,16,4,1,29,"[None, None, 83, 6, 69]","[None, None, 79, 12, 66]","[None, None, 71, 4, 57]","[None, None, 'BOS', 'BUF', 'BUF']"
2015-2016,Connor Hellebuyck,WPG,G,61.8,86.8,2.9,94.1,98.5,79.4,36.8,67.6,100.0,67.6,52.9,82.4,32.4,27,10,67,5,2,15,44,23,1,23,33,13,47,68,Backup,26.0,1433.4666666666667,0.91800878477306,2.3439680029764673,60.291900623469424,56.0,8476945,G,76.0,207.0,1993-05-19,USA,2012.0,5.0,130.0,L,13,11,1,2,22,"[None, None, None, None, 61]","[None, None, None, None, 83]","[None, None, None, None, 11]","[None, None, None, None, 'WPG']"
2015-2016,Corey Crawford,CHI,G,88.2,94.1,44.1,67.6,67.6,72.1,17.6,52.9,64.7,83.8,69.1,63.2,88.2,9,5,39,23,23,20,57,33,25,12,22,26,9,68,Starter,58.0,3322.65,0.9237929028504944,2.365581689314252,141.92747246737665,131.0,8470645,G,74.0,216.0,1984-12-31,CAN,2003.0,2.0,52.0,L,35,18,5,7,30,"[5, 86, 53, 82, 94]","[32, 87, 68, 90, 91]","[3, 68, 22, 40, 54]","['CHI', 'CHI', 'CHI', 'CHI', 'CHI']"
2015-2016,Cory Schneider,NJD,G,98.5,91.2,100.0,14.7,72.1,75.0,94.1,91.2,82.4,80.9,67.6,95.6,89.7,2,7,1,59,20,18,5,7,13,14,23,4,8,68,Starter,58.0,3409.766666666667,0.9236067626800252,2.1467744615956126,136.09076424603023,122.0,8471239,G,75.0,214.0,1986-03-18,USA,2004.0,1.0,26.0,L,27,25,6,4,29,"[91, 82, 85, 96, 89]","[77, 70, 56, 95, 82]","[100, 89, 100, 95, 72]","['VAN', 'VAN', 'NJD', 'NJD', 'NJD']"
2015-2016,Craig Anderson,OTT,G,27.9,50.0,5.9,89.7,44.1,39.7,30.9,32.4,73.5,48.5,36.8,47.1,75.0,50,35,65,8,39,42,48,47,19,36,44,37,18,68,Starter,60.0,3476.4166666666665,0.9159268929503916,2.778723302250881,155.65003399054328,161.0,8467950,G,74.0,187.0,1981-05-21,USA,2001.0,3.0,73.0,L,31,23,5,4,34,"[63, 89, 11, 67, 22]","[67, 75, 55, 71, 39]","[41, 96, 1, 59, 14]","['OTT', 'OTT', 'OTT', 'OTT', 'OTT']"
2015-2016,Curtis McElhinney,CBJ,G,17.6,4.4,83.8,17.6,33.8,4.4,7.4,33.8,13.2,36.8,25.0,30.9,23.5,57,66,12,57,46,66,64,46,60,44,52,48,53,68,Backup,18.0,835.9333333333333,0.8896882494004796,3.301698700055826,42.40554498593787,46.0,8470147,G,73.0,210.0,1983-05-23,CAN,2002.0,6.0,176.0,L,2,7,3,0,32,"[None, None, 6, 51, 23]","[None, None, 9, 19, 11]","[None, None, 31, 87, 82]","[None, None, 'CBJ', 'CBJ', 'CBJ']"
2015-2016,Darcy Kuemper,MIN,G,16.2,13.2,50.0,42.6,11.8,27.9,89.7,83.8,55.9,27.9,16.2,10.3,26.5,58,60,35,40,61,50,8,12,31,50,58,62,51,68,Backup,21.0,1063.4,0.9151873767258384,2.4261801767914233,41.321110899040136,43.0,8475311,G,77.0,215.0,1990-05-05,CAN,2009.0,6.0,161.0,L,6,7,5,2,25,"[None, None, 29, 8, 42]","[None, None, 35, 4, 30]","[None, None, 10, 33, 75]","[None, None, 'MIN', 'MIN', 'MIN']"
2015-2016,Devan Dubnyk,MIN,G,44.1,67.6,16.2,29.4,60.3,42.6,73.5,86.8,22.1,10.3,89.7,92.6,83.8,39,23,58,49,28,40,19,10,54,61,8,6,12,68,Starter,67.0,3841.1666666666665,0.9179879715691636,2.343038139454159,143.49069249189566,150.0,8471227,G,78.0,224.0,1986-05-04,CAN,2004.0,1.0,14.0,L,32,26,6,5,29,"[79, 94, 17, 80, 26]","[87, 89, 6, 83, 69]","[8, 100, 80, 71, 1]","['EDM', 'EDM', 'NSH', 'MIN', 'MIN']"
2015-2016,Eddie Lack,CAR,G,73.5,57.4,82.4,79.4,42.6,50.0,10.3,8.8,85.3,69.1,54.4,17.6,51.5,19,30,13,15,40,35,62,63,11,22,32,57,34,68,Tandem (1B),34.0,1921.35,0.9010989010989012,2.810523850417675,86.89735090517324,90.0,8475663,G,76.0,187.0,1988-01-05,SWE,,,,L,12,14,6,2,27,"[None, None, 58, 77, 57]","[None, None, 64, 67, 44]","[None, None, 44, 85, 77]","[None, None, 'VAN', 'VAN', 'CAR']"
2015-2016,Frederik Andersen,ANA,G,80.9,70.6,89.7,16.2,88.2,55.9,69.1,58.8,60.3,79.4,66.2,77.9,60.3,14,21,8,58,9,31,22,29,28,15,24,16,28,68,Tandem (1A),43.0,2297.9333333333334,0.9189686924493554,2.2977167889988106,94.22949922597375,88.0,8475883,G,76.0,229.0,1989-10-02,DNK,2012.0,3.0,87.0,L,22,9,7,3,25,"[None, None, 80, 74, 85]","[None, None, 73, 53, 70]","[None, None, 82, 90, 85]","[None, None, 'ANA', 'ANA', 'ANA']"
2015-2016,Garret Sparks,TOR,G,2.9,2.9,17.6,55.9,29.4,1.5,14.7,69.1,11.8,2.9,1.5,4.4,4.4,67,67,57,31,49,68,59,22,61,66,67,66,66,68,Backup,17.0,974.95,0.8925438596491229,3.015539258423509,37.02804900230049,49.0,8476343,G,75.0,220.0,1993-06-28,USA,2011.0,7.0,190.0,L,6,9,1,1,22,"[None, None, None, None, 5]","[None, None, None, None, 5]","[None, None, None, None, 23]","[None, None, None, None, 'TOR']"
2015-2016,Henrik Lundqvist,NYR,G,100.0,100.0,30.9,85.3,95.6,88.2,32.4,7.4,91.2,97.1,86.8,88.2,91.2,1,1,48,11,4,9,47,64,7,3,10,9,7,68,Starter,65.0,3772.366666666667,0.9197530864197532,2.4812010143941468,179.2983909386568,156.0,8468685,G,73.0,182.0,1982-03-02,SWE,2000.0,7.0,205.0,L,35,21,7,4,33,"[100, 100, 98, 85, 100]","[100, 100, 100, 91, 100]","[98, 21, 70, 69, 8]","['NYR', 'NYR', 'NYR', 'NYR', 'NYR']"
2015-2016,Jacob Markstrom,VAN,G,51.5,36.8,73.5,30.9,27.9,54.4,1.5,2.9,69.1,66.2,94.1,41.2,38.2,34,44,19,48,50,32,68,67,22,24,5,41,43,68,Backup,32.0,1847.4333333333336,0.9155206286836935,2.79306425130361,90.63085942314886,86.0,8474593,G,78.0,207.0,1990-01-31,SWE,2008.0,2.0,31.0,L,13,14,4,0,25,"[None, 5, 16, None, 67]","[None, 15, 13, None, 55]","[None, 1, 50, None, 79]","[None, 'FLA', 'VAN', None, 'VAN']"
2015-2016,Jake Allen,STL,G,70.6,48.5,79.4,86.8,25.0,57.4,77.9,92.6,39.7,61.8,48.5,39.7,58.8,21,36,15,10,52,30,16,6,42,27,36,42,29,68,Tandem (1A),47.0,2583.0666666666666,0.9199048374306106,2.346048624374129,105.13738390746816,101.0,8474596,G,74.0,197.0,1990-08-07,CAN,2008.0,2.0,34.0,L,26,15,3,6,25,"[None, 49, None, 41, 72]","[None, 35, None, 43, 57]","[None, 71, None, 56, 88]","[None, 'STL', None, 'STL', 'STL']"
2015-2016,James Reimer,SJS,G,33.8,61.8,13.2,10.3,23.5,86.8,67.6,19.1,35.3,7.4,97.1,32.4,50.0,46,27,60,62,53,10,23,56,45,63,3,47,35,68,Tandem (1B),40.0,2290.45,0.9219858156028368,2.3052238643061407,89.11864156745837,88.0,8473503,G,74.0,200.0,1988-03-15,CAN,2006.0,4.0,99.0,L,17,14,7,3,27,"[8, 75, 31, 19, 58]","[31, 49, 46, 16, 80]","[5, 94, 7, 45, 10]","['TOR', 'TOR', 'TOR', 'TOR', 'SJS']"
2015-2016,Jaroslav Halak,NYI,G,95.6,92.6,92.6,63.2,69.1,76.5,26.5,17.6,89.7,52.9,91.2,85.3,69.1,4,6,6,26,22,17,51,57,8,33,7,11,22,68,Tandem (1B),36.0,2091.016666666667,0.91869918699187,2.295534070348554,89.53035880986316,80.0,8470860,G,71.0,189.0,1985-05-13,SVK,2003.0,9.0,271.0,L,18,13,4,3,30,"[93, 35, 70, 95, 91]","[94, 36, 38, 96, 75]","[56, 49, 95, 66, 94]","['STL', 'STL', 'WSH', 'NYI', 'NYI']"
2015-2016,Jeff Zatkoff,PIT,G,14.7,5.9,75.0,2.9,82.4,2.9,80.9,97.1,2.9,76.5,63.2,14.7,2.9,59,65,18,67,13,67,14,3,67,17,26,59,67,68,Backup,14.0,731.4666666666667,0.9166666666666666,2.7889172438935472,28.959706654255932,34.0,8473553,G,74.0,186.0,1987-06-09,USA,2006.0,3.0,74.0,L,4,7,1,0,28,"[None, None, 35, None, 25]","[None, None, 25, None, 14]","[None, None, 74, None, 73]","[None, None, 'PIT', None, 'PIT']"
2015-2016,Jhonas Enroth,LAK,G,42.6,58.8,25.0,39.7,36.8,92.6,22.1,25.0,42.6,33.8,92.6,48.5,35.3,40,29,52,42,44,6,54,52,40,46,6,36,45,68,Backup,16.0,856.3,0.9223057644110276,2.172135933668107,34.584484398018446,31.0,8473523,G,70.0,175.0,1988-06-25,SWE,2006.0,2.0,46.0,L,7,5,1,2,27,"[53, 52, 71, 17, 54]","[60, 47, 67, 33, 61]","[46, 57, 56, 6, 29]","['BUF', 'BUF', 'BUF', 'DAL', 'LAK']"
2015-2016,Jimmy Howard,DET,G,48.5,45.6,54.4,97.1,32.4,35.3,35.3,54.4,38.2,22.1,13.2,54.4,66.2,36,38,32,3,47,45,45,32,43,54,60,32,24,68,Tandem (1B),37.0,1976.95,0.906026557711951,2.792179873036748,86.49264228773752,92.0,8470657,G,73.0,218.0,1984-03-26,USA,2003.0,2.0,64.0,L,14,14,5,2,31,"[82, 98, 41, 48, 50]","[82, 98, 58, 51, 38]","[63, 54, 23, 38, 69]","['DET', 'DET', 'DET', 'DET', 'DET']"
2015-2016,John Gibson,ANA,G,67.6,30.9,97.1,88.2,64.7,11.8,95.6,94.1,36.8,55.9,42.6,70.6,45.6,23,48,3,9,25,61,4,5,44,31,40,21,38,68,Tandem (1B),40.0,2294.6666666666665,0.9204431017119838,2.065659500290529,82.70971494113094,79.0,8476434,G,75.0,209.0,1993-07-14,USA,2011.0,2.0,39.0,L,21,13,4,4,22,"[None, None, None, 25, 80]","[None, None, None, 37, 32]","[None, None, None, 21, 100]","[None, None, None, 'ANA', 'ANA']"
2015-2016,Jonas Gustavsson,BOS,G,7.4,7.4,38.2,7.4,16.2,17.6,5.9,63.2,23.5,13.2,4.4,20.6,27.9,64,64,43,64,58,57,65,26,53,59,65,55,50,68,Backup,24.0,1258.4666666666667,0.9085072231139648,2.7175928378449967,51.19659743136456,57.0,8475361,G,76.0,201.0,1984-10-24,SWE,,,,L,11,9,1,1,30,"[12, None, 14, None, 16]","[10, None, 14, None, 19]","[48, None, 47, None, 44]","['TOR', None, 'DET', None, 'BOS']"
2015-2016,Jonas Hiller,CGY,G,8.8,26.5,10.3,26.5,8.8,29.4,60.3,47.1,32.4,11.8,2.9,1.5,52.9,63,51,62,51,63,49,28,37,47,60,66,68,33,68,Backup,26.0,1350.8666666666666,0.8792048929663608,3.508858510585797,59.28461960806326,79.0,8473972,G,74.0,191.0,1982-02-12,CHE,,,,R,9,11,1,1,33,"[43, 71, 76, 59, 1]","[43, 91, 74, 77, 1]","[53, 3, 28, 8, 13]","['ANA', 'ANA', 'ANA', 'CGY', 'CGY']"
2015-2016,Jonathan Bernier,TOR,G,52.9,32.4,85.3,13.2,2.9,73.5,39.7,11.8,80.9,35.3,23.5,5.9,72.1,33,47,11,60,67,19,42,61,14,45,53,65,20,68,Tandem (1B),38.0,2146.766666666667,0.90754039497307,2.8787478844153216,90.63144183838666,103.0,8473541,G,72.0,185.0,1988-08-07,CAN,2006.0,1.0,11.0,L,12,21,3,3,27,"[37, 61, 89, 71, 17]","[22, 68, 86, 62, 7]","[69, 38, 67, 79, 86]","['LAK', 'LAK', 'TOR', 'TOR', 'TOR']"
2015-2016,Jonathan Quick,LAK,G,94.1,95.6,67.6,38.2,47.1,82.4,72.1,88.2,83.8,72.1,57.4,86.8,100.0,5,4,23,43,37,13,20,9,12,20,30,10,1,68,Starter,68.0,4034.483333333333,0.918131868131868,2.2158971202425755,163.524035599856,149.0,8471734,G,73.0,219.0,1986-01-21,USA,2005.0,3.0,72.0,L,40,23,5,5,29,"[96, 15, 74, 83, 95]","[96, 8, 85, 88, 92]","[86, 84, 16, 58, 80]","['LAK', 'LAK', 'LAK', 'LAK', 'LAK']"
2015-2016,Joni Ortio,CGY,G,39.7,42.6,39.7,25.0,79.4,58.8,25.0,16.2,26.5,73.5,58.8,58.8,19.1,42,40,42,52,15,29,52,58,51,19,29,29,56,68,Backup,22.0,1195.55,0.9024822695035462,2.76023587470202,52.42182085452867,55.0,8475299,G,73.0,190.0,1991-04-16,FIN,2009.0,6.0,171.0,L,7,9,5,1,24,"[None, None, None, None, 44]","[None, None, None, None, 47]","[None, None, None, None, 47]","[None, None, None, None, 'CGY']"
2015-2016,Joonas Korpisalo,CBJ,G,82.4,89.7,48.5,11.8,91.2,94.1,13.2,5.9,77.9,92.6,82.4,73.5,41.2,13,8,36,61,7,5,60,65,16,6,13,19,41,68,Backup,31.0,1802.55,0.9195046439628484,2.596321877340434,84.03359146626708,78.0,8476914,G,76.0,200.0,1994-04-28,FIN,2012.0,3.0,62.0,L,16,11,4,0,21,"[None, None, None, None, 86]","[None, None, None, None, 88]","[None, None, None, None, 50]","[None, None, None, None, 'CBJ']"
2015-2016,Kari Lehtonen,DAL,G,54.4,41.2,72.1,47.1,30.9,44.1,29.4,13.2,54.4,42.6,30.9,27.9,77.9,32,41,20,37,48,39,49,60,32,40,48,50,16,68,Tandem (1A),43.0,2279.1833333333334,0.9063336306868868,2.7641479769800585,100.44753716247608,105.0,8470140,G,76.0,209.0,1983-11-16,FIN,2002.0,1.0,2.0,L,25,10,2,2,31,"[62, 91, 95, 32, 27]","[39, 86, 97, 32, 17]","[75, 82, 73, 50, 76]","['DAL', 'DAL', 'DAL', 'DAL', 'DAL']"
2015-2016,Karri Ramo,CGY,G,26.5,25.0,41.2,44.1,76.5,14.7,42.6,27.9,19.1,51.5,39.7,44.1,48.5,51,52,41,39,17,59,40,50,56,34,42,39,36,68,Tandem (1B),37.0,2144.633333333333,0.9090909090909092,2.62982017128025,86.51674082778604,94.0,8471403,G,74.0,206.0,1986-07-01,FIN,2004.0,6.0,191.0,L,17,18,1,1,29,"[None, None, 34, 40, 20]","[None, None, 37, 35, 23]","[None, None, 25, 67, 39]","[None, None, 'CGY', 'CGY', 'CGY']"
2015-2016,Keith Kinkaid,NJD,G,10.3,11.8,32.4,48.5,19.1,22.1,100.0,72.1,16.2,47.1,35.3,7.4,14.7,62,61,47,36,56,54,1,20,58,37,45,64,59,68,Backup,23.0,1239.9833333333331,0.9041322314049588,2.8064893345340662,49.13067860236548,58.0,8476234,G,74.0,195.0,1989-07-04,USA,,,,L,9,9,1,2,26,"[None, None, None, 33, 8]","[None, None, None, 58, 2]","[None, None, None, 9, 52]","[None, None, None, 'NJD', 'NJD']"
2015-2016,Linus Ullmark,BUF,G,23.5,22.1,35.3,100.0,54.4,7.4,23.5,42.6,8.8,15.4,6.6,16.2,11.8,53,54,45,1,32,64,53,40,63,58,64,58,61,68,Backup,20.0,1130.6666666666667,0.9159663865546218,2.6533018867924527,44.829219497862226,50.0,8476999,G,76.0,223.0,1993-07-31,SWE,2012.0,6.0,163.0,L,8,10,2,0,22,"[None, None, None, None, 29]","[None, None, None, None, 29]","[None, None, None, None, 42]","[None, None, None, None, 'BUF']"
2015-2016,Louis Domingue,ARI,G,41.2,72.1,4.4,22.1,100.0,33.8,11.8,30.9,50.0,86.8,73.5,13.2,54.4,41,20,66,54,1,46,61,48,35,10,19,60,32,68,Tandem (1B),39.0,2206.0666666666666,0.9116360454943132,2.746970475355837,94.79034414799106,101.0,8475839,G,75.0,207.0,1992-03-06,CAN,2010.0,5.0,138.0,R,15,18,5,2,23,"[None, None, None, None, 45]","[None, None, None, None, 67]","[None, None, None, None, 19]","[None, None, None, None, 'ARI']"
2015-2016,Marc-Andre Fleury,PIT,G,86.8,75.0,94.1,57.4,39.7,60.3,63.2,80.9,72.1,60.3,47.1,60.3,95.6,10,18,5,30,42,28,26,14,20,28,37,28,4,68,Starter,58.0,3462.55,0.9207207207207208,2.287331590879554,133.45856570589154,132.0,8470594,G,74.0,185.0,1984-11-28,CAN,2003.0,1.0,1.0,L,35,17,6,5,30,"[60, 66, 38, 91, 79]","[19, 71, 20, 80, 77]","[96, 40, 97, 98, 45]","['PIT', 'PIT', 'PIT', 'PIT', 'PIT']"
2015-2016,Martin Jones,SJS,G,64.7,60.3,57.4,41.2,63.2,66.2,76.5,89.7,94.1,44.1,32.4,52.9,57.4,25,28,30,41,26,24,17,8,5,39,47,33,30,68,Starter,65.0,3781.3333333333335,0.9173789173789174,2.3007757404795486,146.27408418178712,145.0,8474889,G,77.0,203.0,1990-01-10,CAN,,,,L,37,23,4,6,25,"[None, None, 79, 27, 66]","[None, None, 77, 38, 58]","[None, None, 52, 25, 70]","[None, None, 'LAK', 'LAK', 'SJS']"
2015-2016,Matt Murray,PIT,G,45.6,38.2,60.3,1.5,41.2,95.6,51.5,100.0,17.6,94.1,83.8,94.1,1.5,38,43,28,68,41,4,34,1,57,5,12,5,68,68,Backup,13.0,749.1666666666666,0.9295774647887324,2.0022246941045605,27.983093860482303,25.0,8476899,G,77.0,220.0,1994-05-25,CAN,2012.0,3.0,83.0,L,9,2,1,1,21,"[None, None, None, None, 48]","[None, None, None, None, 41]","[None, None, None, None, 60]","[None, None, None, None, 'PIT']"
