Season,Player ID,Player,Team,Position,ovr_pct,evs_pct,pkl_pct,ldg_pct,mdg_pct,hdg_pct,rbd_pct,tmd_pct,gre_pct,qal_pct,bad_pct,awf_pct,wrk_pct,ovr_rank,evs_rank,pkl_rank,ldg_rank,mdg_rank,hdg_rank,rbd_rank,tmd_rank,gre_rank,qal_rank,bad_rank,awf_rank,wrk_rank,all_players,Role,GP,TOI,SV%,GAA,xG Against,Goals Against,Specific Position,Height (in),Weight (lbs),Date of Birth,Birth Country,Draft Year,Draft Round,Overall Draft Position,Shoots Catches,W,L,OT/SO,Shutouts,Age,ovr_history,evs_history,pkl_history,team_history
2014-2015,8471219,Al Montoya,FLA,G,14.5,14.5,38.7,72.6,3.2,51.6,3.2,38.7,6.5,24.2,24.2,27.4,19.4,54,54,39,18,61,31,61,39,59,48,48,45,51,62,Backup,20.0,956.9333333333332,0.891832229580574,3.072314337466908,39.09684587974179,49.0,G,74.0,200.0,1985-02-13,USA,2004.0,1.0,6.0,L,6,7,2,0,29,"[83, 15, None, 50, 14]","[82, 13, None, 46, 14]","[79, 62, None, 58, 19]","['NYI', 'NYI', None, 'WPG', 'FLA']"
2014-2015,8471774,Alex Stalock,SJS,G,32.3,29.0,51.6,87.1,80.6,8.1,22.6,67.7,19.4,29.0,29.0,95.2,21.0,43,45,31,9,13,58,49,21,51,45,45,4,50,62,Backup,22.0,1236.5,0.9023508137432188,2.6202992317023854,49.45969125703879,54.0,G,71.0,170.0,1987-07-28,USA,2005.0,4.0,112.0,L,8,9,2,2,27,"[None, None, None, 67, 21]","[None, None, None, 50, 27]","[None, None, None, 85, 17]","[None, None, None, 'SJS', 'SJS']"
2014-2015,8474765,Anders Lindback,BUF,G,8.1,11.3,37.1,22.6,75.8,3.2,83.9,43.5,4.8,1.6,1.6,21.0,27.4,58,56,40,49,16,61,11,36,60,62,62,49,46,62,Backup,26.0,1407.9666666666667,0.9105882352941176,3.238713037713961,64.21191097843482,76.0,G,78.0,215.0,1988-05-03,SWE,2008.0,7.0,207.0,L,6,16,2,0,26,"[40, 46, 28, 23, 16]","[56, 50, 3, 43, 11]","[21, 58, 98, 4, 56]","['NSH', 'NSH', 'TBL', 'TBL', 'BUF']"
2014-2015,8476883,Andrei Vasilevskiy,TBL,G,40.3,45.2,40.3,6.5,1.6,98.4,82.3,71.0,48.4,12.9,12.9,76.6,3.2,38,35,38,59,62,2,12,19,33,55,55,15,61,62,Backup,16.0,864.1166666666667,0.9180722891566264,2.3607923312824273,32.074619092337414,34.0,G,76.0,223.0,1994-07-25,RUS,2012.0,1.0,19.0,L,7,5,1,1,20,"[None, None, None, None, 33]","[None, None, None, None, 46]","[None, None, None, None, 32]","[None, None, None, None, 'TBL']"
2014-2015,8477202,Andrew Hammond,OTT,G,87.1,79.0,95.2,98.4,64.5,90.3,74.2,66.1,100.0,98.4,98.4,45.2,29.0,9,14,4,2,23,7,17,22,1,2,2,34,45,62,Backup,24.0,1410.9833333333331,0.9405940594059404,1.7859884950212026,55.84164410588204,42.0,G,74.0,215.0,1988-02-11,CAN,,,,L,20,1,2,3,26,"[None, None, None, None, 79]","[None, None, None, None, 72]","[None, None, None, None, 83]","[None, None, None, None, 'OTT']"
2014-2015,8471418,Anton Khudobin,CAR,G,62.9,51.6,75.8,69.4,72.6,33.9,19.4,14.5,58.1,77.4,77.4,66.1,43.5,24,31,16,20,18,42,51,54,27,15,15,21,36,62,Tandem (1B),34.0,1900.35,0.9005714285714286,2.7468624200805114,84.39184246442804,87.0,G,71.0,210.0,1986-05-07,KAZ,2004.0,7.0,206.0,L,8,17,6,1,28,"[None, None, 50, 94, 50]","[None, None, 26, 94, 37]","[None, None, 91, 67, 69]","[None, None, 'BOS', 'CAR', 'CAR']"
2014-2015,8474550,Antti Niemi,SJS,G,22.6,35.5,14.5,64.5,54.8,17.7,37.1,72.6,32.3,40.3,40.3,40.3,95.2,49,41,54,23,29,52,40,18,43,38,38,37,4,62,Starter,61.0,3566.766666666667,0.9144119271120928,2.6074035307421286,146.86587985690767,155.0,G,74.0,209.0,1983-08-29,FIN,,,,L,31,23,7,5,31,"[61, 48, 84, 28, 24]","[71, 75, 84, 25, 43]","[32, 6, 70, 31, 11]","['SJS', 'SJS', 'SJS', 'SJS', 'SJS']"
2014-2015,8477293,Antti Raanta,CHI,G,35.5,22.6,58.1,12.9,67.7,64.5,87.1,69.4,24.2,61.3,61.3,79.0,12.9,41,49,27,55,21,23,9,20,48,25,25,14,55,62,Backup,14.0,795.0,0.93573264781491,1.8867924528301887,29.179356438301248,25.0,G,72.0,195.0,1989-05-12,FIN,,,,L,7,4,1,2,25,"[None, None, None, 22, 54]","[None, None, None, 17, 58]","[None, None, None, 62, 50]","[None, None, None, 'CHI', 'CHI']"
2014-2015,8471750,Ben Bishop,TBL,G,71.0,56.5,88.7,80.6,58.1,35.5,72.6,79.0,64.5,67.7,67.7,59.7,83.9,19,28,8,13,27,41,18,14,23,21,21,25,11,62,Starter,62.0,3498.3333333333335,0.9160493827160494,2.3325393044306812,129.13317370589542,136.0,G,79.0,210.0,1986-11-21,USA,2005.0,3.0,85.0,L,40,13,5,4,27,"[None, None, 59, 92, 59]","[None, None, 57, 89, 29]","[None, None, 52, 65, 90]","[None, None, 'TBL', 'TBL', 'TBL']"
2014-2015,8475681,Ben Scrivens,EDM,G,4.8,3.2,27.4,21.0,22.6,25.8,16.1,24.2,40.3,9.7,9.7,9.7,61.3,60,61,46,50,49,47,53,48,38,57,57,56,25,62,Starter,57.0,3241.133333333333,0.8897535667963683,3.1470473291235574,131.04376726666734,170.0,G,74.0,181.0,1986-09-11,CAN,,,,L,15,26,11,1,27,"[None, None, 33, 86, 1]","[None, None, 38, 74, 1]","[None, None, 42, 88, 3]","[None, None, 'TOR', 'EDM', 'EDM']"
2014-2015,8474651,Braden Holtby,WSH,G,91.9,91.9,87.1,16.1,45.2,91.9,29.0,46.8,87.1,75.8,75.8,32.3,90.3,6,6,9,53,35,6,45,34,9,16,16,42,7,62,Starter,73.0,4227.333333333333,0.9231898238747552,2.2283551490301217,169.9189140070937,157.0,G,73.0,215.0,1989-09-16,CAN,2008.0,4.0,93.0,L,41,20,10,9,24,"[58, None, 78, 82, 93]","[48, None, 78, 91, 85]","[75, None, 57, 11, 96]","['WSH', None, 'WSH', 'WSH', 'WSH']"
2014-2015,8470880,Brian Elliott,STL,G,54.8,48.4,62.9,19.4,62.9,56.5,93.5,96.8,62.9,48.4,48.4,48.4,51.6,29,33,24,51,24,28,5,3,24,33,33,32,31,62,Tandem (1A),46.0,2545.8,0.919732441471572,2.262550082488805,92.1576756419042,96.0,G,74.0,221.0,1985-04-09,CAN,2003.0,9.0,291.0,L,26,14,3,5,29,"[1, 94, 38, 64, 56]","[1, 91, 52, 56, 54]","[29, 87, 19, 71, 64]","['COL', 'STL', 'STL', 'STL', 'STL']"
2014-2015,8475717,Calvin Pickard,COL,G,64.5,80.6,24.2,96.8,48.4,100.0,53.2,9.7,96.8,93.5,93.5,76.6,4.8,23,13,48,3,33,1,30,57,3,5,5,15,60,62,Backup,16.0,895.1,0.9315068493150684,2.346106580270361,41.62203516851013,35.0,G,73.0,206.0,1992-04-15,CAN,2010.0,2.0,49.0,L,6,7,3,0,22,"[None, None, None, None, 66]","[None, None, None, None, 74]","[None, None, None, None, 22]","[None, None, None, None, 'COL']"
