Season,Player ID,Player,Team,Position,ovr_pct,evs_pct,pkl_pct,ldg_pct,mdg_pct,hdg_pct,rbd_pct,tmd_pct,gre_pct,qal_pct,bad_pct,awf_pct,wrk_pct,ovr_rank,evs_rank,pkl_rank,ldg_rank,mdg_rank,hdg_rank,rbd_rank,tmd_rank,gre_rank,qal_rank,bad_rank,awf_rank,wrk_rank,all_players,Role,GP,TOI,SV%,GAA,xG Against,Goals Against,Specific Position,Height (in),Weight (lbs),Date of Birth,Birth Country,Draft Year,Draft Round,Overall Draft Position,Shoots Catches,W,L,OT/SO,Shutouts,Age,ovr_history,evs_history,pkl_history,team_history
2014-2015,8475660,Cam Talbot,NYR,G,93.5,95.2,90.3,95.2,56.5,95.2,51.6,6.5,98.4,96.8,96.8,98.4,41.9,5,4,7,4,28,4,31,59,2,3,3,2,37,62,Tandem (1B),36.0,2094.95,0.9258188824662812,2.2053032291940142,92.65900583234348,77.0,G,75.0,202.0,1987-07-05,CAN,,,,L,21,9,4,5,27,"[None, None, None, 91, 88]","[None, None, None, 85, 91]","[None, None, None, 92, 82]","[None, None, None, 'NYR', 'NYR']"
2014-2015,8470320,Cam Ward,CAR,G,30.6,27.4,43.5,51.6,43.5,24.2,25.8,27.4,22.6,22.6,22.6,22.6,54.8,44,46,36,31,36,48,47,46,49,49,49,48,29,62,Starter,51.0,3005.7166666666667,0.909156976744186,2.495245171700593,117.63688583980208,125.0,G,73.0,194.0,1984-02-29,CAN,2002.0,1.0,25.0,L,22,24,5,1,30,"[98, 89, 36, 32, 46]","[98, 93, 49, 40, 32]","[96, 72, 28, 19, 77]","['CAR', 'CAR', 'CAR', 'CAR', 'CAR']"
2014-2015,8471679,Carey Price,MTL,G,100.0,100.0,91.9,79.0,71.0,88.7,50.0,58.1,88.7,79.0,79.0,69.4,98.4,1,1,6,14,19,8,32,27,8,14,14,19,2,62,Starter,66.0,3976.55,0.9334357398873528,1.961499289585193,158.88091742265286,130.0,G,75.0,217.0,1987-08-16,CAN,2005.0,1.0,5.0,L,44,16,6,9,27,"[93, 67, 22, 97, 100]","[85, 44, 50, 92, 98]","[91, 77, 7, 98, 93]","['MTL', 'MTL', 'MTL', 'MTL', 'MTL']"
2014-2015,8475622,Carter Hutton,NSH,G,6.5,12.9,21.0,56.5,17.7,11.3,85.5,75.8,3.2,6.5,6.5,64.5,33.9,59,55,50,28,52,56,10,16,61,59,59,22,42,62,Backup,18.0,1009.85,0.9022222222222224,2.614249641035798,39.50717780865438,44.0,G,72.0,211.0,1985-12-19,CAN,,,,L,6,7,4,1,28,"[None, None, None, 6, 22]","[None, None, None, 19, 17]","[None, None, None, 14, 46]","[None, None, None, 'NSH', 'NSH']"
2014-2015,8473434,Chad Johnson,BUF,G,21.0,30.6,19.4,32.3,35.5,22.6,17.7,40.3,53.2,35.5,35.5,6.5,17.7,50,44,51,43,41,49,52,38,30,41,41,58,52,62,Backup,19.0,1051.1666666666667,0.889344262295082,3.0822895195814173,43.4630525784245,54.0,G,75.0,197.0,1986-06-10,CAN,2006.0,5.0,125.0,L,8,8,1,0,28,"[None, None, None, 85, 6]","[None, None, None, 79, 12]","[None, None, None, 76, 4]","[None, None, None, 'BOS', 'BUF']"
2014-2015,8470645,Corey Crawford,CHI,G,82.3,88.7,30.6,41.9,91.9,61.3,38.7,59.7,46.8,82.3,82.3,87.1,82.3,12,8,44,37,6,25,39,26,34,12,12,9,12,62,Starter,57.0,3339.95,0.9241420830824804,2.2635069387266276,131.01077183443968,126.0,G,74.0,216.0,1984-12-31,CAN,2003.0,2.0,52.0,L,32,20,5,2,29,"[82, 5, 86, 53, 82]","[83, 25, 86, 68, 88]","[48, 3, 66, 20, 38]","['CHI', 'CHI', 'CHI', 'CHI', 'CHI']"
2014-2015,8471239,Cory Schneider,NJD,G,96.8,87.1,98.4,38.7,66.1,72.6,98.4,85.5,82.3,85.5,85.5,90.3,85.5,3,9,2,39,22,18,2,10,12,10,10,7,10,62,Starter,69.0,3924.35,0.9253279515640768,2.2627951125664123,163.05207931383407,148.0,G,75.0,214.0,1986-03-18,USA,2004.0,1.0,26.0,L,26,31,9,5,28,"[85, 91, 82, 83, 96]","[79, 74, 70, 53, 95]","[95, 100, 86, 100, 95]","['VAN', 'VAN', 'VAN', 'NJD', 'NJD']"
2014-2015,8467950,Craig Anderson,OTT,G,53.2,66.1,8.1,74.2,74.2,53.2,64.5,56.5,61.3,43.5,43.5,82.3,56.5,30,22,58,17,17,30,23,28,25,36,36,12,28,62,Tandem (1B),35.0,2092.516666666667,0.9232804232804231,2.494603786509068,87.47770418749887,87.0,G,74.0,187.0,1981-05-21,USA,2001.0,3.0,73.0,L,14,13,8,3,33,"[45, 63, 89, 11, 69]","[37, 67, 77, 52, 71]","[72, 41, 96, 1, 58]","['OTT', 'OTT', 'OTT', 'OTT', 'OTT']"
2014-2015,8470147,Curtis McElhinney,CBJ,G,17.7,8.1,80.6,4.8,41.9,9.7,11.3,45.2,16.1,54.8,54.8,53.2,40.3,52,58,13,60,37,57,56,35,53,29,29,29,38,62,Backup,32.0,1710.0166666666669,0.9135932560590094,2.8771649399128663,81.50677731382724,82.0,G,73.0,210.0,1983-05-23,CAN,2002.0,6.0,176.0,L,12,14,2,0,31,"[22, None, None, 7, 53]","[17, None, None, 9, 21]","[38, None, None, 29, 87]","['OTT', None, None, 'CBJ', 'CBJ']"
2014-2015,8475311,Darcy Kuemper,MIN,G,3.2,6.5,9.7,61.3,8.1,19.4,69.4,95.2,14.5,19.4,19.4,4.8,37.1,61,59,57,25,58,51,20,4,54,51,51,59,40,62,Backup,31.0,1548.7166666666667,0.9054242002781642,2.6344392669199226,54.709586623108855,68.0,G,77.0,215.0,1990-05-05,CAN,2009.0,6.0,161.0,L,14,12,2,3,24,"[None, None, None, 29, 8]","[None, None, None, 35, 4]","[None, None, None, 10, 37]","[None, None, None, 'MIN', 'MIN']"
2014-2015,8471227,Devan Dubnyk,MIN,G,69.4,61.3,83.9,25.8,51.6,50.0,48.4,51.6,51.6,38.7,38.7,30.6,64.5,20,25,11,47,31,32,33,31,31,39,39,43,23,62,Starter,58.0,3303.2,0.9292307692307692,2.088883506902398,122.91908177619304,115.0,G,78.0,224.0,1986-05-04,CAN,2004.0,1.0,14.0,L,36,14,4,6,28,"[77, 79, 94, 17, 80]","[75, 89, 89, 6, 83]","[77, 8, 100, 73, 71]","['EDM', 'EDM', 'EDM', 'NSH', 'MIN']"
2014-2015,8474682,Dustin Tokarski,MTL,G,29.0,16.1,71.0,85.5,21.0,12.9,8.1,37.1,77.4,4.8,4.8,33.9,9.7,45,53,19,10,50,55,58,40,15,60,60,41,57,62,Backup,17.0,999.9666666666668,0.9096267190569745,2.760092003066769,43.677453254273715,46.0,G,72.0,198.0,1989-09-16,CAN,2008.0,5.0,122.0,L,6,6,4,0,24,"[None, None, None, None, 29]","[None, None, None, None, 22]","[None, None, None, None, 62]","[None, None, None, None, 'MTL']"
2014-2015,8475663,Eddie Lack,VAN,G,72.6,71.0,82.3,82.3,77.4,32.3,30.6,32.3,90.3,87.1,87.1,67.7,58.1,18,19,12,12,15,43,44,43,7,9,9,20,27,62,Tandem (1A),41.0,2303.9666666666667,0.9208992506244796,2.4739941260724256,106.09183133346116,95.0,G,76.0,187.0,1988-01-05,SWE,,,,L,18,13,4,2,26,"[None, None, None, 58, 77]","[None, None, None, 65, 67]","[None, None, None, 44, 85]","[None, None, None, 'VAN', 'VAN']"
2014-2015,8475883,Frederik Andersen,ANA,G,80.6,53.2,93.5,27.4,98.4,14.5,27.4,48.4,67.7,72.6,72.6,88.7,59.7,13,30,5,46,2,54,46,33,21,18,18,8,26,62,Starter,54.0,3077.1833333333334,0.9143454038997214,2.398297144033234,127.65271084833648,123.0,G,76.0,229.0,1989-10-02,DNK,2012.0,3.0,87.0,L,35,12,5,3,24,"[None, None, None, 80, 74]","[None, None, None, 71, 56]","[None, None, None, 82, 91]","[None, None, None, 'ANA', 'ANA']"
2014-2015,8468685,Henrik Lundqvist,NYR,G,98.4,98.4,66.1,88.7,95.2,83.9,32.3,17.7,79.0,95.2,95.2,91.9,79.0,2,2,22,8,4,11,43,52,14,4,4,6,14,62,Tandem (1A),46.0,2742.6,0.9239290989660266,2.2533362502734633,118.57463957359047,103.0,G,73.0,182.0,1982-03-02,SWE,2000.0,7.0,205.0,L,30,13,3,5,32,"[95, 100, 100, 98, 85]","[96, 100, 100, 100, 93]","[56, 98, 21, 70, 72]","['NYR', 'NYR', 'NYR', 'NYR', 'NYR']"
2014-2015,8474596,Jake Allen,STL,G,38.7,24.2,59.7,30.6,24.2,48.4,71.0,88.7,38.7,37.1,37.1,29.0,45.2,39,48,26,44,48,33,19,8,39,40,40,44,35,62,Tandem (1B),37.0,2076.8,0.9130913091309132,2.282357473035439,73.62013916293019,79.0,G,74.0,197.0,1990-08-07,CAN,2008.0,2.0,34.0,L,22,7,4,4,24,"[None, None, 47, None, 35]","[None, None, 35, None, 40]","[None, None, 75, None, 53]","[None, None, 'STL', None, 'STL']"
2014-2015,8473503,James Reimer,TOR,G,19.4,19.4,35.5,33.9,6.5,79.0,12.9,1.6,71.0,53.2,53.2,3.2,46.8,51,51,41,42,59,14,55,62,19,30,30,60,34,62,Tandem (1B),35.0,1766.8833333333334,0.9070929070929072,3.1581032514880247,83.8828679530805,93.0,G,74.0,200.0,1988-03-15,CAN,2006.0,4.0,99.0,L,9,16,1,0,26,"[66, 8, 73, 31, 19]","[72, 32, 45, 49, 16]","[33, 5, 94, 7, 45]","['TOR', 'TOR', 'TOR', 'TOR', 'TOR']"
2014-2015,8470860,Jaroslav Halak,NYI,G,88.7,90.3,74.2,17.7,69.4,75.8,43.5,54.8,83.9,88.7,88.7,51.6,72.6,8,7,17,52,20,16,36,29,11,8,8,30,18,62,Starter,59.0,3531.6,0.9149940968122786,2.4464831804281344,165.49071569798377,144.0,G,71.0,189.0,1985-05-13,SVK,2003.0,9.0,271.0,L,38,17,4,6,29,"[71, 93, 35, 73, 95]","[67, 94, 36, 41, 96]","[74, 53, 50, 95, 66]","['STL', 'STL', 'STL', 'WSH', 'NYI']"
2014-2015,8473523,Jhonas Enroth,DAL,G,27.4,41.9,16.1,14.5,83.9,37.1,67.7,12.9,41.9,45.2,45.2,8.1,50.0,46,37,53,54,11,40,21,55,37,35,35,57,32,62,Starter,50.0,2833.6,0.9035904255319148,3.07029926595144,128.02709575802052,145.0,G,70.0,175.0,1988-06-25,SWE,2006.0,2.0,46.0,L,18,26,2,2,26,"[48, 51, 54, 71, 17]","[45, 60, 47, 67, 30]","[50, 46, 59, 53, 6]","['BUF', 'BUF', 'BUF', 'BUF', 'DAL']"
2014-2015,8470657,Jimmy Howard,DET,G,56.5,64.5,32.3,93.5,27.4,54.8,80.6,77.4,29.0,25.8,25.8,41.9,74.2,28,23,43,5,46,29,13,15,45,47,47,36,17,62,Starter,53.0,2965.5833333333335,0.9122552574329224,2.4480849748503664,111.25653806834768,121.0,G,73.0,218.0,1984-03-26,USA,2003.0,2.0,64.0,L,23,13,11,2,30,"[19, 82, 98, 41, 43]","[12, 81, 98, 58, 50]","[46, 63, 54, 23, 40]","['DET', 'DET', 'DET', 'DET', 'DET']"
2014-2015,8476434,John Gibson,ANA,G,25.8,33.9,22.6,91.9,93.5,4.8,95.2,62.9,75.8,11.3,11.3,11.3,22.6,47,42,49,6,5,60,4,24,16,56,56,55,49,62,Backup,23.0,1319.9166666666667,0.913946587537092,2.6365300839699475,55.45481292834873,58.0,G,75.0,209.0,1993-07-14,USA,2011.0,2.0,39.0,L,13,8,0,1,21,"[None, None, None, None, 27]","[None, None, None, None, 41]","[None, None, None, None, 21]","[None, None, None, None, 'ANA']"
2014-2015,8473972,Jonas Hiller,CGY,G,58.1,83.9,6.5,35.5,88.7,66.1,59.7,53.2,37.1,50.0,50.0,83.9,62.9,27,11,59,41,8,22,26,30,40,32,32,11,24,62,Starter,52.0,2850.85,0.9178779069767442,2.3782380693477383,114.1881377297986,113.0,G,74.0,191.0,1982-02-12,CHE,,,,R,26,19,4,1,32,"[90, 43, 71, 77, 61]","[90, 43, 91, 76, 79]","[85, 55, 3, 35, 9]","['ANA', 'ANA', 'ANA', 'ANA', 'CGY']"
2014-2015,8473541,Jonathan Bernier,TOR,G,75.8,74.2,72.6,40.3,29.0,87.1,41.9,25.8,80.6,74.2,74.2,38.7,66.1,16,17,18,38,45,9,37,47,13,17,17,38,22,62,Starter,58.0,3177.15,0.9123919308357348,2.8704971436664937,148.67868630722302,152.0,G,72.0,185.0,1988-08-07,CAN,2006.0,1.0,11.0,L,21,28,7,2,26,"[46, 37, 61, 89, 67]","[41, 22, 68, 86, 62]","[71, 70, 35, 68, 79]","['LAK', 'LAK', 'LAK', 'TOR', 'TOR']"
2014-2015,8471734,Jonathan Quick,LAK,G,79.0,85.5,48.4,75.8,32.3,58.1,75.8,87.1,54.8,56.5,56.5,71.0,91.9,14,10,33,16,43,27,16,9,29,28,28,18,6,62,Starter,72.0,4180.116666666667,0.9195461578133058,2.2391719529359224,161.13877291883682,156.0,G,73.0,219.0,1986-01-21,USA,2005.0,3.0,72.0,L,36,22,13,6,28,"[79, 96, 17, 70, 83]","[66, 96, 8, 83, 90]","[93, 86, 82, 16, 59]","['LAK', 'LAK', 'LAK', 'LAK', 'LAK']"
2014-2015,8470140,Kari Lehtonen,DAL,G,74.2,75.8,67.7,48.4,25.8,77.4,4.8,8.1,66.1,66.1,66.1,43.5,96.8,17,16,21,33,47,15,60,58,22,22,22,35,3,62,Starter,65.0,3697.6833333333334,0.9034666666666666,2.9369740513204214,162.79633549732054,181.0,G,76.0,209.0,1983-11-16,FIN,2002.0,1.0,2.0,L,34,17,10,5,30,"[54, 60, 91, 95, 32]","[77, 39, 87, 97, 35]","[8, 74, 84, 77, 48]","['DAL', 'DAL', 'DAL', 'DAL', 'DAL']"
2014-2015,8471403,Karri Ramo,CGY,G,33.9,25.8,53.2,54.8,37.1,21.0,40.3,21.0,25.8,46.8,46.8,54.8,48.4,42,47,30,29,40,50,38,50,47,34,34,28,33,62,Tandem (1B),34.0,1731.7833333333333,0.9119718309859156,2.598477484673795,71.46749925767566,75.0,G,74.0,206.0,1986-07-01,FIN,2004.0,6.0,191.0,L,15,9,3,2,28,"[None, None, None, 34, 41]","[None, None, None, 37, 33]","[None, None, None, 26, 67]","[None, None, None, 'CGY', 'CGY']"
2014-2015,8476234,Keith Kinkaid,NJD,G,41.9,54.8,1.6,67.7,90.3,80.6,90.3,50.0,9.7,64.5,64.5,56.5,11.3,37,29,62,21,7,13,7,32,57,23,23,27,56,62,Backup,19.0,905.0,0.9147121535181236,2.6519337016574585,37.4453031452174,40.0,G,74.0,195.0,1989-07-04,USA,,,,L,6,5,4,0,25,"[None, None, None, None, 37]","[None, None, None, None, 61]","[None, None, None, None, 8]","[None, None, None, None, 'NJD']"
2014-2015,8470594,Marc-Andre Fleury,PIT,G,85.5,58.1,96.8,71.0,59.7,30.6,45.2,82.3,50.0,69.4,69.4,58.1,93.5,10,27,3,19,26,44,35,12,32,20,20,26,5,62,Starter,64.0,3791.65,0.9202621518296014,2.3103398256695633,153.39801434670335,146.0,G,74.0,185.0,1984-11-28,CAN,2003.0,1.0,1.0,L,34,20,9,10,29,"[74, 62, 70, 38, 91]","[74, 19, 71, 20, 80]","[54, 96, 38, 97, 98]","['PIT', 'PIT', 'PIT', 'PIT', 'PIT']"
2014-2015,8474889,Martin Jones,LAK,G,51.6,50.0,33.9,83.9,46.8,82.3,56.5,91.9,95.2,41.9,41.9,80.6,6.5,31,32,42,11,34,12,28,6,4,37,37,13,59,62,Backup,15.0,775.3666666666667,0.9055374592833876,2.2440995657968275,28.177292754671537,29.0,G,77.0,203.0,1990-01-10,CAN,,,,L,4,5,2,3,24,"[None, None, None, 79, 25]","[None, None, None, 80, 38]","[None, None, None, 52, 25]","[None, None, None, 'LAK', 'LAK']"
2014-2015,8474636,Michael Hutchinson,WPG,G,59.7,72.6,50.0,58.1,82.3,46.8,88.7,74.2,21.0,91.9,91.9,96.8,53.2,26,18,32,27,12,34,8,17,50,6,6,3,30,62,Tandem (1B),38.0,2118.016666666667,0.913793103448276,2.407913063321818,87.58358507651573,85.0,G,75.0,201.0,1990-03-02,CAN,2008.0,3.0,77.0,R,21,10,5,2,24,"[None, None, None, None, 62]","[None, None, None, None, 69]","[None, None, None, None, 43]","[None, None, None, None, 'WPG']"
2014-2015,8473607,Michal Neuvirth,NYI,G,43.5,40.3,41.9,90.3,11.3,62.9,58.1,11.3,74.2,58.1,58.1,50.0,24.2,36,38,37,7,56,24,27,56,17,27,27,31,48,62,Backup,32.0,1849.75,0.9137769447047798,2.9841870523043657,89.51416432296556,92.0,G,73.0,209.0,1988-03-23,CZE,2006.0,2.0,34.0,L,7,20,4,0,26,"[41, 13, 40, 47, 48]","[40, 17, 29, 32, 59]","[53, 34, 77, 83, 14]","['WSH', 'WSH', 'WSH', 'BUF', 'NYI']"
2014-2015,8469608,Mike Smith,ARI,G,24.2,38.7,11.3,46.8,33.9,38.7,14.5,16.1,45.2,27.4,27.4,12.9,88.7,48,39,56,34,42,39,54,53,35,46,46,54,8,62,Starter,62.0,3555.7833333333333,0.9043478260869564,3.1554228557233053,166.00250093628404,187.0,G,77.0,220.0,1982-03-22,CAN,2001.0,5.0,161.0,L,14,42,5,0,32,"[21, 98, 63, 76, 12]","[8, 98, 82, 88, 8]","[90, 89, 15, 6, 54]","['TBL', 'PHX', 'PHX', 'PHX', 'ARI']"
2014-2015,8473404,Niklas Backstrom,MIN,G,1.6,1.6,12.9,45.2,9.7,1.6,62.9,93.5,1.6,3.2,3.2,37.1,25.8,62,62,55,35,57,62,24,5,62,61,61,39,47,62,Backup,19.0,1004.8833333333332,0.8871681415929203,3.0451296170368036,35.03651821265793,51.0,G,74.0,192.0,1978-02-13,FIN,,,,L,5,7,3,0,36,"[50, 50, 3, 26, 3]","[69, 69, 5, 28, 3]","[6, 13, 17, 25, 27]","['MIN', 'MIN', 'MIN', 'MIN', 'MIN']"
2014-2015,8476844,Niklas Svedberg,BOS,G,45.2,43.5,56.5,8.1,96.8,40.3,61.3,61.3,35.5,80.6,80.6,85.5,8.1,35,36,28,58,3,38,25,25,41,13,13,10,58,62,Backup,18.0,894.65,0.9176470588235294,2.347286648409993,37.57481322200395,35.0,G,73.0,163.0,1989-09-04,SWE,,,,L,7,5,1,2,24,"[None, None, None, None, 45]","[None, None, None, None, 45]","[None, None, None, None, 51]","[None, None, None, None, 'BOS']"
2014-2015,8471715,Ondrej Pavelec,WPG,G,67.7,69.4,77.4,53.2,85.5,27.4,79.0,29.0,43.5,51.6,51.6,74.2,77.4,21,20,15,30,10,46,14,45,36,31,31,16,15,62,Starter,50.0,2837.85,0.923512747875354,2.2834187853480628,125.38332824207896,108.0,G,75.0,212.0,1987-08-31,CZE,2005.0,2.0,41.0,L,22,16,8,5,27,"[80, 81, 45, 25, 87]","[91, 82, 40, 23, 87]","[16, 56, 43, 37, 88]","['ATL', 'WPG', 'WPG', 'WPG', 'WPG']"
2014-2015,8471469,Pekka Rinne,NSH,G,37.1,46.8,25.8,77.4,50.0,6.5,96.8,100.0,33.9,16.1,16.1,16.1,71.0,40,34,47,15,32,59,3,1,42,53,53,52,19,62,Starter,64.0,3850.7833333333338,0.9225235196458218,2.181374352404489,133.3756026952499,140.0,G,77.0,217.0,1982-11-03,FIN,2004.0,8.0,258.0,L,41,17,6,4,31,"[96, 56, 43, 1, 75]","[87, 46, 59, 1, 82]","[98, 67, 8, 50, 30]","['NSH', 'NSH', 'NSH', 'NSH', 'NSH']"
2014-2015,8475852,Petr Mrazek,DET,G,61.3,59.7,69.4,100.0,4.8,93.5,100.0,90.3,91.9,90.3,90.3,17.7,38.7,25,26,20,1,60,5,1,7,6,7,7,51,39,62,Backup,29.0,1585.0333333333333,0.91796875,2.3848078904754897,65.37692701031659,63.0,G,74.0,192.0,1992-02-14,CZE,2010.0,5.0,141.0,L,16,9,2,3,22,"[None, None, None, None, 64]","[None, None, None, None, 64]","[None, None, None, None, 61]","[None, None, None, None, 'DET']"
