Season,Team,Team Abbreviation,Games Played,Wins,Losses,Overtime/Shootout Losses,Regulation Wins,Regulation/Overtime Wins,Points,Point %,Goals For,Goals Against,Goal Differential,GF,GA,xGF,xGA,SF,SA,SV%,EV_GF,EV_GA,EV_xGF,EV_xGA,EV_GF%,EV_xGF%,EV_SF%,EV_CF%,EV_FF%,EV_SH%,EV_SV%,PP_GF,PK_GA,SRS Rank History,Elo History,League Rank,Conference Rank,Division Rank,GAx,GSAx,gf_rank,ga_rank,xgf_rank,xga_rank,pp_rank,pk_rank,sf_rank,sa_rank,fn_rank,gt_rank
2021-2022,Edmonton Oilers,EDM,82,49,27,6,38,44,104,0.634,290,252,38,285,251,273.64,241.95,2791,2647,90.52,1.81,1.73,1.7823,1.6561000000000001,0.5113,0.5184000000000001,0.5132,0.5246999999999999,0.5158,0.08380000000000001,0.9156,56,51,"[21.0, 24.0, 15.0, 11.0, 11.0]","[1500.0, 1503.1386701595557, 1517.0469071182542, 1524.2568883630015, 1539.6500810359937, 1550.8819862114744, 1535.4897627843818, 1542.9818854477244, 1553.8048775146483, 1565.8443885166448, 1570.5177330061388, 1555.0444706036385, 1566.951054206209, 1556.9215380382273, 1565.103814392769, 1549.1070984696562, 1552.10042132332, 1561.2374451239143, 1542.807571104954, 1550.9893102424644, 1558.994463478468, 1569.8835702878266, 1559.7575273621578, 1536.0707428718088, 1520.9637510836346, 1512.143971677959, 1501.0326689627086, 1486.558266775768, 1500.6462313170566, 1512.1785939802876, 1501.8433811533544, 1493.6069293563164, 1486.873029145925, 1476.539299571049, 1469.589851319968, 1454.9068572311603, 1441.379455309304, 1456.3257448609872, 1464.6228784293091, 1470.425511098028, 1483.1545248566838, 1476.5717538402366, 1492.687735689825, 1477.6778069533218, 1457.4466551753912, 1469.922311744522, 1486.183932887625, 1505.6022509781224, 1519.8668824831338, 1533.3728649442844, 1516.1952405045351, 1507.3542802810275, 1518.349879007107, 1513.5459809151964, 1522.6551586388505, 1514.0739580123177, 1489.6037615772468, 1482.843915492038, 1489.7914303130826, 1508.063663969889, 1515.087193220481, 1526.8229872537015, 1536.7701306568188, 1533.3833306747808, 1521.0465537314751, 1531.4840319278717, 1520.118842696612, 1531.6502756965526, 1533.7433589818963, 1539.7113523193411, 1551.4711799233785, 1555.352772016518, 1562.6947754081225, 1560.393820788415, 1545.267012045837, 1563.7354235435075, 1578.273455237227, 1588.6219329007652, 1605.9651515221774, 1581.5334604166696, 1598.2443944699485, 1599.7890551282117, 1601.6689021051377]",11,5,2,11.360000000000014,-9.050000000000011,10,19,8,15,6,23,10,20,14,17
2021-2022,Pittsburgh Penguins,PIT,82,46,25,11,37,43,103,0.628,272,229,43,269,222,263.99,228.66,2850,2577,91.39,1.8,1.54,1.7882,1.5600999999999998,0.5389,0.5341,0.5244,0.5205,0.5292,0.07980000000000001,0.9248000000000001,43,29,"[12.0, 5.0, 8.0, 4.0, 10.0]","[1500.0, 1518.8083086642405, 1512.571845231053, 1525.167761400505, 1519.2446186177192, 1535.750159717756, 1512.5727809636137, 1495.300822496226, 1481.4138295535822, 1488.4693331243077, 1483.6513203470151, 1478.676256408994, 1484.3131110209442, 1466.8131645872977, 1454.3790649192483, 1446.1494652604667, 1465.953410799175, 1483.346413172144, 1499.1696952786765, 1510.1117796736755, 1516.9387084338423, 1493.9284583625276, 1492.8792853456966, 1481.990178536338, 1496.3941785010152, 1515.8212255450294, 1532.606022432472, 1540.0083655812937, 1546.9168737072591, 1549.8070016083338, 1554.9364375779762, 1565.4625417166858, 1577.0961952953546, 1587.8810256125075, 1578.4478599472473, 1591.391871719178, 1572.2522790873418, 1576.5396369662808, 1589.910333010182, 1596.2775591635027, 1606.4296084737018, 1606.5014047143832, 1611.7026997931396, 1599.1567728288037, 1589.515627586753, 1578.7943294625925, 1570.1453583095824, 1582.5248911310323, 1591.6354008971182, 1598.7729831988183, 1599.8245549787414, 1586.0631679148014, 1577.8026665310233, 1546.3277346899447, 1554.886806188009, 1562.2582531074554, 1583.8437189777078, 1578.349849458061, 1570.2880957140358, 1580.900189444311, 1594.059526135811, 1577.5020117475594, 1581.914773373256, 1593.1951843645768, 1603.546699355547, 1595.6361990206542, 1578.05996012127, 1586.851301449287, 1578.0772662087704, 1584.7695969847414, 1578.6192421153617, 1567.333111967849, 1553.4678835365337, 1534.5911989478338, 1540.5471022909671, 1537.2148108788838, 1551.2770606418146, 1543.80732273132, 1560.7854803795146, 1571.3756655364189, 1545.3032080994042, 1528.592274046125, 1537.1806946474342]",12,7,3,5.009999999999991,6.659999999999997,12,10,7,8,20,1,7,14,18,8
2021-2022,Washington Capitals,WSH,82,44,26,12,35,39,100,0.61,275,245,30,270,242,243.55,223.45,2578,2380,89.83,1.79,1.57,1.6188,1.5744,0.5327000000000001,0.5069,0.5151,0.5055,0.514,0.0897,0.9164,46,38,"[13.0, 7.0, 7.0, 9.0, 13.0]","[1500.0, 1515.825219532655, 1507.9747445010562, 1521.5044900048583, 1537.9347471634896, 1529.7455909322314, 1541.6947070324804, 1533.2815070758704, 1540.4320999148863, 1531.913889511944, 1527.3422375747143, 1518.5013751685733, 1528.5651163613743, 1541.0122672254354, 1549.098528722535, 1561.5326283905845, 1555.480775503324, 1567.9408056594575, 1582.5447828885333, 1559.097086835945, 1566.9170354507116, 1574.809712771475, 1589.3803748592436, 1581.0838998944032, 1572.3511153031127, 1580.869163228629, 1585.2610066538898, 1568.4762097664473, 1568.4743737582164, 1559.1772664000314, 1572.8217872103205, 1562.374249707245, 1573.7739757283944, 1582.809277431298, 1571.3529694446513, 1554.5746761765222, 1550.9627532105048, 1531.7995167838033, 1542.9596518819567, 1526.4774424150232, 1531.9699242051029, 1525.306027773097, 1529.0038809350758, 1520.9748288927626, 1500.5632338123369, 1521.9516874596352, 1530.600658612645, 1514.4846767630563, 1503.8000394745354, 1511.2833406209947, 1491.1429573350656, 1510.057647368654, 1517.8113040826831, 1506.7154632284112, 1494.6731876274712, 1484.539512185574, 1508.3902741759182, 1516.4137166512276, 1528.1971565537808, 1521.2496417327363, 1529.156485968856, 1531.5633871515686, 1549.774992793362, 1555.914889846423, 1545.7914811222995, 1529.1813836306626, 1531.4371018654062, 1536.7000645725127, 1519.669610917365, 1503.7988749829324, 1512.4059020054276, 1531.2825865941272, 1545.2417095583316, 1554.0809652140122, 1539.4229845071532, 1548.9471695517966, 1561.197386812713, 1554.2201415444513, 1559.9410486725958, 1556.288260304709, 1535.623345416125, 1517.8312989109463, 1511.9295119493877]",13,8,4,26.44999999999999,-18.55000000000001,13,12,17,10,14,9,14,6,9,21
2021-2022,Los Angeles Kings,LAK,82,44,27,11,35,40,99,0.604,239,236,3,235,232,267.2,235.65,2866,2343,90.1,1.55,1.52,1.8238999999999999,1.6181999999999999,0.5049,0.5299,0.5511,0.5416,0.5498,0.0697,0.9161,36,52,"[7.0, 31.0, 26.0, 22.0, 17.0]","[1500.0, 1516.2479785386258, 1507.3122973489722, 1499.299358405838, 1493.4021801386816, 1480.2157445036917, 1469.6924931132096, 1462.058604041585, 1476.1498375925155, 1484.8659617492906, 1490.0890818043708, 1495.6792444080193, 1515.6718380654706, 1520.4830614855457, 1530.5057023823413, 1524.541150500556, 1512.0811203444227, 1505.547217380422, 1495.376213231236, 1479.4405607965678, 1487.75196078418, 1483.766897970094, 1477.2987991340483, 1500.9855836243971, 1480.4773873446493, 1499.8362119549752, 1509.8622373987316, 1505.2324279928887, 1523.375013931081, 1510.7871488726753, 1521.2346863757507, 1506.6855100094656, 1509.666456506542, 1520.8148585791885, 1508.7812902783928, 1521.4136036749585, 1535.2811475397236, 1554.4207401715598, 1561.8808619125273, 1539.559966273894, 1527.2319598923243, 1515.2672586736514, 1521.719898018947, 1520.3752525792931, 1528.0074602880209, 1517.5293726809234, 1528.2506708050842, 1537.5103739379556, 1518.092055847458, 1525.915406959121, 1533.6394638413865, 1538.6212500665415, 1552.5669320592888, 1562.2389527489154, 1538.025070652863, 1530.301947587492, 1536.6986879435883, 1546.7801473710492, 1554.6666273336768, 1543.4640581036444, 1517.5959754607295, 1523.5423900906387, 1511.5765422048046, 1521.9525570192288, 1503.6146600422046, 1525.2873239282503, 1517.884431617152, 1524.4896413660508, 1494.5761532295571, 1492.4830699442134, 1500.6789369255828, 1509.5053417188085, 1502.9463237595878, 1495.6043203679833, 1484.7202627214324, 1496.271717900249, 1486.874516376025, 1493.1800885816804, 1499.3002898452787, 1507.5218172755715, 1514.57733970025, 1524.0737673680592, 1518.981683270211]",14,6,3,-32.19999999999999,3.6500000000000057,25,8,6,12,25,27,6,2,32,9
2021-2022,Dallas Stars,DAL,82,46,30,6,31,41,98,0.598,238,246,-8,233,244,248.6,225.85,2486,2546,90.42,1.47,1.59,1.6677000000000002,1.6088,0.4804,0.509,0.4901,0.4901,0.49219999999999997,0.076,0.9209,47,42,"[14.0, 17.0, 16.0, 15.0, 19.0]","[1500.0, 1506.7147275048696, 1494.8421651485146, 1487.5084256840555, 1493.4315684668416, 1499.3287467339978, 1485.102620588424, 1477.568363009486, 1460.6942906780514, 1459.0018259880835, 1468.8767816283969, 1455.3687743230626, 1443.5027727312831, 1461.8636906277206, 1476.763675324149, 1461.3730522987844, 1478.9981348725942, 1497.4280088915548, 1511.464016324762, 1517.17881573029, 1534.483577751835, 1540.9531248624166, 1547.994594428407, 1540.2044037368476, 1520.8455791265217, 1512.9819199897652, 1497.1495534467117, 1485.465458991336, 1490.1457437088495, 1507.9153761941768, 1512.7546730835438, 1522.187838748804, 1516.0960067163385, 1525.0241237357118, 1510.32820058517, 1500.8979201959771, 1480.0013403761773, 1486.6247122686684, 1492.5196020005387, 1501.2881392566478, 1515.5737824389696, 1494.1853287916713, 1515.208273784388, 1507.0288464046364, 1515.898733410878, 1520.9289027502732, 1509.1081859334706, 1533.706938829641, 1535.413749198473, 1516.1988855308205, 1521.3543458375143, 1518.3139538672692, 1524.2950666741408, 1532.0181897395116, 1538.3049573971632, 1554.1002356001502, 1546.002702820522, 1529.8688096356314, 1513.8064555180256, 1517.4698421083035, 1505.6382111729815, 1515.761619897105, 1528.0983968404107, 1536.6589244161712, 1519.2048867309677, 1524.3429654253111, 1527.7628554695664, 1533.8479491711937, 1511.6213285514025, 1519.9620101586622, 1514.6685661031, 1495.7969979420384, 1505.253283308484, 1513.750561551375, 1508.5172111466647, 1513.1631333298333, 1499.9538328251697, 1489.6053551616312, 1482.3010607431336, 1488.175954450793, 1492.0475978326133, 1481.2193856083384, 1489.3475214402156]",15,7,4,-15.599999999999994,-18.150000000000006,29,13,14,11,12,12,19,13,31,20
2021-2022,Nashville Predators,NSH,82,45,30,7,35,41,97,0.591,266,252,14,262,250,230.35,242.86,2440,2647,90.56,1.65,1.56,1.5050999999999999,1.4987000000000001,0.514,0.5011,0.4902,0.4971,0.4999,0.08789999999999999,0.9201,61,53,"[2.0, 10.0, 20.0, 16.0, 15.0]","[1500.0, 1491.0579504726254, 1482.9391706691144, 1490.9521096122487, 1477.5180090591878, 1466.5185578777437, 1486.4549429879685, 1500.2368235294125, 1503.6606339482355, 1512.5899527872346, 1500.5504417852385, 1508.961172563409, 1500.5749393658552, 1512.440940957635, 1520.6025317218914, 1528.4486156894925, 1514.3725618064802, 1494.0404850769862, 1502.8731767173322, 1486.381483373651, 1498.635246154311, 1485.0952319460496, 1505.8272035212465, 1492.5342370289277, 1496.0918748500142, 1512.0836705933566, 1518.670085346899, 1525.9888413818612, 1536.0648874292049, 1553.3456195689805, 1557.8165228645792, 1546.41679684343, 1541.1700472311495, 1552.5338796459653, 1561.974188739057, 1574.0077570398523, 1580.10886218526, 1586.7574934075544, 1559.2875112108109, 1553.9235749555737, 1543.1074743647246, 1527.3349644415443, 1540.587703734378, 1549.7127585791854, 1557.9446761174738, 1552.142043448755, 1562.2411816683482, 1553.3712946621065, 1532.925170222244, 1514.0104801886555, 1505.593823879149, 1524.7974502427455, 1527.8378422129908, 1520.8675781694851, 1509.0099743062326, 1526.643891894345, 1534.7414246739731, 1544.293843332191, 1528.1243436341751, 1546.447587757497, 1563.0051021457489, 1549.5825226786633, 1563.71568930027, 1573.1147791572223, 1551.4421152711768, 1529.0236968933496, 1532.8165821930047, 1541.2677567650835, 1531.0670253674866, 1550.1741372259348, 1556.106281118988, 1542.7139571425882, 1536.758053799455, 1539.461523147617, 1520.9931116499465, 1524.951661474695, 1510.2966881477294, 1516.262253192184, 1501.6978247728264, 1497.3684936862303, 1493.317559578436, 1501.6045024474586, 1490.3566839038574]",16,8,5,31.650000000000006,-7.139999999999986,16,11,28,3,3,29,24,20,8,15
2021-2022,Vegas Golden Knights,VGK,82,43,31,8,34,39,94,0.573,266,248,18,262,244,266.33,242.94,2830,2459,90.08,1.84,1.66,1.8702,1.6836000000000002,0.5257000000000001,0.5263,0.5383,0.5257000000000001,0.5378000000000001,0.08070000000000001,0.9151,36,46,"[5.0, 14.0, 9.0, 1.0, 14.0]","[1500.0, 1507.3548017444105, 1491.1068232057846, 1478.9459199094006, 1467.7140147339198, 1455.2137746703838, 1469.9461743337956, 1477.4804319127334, 1480.3442192454104, 1464.4268759220329, 1483.278629731815, 1497.7021523458732, 1481.9978788790822, 1493.1225906119282, 1501.2641905939367, 1513.6693883884682, 1502.5565350986726, 1514.6826064058675, 1521.8568188410677, 1507.2425744474376, 1523.7342677911188, 1515.729114555115, 1508.5469866089345, 1522.8485745723951, 1531.7899720802752, 1539.5801627718347, 1527.174910237797, 1541.300780039899, 1558.039839978916, 1566.5810164448887, 1571.1900119115887, 1572.492291202638, 1563.519202703367, 1578.068379069652, 1587.5076693419292, 1578.037673620836, 1568.5973645277445, 1584.840275983098, 1571.0603334573357, 1567.1057225640045, 1553.7350265201032, 1555.364619370535, 1563.393671412848, 1558.5062162252204, 1546.027166584964, 1551.882950622568, 1559.31792680227, 1574.3278555387733, 1554.4756574943697, 1544.0792314843236, 1536.2558803726608, 1548.1552671801478, 1529.00619600929, 1523.1791190314402, 1531.1814456176935, 1515.800763548277, 1523.0773745571985, 1527.9683444585282, 1515.567735439495, 1497.9642052086224, 1487.352111478347, 1475.0620683290183, 1460.8058336859744, 1479.142531602759, 1497.4804285797832, 1484.785155620313, 1470.7135051023622, 1493.1319234801897, 1497.5551764656573, 1509.666063579799, 1520.6718510299168, 1527.6904261977352, 1507.8034690078407, 1518.338916966082, 1513.3342988723457, 1540.83728885588, 1526.2992571621603, 1514.7478513620672, 1521.7250966303288, 1513.7161438365376, 1509.8445004547173, 1502.541521366515, 1525.6671106000483]",17,9,4,-4.329999999999984,-1.0600000000000023,9,17,4,19,25,17,8,7,26,12
2021-2022,Vancouver Canucks,VAN,82,40,30,12,32,37,92,0.561,249,236,13,246,231,242.04,243.97,2623,2612,91.16,1.56,1.43,1.6168,1.6759,0.5217,0.491,0.498,0.4984,0.4997,0.0767,0.9301999999999999,56,51,"[27.0, 22.0, 14.0, 24.0, 16.0]","[1500.0, 1496.8613298404443, 1501.812255508054, 1489.824128674571, 1477.1388104975667, 1492.645101495802, 1505.3910199663137, 1496.7136415295142, 1488.8397576047842, 1481.3476349414416, 1488.3808007241437, 1479.970069945973, 1493.4780772513072, 1487.001877234769, 1467.704561606922, 1455.2993638123903, 1443.887650992357, 1432.7956209795257, 1443.173454944781, 1434.23168748349, 1423.289603088491, 1415.7234712638576, 1410.945058411793, 1419.9274438075204, 1436.8152284615971, 1422.41122849692, 1442.9194247766682, 1448.36588087093, 1456.1910648477324, 1467.2125757155725, 1475.3211398140984, 1492.9682347709718, 1501.156636951729, 1498.1756904546528, 1510.9379326713674, 1499.7763150277983, 1490.3903470365465, 1480.497960356132, 1496.9801698230656, 1512.7526797462458, 1510.356827902078, 1500.0192312851025, 1491.7220977167806, 1509.961200342365, 1504.7436372223276, 1515.512271367466, 1505.4131331478727, 1514.181865759488, 1494.542495856257, 1505.0385732462073, 1510.6159567991845, 1491.4178570603556, 1501.0695684949176, 1528.0457014622389, 1547.596707086076, 1521.976940808578, 1529.1609372685534, 1544.3086955651283, 1550.3597249941242, 1542.4528807580043, 1533.9403770831057, 1544.3215184383394, 1531.0914438111884, 1518.4069139567002, 1508.6621772890414, 1528.1108679859858, 1522.6123120632003, 1540.066349748404, 1524.8952881186383, 1516.3970015122295, 1509.378426344411, 1529.2653835343056, 1540.995316121902, 1547.711557408271, 1552.7161755020072, 1560.6906435713038, 1573.8999440759676, 1565.2546035365126, 1552.656065918089, 1541.4066427255566, 1549.9008433166427, 1554.9929274144909, 1553.1130804375648]",18,10,5,3.960000000000008,12.969999999999999,23,3,18,18,6,23,13,17,21,4
2021-2022,Winnipeg Jets,WPG,82,39,32,11,32,37,89,0.543,252,257,-5,250,253,262.54,264.0,2645,2721,90.7,1.56,1.62,1.7746000000000002,1.7851,0.49060000000000004,0.4985,0.4932,0.4943,0.4954,0.07629999999999999,0.9229,49,50,"[1.0, 8.0, 10.0, 14.0, 18.0]","[1500.0, 1485.932550975685, 1478.9478211241849, 1474.1805450495372, 1491.765548354652, 1502.764999536096, 1510.9424244047543, 1518.5763134763786, 1512.3365222806008, 1514.0289869705684, 1525.0219897009222, 1511.1416421726203, 1507.31734907172, 1522.0514133998563, 1528.0159652816417, 1544.0126812047542, 1541.0193583510904, 1530.641524385835, 1514.8182422793027, 1500.7717559969806, 1483.3911038433555, 1501.6839645034452, 1489.8119189617146, 1504.7830307027195, 1524.0212175178665, 1511.6310708370363, 1525.7705281576318, 1517.9453441808296, 1498.7115839798803, 1485.0670631695912, 1499.8162325756891, 1509.2862282967822, 1517.2169571299237, 1503.5444132232033, 1516.6090967659736, 1511.116614975894, 1497.8638756830603, 1492.1984394230285, 1492.126643182347, 1481.9880328273016, 1463.7489302017173, 1487.1974265864544, 1470.2028487279822, 1487.564216719556, 1482.534047380161, 1502.980171820023, 1485.657690910791, 1505.7722098028617, 1513.597843273496, 1500.0918608123454, 1492.926837399946, 1487.771377093252, 1480.156839727499, 1490.4793032692428, 1499.7448395808756, 1493.458071923224, 1481.159457386536, 1501.7021980441775, 1509.3669853751512, 1493.8998038298434, 1503.090068348535, 1517.3463029915788, 1505.5695740398453, 1516.1990227512324, 1530.2706732691831, 1505.908546185541, 1510.9321377922142, 1514.6043875331957, 1517.3847250470212, 1503.802422782388, 1494.9760179891623, 1475.637513924073, 1472.60563206417, 1480.1181538466255, 1490.3464073291602, 1480.9780249211326, 1469.8101748291526, 1461.332675000269, 1453.5284472431465, 1477.2662170281694, 1487.0980729869802, 1504.5404849611716, 1509.6685154111262]",19,11,6,-12.54000000000002,11.0,23,16,9,26,11,22,12,25,29,6
2021-2022,New York Islanders,NYI,82,37,35,10,34,35,84,0.512,231,237,-6,229,231,224.76,243.98,2368,2670,91.35,1.59,1.6,1.5946,1.7809,0.4984,0.47240000000000004,0.4646,0.4604,0.46149999999999997,0.0851,0.9257,44,32,"[24.0, 6.0, 19.0, 10.0, 20.0]","[1500.0, 1485.932550975685, 1471.2510536302186, 1487.924082731285, 1482.7030023110567, 1497.695508928589, 1510.1957489921251, 1506.771938573302, 1522.5651860223254, 1536.445533550627, 1520.2067110517148, 1503.570853440626, 1490.0026695423817, 1476.5389359423484, 1463.484093323087, 1450.2366302020384, 1437.610176066773, 1430.783247306606, 1425.7816540038357, 1421.31740484857, 1416.9032082538506, 1429.9864532724705, 1423.400038518928, 1436.4731019554931, 1429.2959385177207, 1445.0830795364998, 1443.7808002454506, 1456.1592763463796, 1462.8931765567706, 1469.3210126986833, 1458.1608776005298, 1469.5068641340215, 1472.1126616582908, 1484.0946358035314, 1474.4608171630166, 1479.0614706763297, 1471.429262967602, 1465.5834362318258, 1479.2632220977914, 1458.664607555226, 1478.3039774584574, 1465.8283208893267, 1457.282982601197, 1440.0115755826696, 1458.205900111093, 1449.055947097206, 1462.6295628390428, 1458.4327331910397, 1448.760712501413, 1468.839104605897, 1463.4656481640582, 1456.2816517040828, 1467.1429313950166, 1462.430734872314, 1482.307985041139, 1497.7751665864469, 1503.331047927291, 1500.9241467445784, 1511.724080514348, 1523.5557114496698, 1511.3133976187462, 1519.968683843743, 1528.2722308625591, 1516.9948556398667, 1501.87195189895, 1509.7077873403416, 1521.3677778429153, 1542.0427122720698, 1547.8872888664068, 1539.5466072591469, 1549.4160883680506, 1533.780242995206, 1537.112534407289, 1523.0502846443585, 1532.5357510896229, 1523.3579671873188, 1519.4028290120502, 1506.835852231132, 1494.1023605888806, 1481.2859213300655, 1501.9508362186496, 1519.742882723828, 1507.8362602779912]",20,9,5,4.240000000000009,12.97999999999999,17,14,19,25,18,4,30,22,19,3
2021-2022,Columbus Blue Jackets,CBJ,82,37,38,7,26,33,81,0.494,262,300,-38,258,297,224.52,264.31,2464,2889,89.72,1.77,2.14,1.5643,1.8969,0.45270000000000005,0.45189999999999997,0.4532,0.47759999999999997,0.4668,0.091,0.9089,37,44,"[15.0, 9.0, 24.0, 29.0, 21.0]","[1500.0, 1518.3026579184373, 1523.6220427011367, 1508.5626395236034, 1513.783719943831, 1496.214329540235, 1510.440455685809, 1494.069634340418, 1499.2870124681835, 1506.163328563977, 1516.7893934191184, 1508.7031319220189, 1495.0729662051815, 1506.4270714379552, 1507.8550255217085, 1500.6808130865086, 1515.230697618384, 1529.2771839007062, 1536.8433157253396, 1521.012007133014, 1500.280035557817, 1493.810488447235, 1485.2924405217186, 1498.0791913771654, 1492.8089384876243, 1489.0336381107245, 1495.0702555587466, 1486.961691460221, 1472.873726918932, 1478.1204765312125, 1467.4012142392246, 1450.9728227428188, 1438.121892843143, 1445.3748561831476, 1430.1136563422242, 1464.1303303383595, 1452.994611048356, 1460.0159115321155, 1449.8638622219164, 1440.7400562816729, 1424.707146779552, 1443.510535398722, 1454.550567767474, 1443.832634962872, 1454.5172722513933, 1460.0420837008492, 1464.655431878487, 1455.45867646637, 1471.2947337525993, 1483.1101203402056, 1491.1864497009774, 1514.250135425141, 1503.6126376956174, 1496.2411907761707, 1502.2784716604067, 1495.8817313043105, 1493.214426816246, 1485.8762172895772, 1465.998967120752, 1470.8219159695886, 1483.1119591189174, 1496.3172888812303, 1478.1056832394368, 1487.6584858732958, 1477.3069708823257, 1472.283379275652, 1468.2591343505212, 1460.4232989091297, 1448.763308406556, 1441.002075921724, 1437.6708669708278, 1448.5036295744087, 1426.9340399310704, 1432.9746644366417, 1446.1041558602744, 1439.798583654619, 1425.5166712679506, 1417.164031331306, 1412.8933769350692, 1437.325068040577, 1429.5008712396886, 1452.0050716568785, 1443.4166510555697]",21,10,6,33.47999999999999,-32.69,14,30,21,32,24,15,21,31,6,24
2021-2022,San Jose Sharks,SJS,82,32,37,13,22,29,77,0.47,214,264,-50,211,261,214.33,252.33,2400,2622,90.05,1.42,1.79,1.5362,1.7353999999999998,0.4424,0.4696,0.4736,0.4559,0.4685,0.0759,0.914,38,30,"[9.0, 11.0, 29.0, 27.0, 24.0]","[1500.0, 1506.9847298515, 1524.6866153882002, 1532.840048668709, 1545.390053654344, 1537.2462110060214, 1523.4643304645772, 1499.6420796686623, 1505.88187086444, 1517.948282763442, 1505.6333230452958, 1500.0024969011229, 1520.3154173276516, 1505.5813529995153, 1488.937951401767, 1507.5501298879692, 1493.8654041064951, 1479.2614268774194, 1488.3650053784063, 1498.948008170198, 1485.3938873993957, 1497.4361774879517, 1514.42337881303, 1519.4249721158003, 1513.3562077801894, 1500.5694569247426, 1515.2540370324102, 1501.938422579432, 1509.8020817161885, 1493.0443739031632, 1475.3972789462898, 1475.4532842273886, 1480.6664065438276, 1470.140302405118, 1452.0889008458778, 1459.287287928013, 1465.3049814691076, 1470.316098140267, 1458.0897253615374, 1453.8023674825984, 1476.1232631212315, 1466.3470029140385, 1450.794426000734, 1471.20602108116, 1468.4439299087965, 1464.2887579980136, 1461.1221557105655, 1444.8605345674628, 1439.2831510144856, 1427.3837642069986, 1425.790117103582, 1429.986946751585, 1420.4489325645495, 1430.0188470726307, 1422.0165204863772, 1404.3826028982648, 1399.8566357048685, 1411.059204934901, 1436.9272875778154, 1433.887374005074, 1423.5113591906495, 1417.4158810419276, 1430.841398260002, 1444.761034706693, 1434.3235565102966, 1446.0748235110486, 1430.068823672602, 1425.1348383866984, 1419.0497446850711, 1415.168152591932, 1408.5533738436236, 1401.8371325572548, 1399.133663209093, 1395.1191212467904, 1390.473199063622, 1388.8193262744817, 1397.171966211126, 1391.6425478556853, 1404.163924538061, 1412.1728773318523, 1393.3903093214772, 1391.845648663214, 1378.1898320603914]",22,12,6,-3.3300000000000125,-8.669999999999987,32,21,26,22,23,3,26,18,25,16
2021-2022,Anaheim Ducks,ANA,82,31,37,14,22,27,76,0.463,232,271,-39,228,266,217.19,256.93,2395,2722,90.23,1.54,1.86,1.6188999999999998,1.7781,0.45289999999999997,0.47659999999999997,0.4799,0.4781,0.47850000000000004,0.0795,0.9114,46,37,"[11.0, 29.0, 27.0, 30.0, 23.0]","[1500.0, 1514.067449024315, 1504.9414853648675, 1511.577067735534, 1504.3670864907867, 1486.782083185672, 1481.9405586725038, 1473.7631338038454, 1467.8331565229412, 1464.9693691902642, 1475.8752405646308, 1493.1820707673032, 1501.021143331713, 1518.441371594805, 1524.9175716113436, 1538.3279188618071, 1549.7396316818406, 1555.791484569101, 1547.9298260834062, 1539.0971344430602, 1525.0721958552292, 1534.765061457349, 1518.2709321635616, 1522.2559949776478, 1529.4381229238286, 1525.9463068269713, 1521.5544634017106, 1530.617117290877, 1534.3924176677772, 1526.9900745189557, 1534.4004923413606, 1544.8217591580035, 1532.6001113654602, 1524.4117091847029, 1514.9724189124258, 1505.9550568653829, 1516.767669353674, 1502.247127189727, 1503.5867009935962, 1490.6426892216657, 1477.617370104925, 1461.0698119536253, 1453.3125392380498, 1477.144818627568, 1494.975084742927, 1494.5564229564905, 1499.581695403832, 1507.232773306261, 1498.8145545037626, 1487.5133921696329, 1477.7277839576468, 1463.4631524526353, 1482.6612521914642, 1484.254899294881, 1470.3092173021337, 1450.2308251976494, 1460.8737081616107, 1453.5970971526897, 1458.123064346086, 1437.741187179494, 1428.188768521276, 1425.7803481182216, 1420.2244667773775, 1417.8525674464895, 1409.344090257407, 1399.9450004004543, 1386.9920282687372, 1375.2407612679851, 1370.1026825736417, 1366.6827925293862, 1390.8482869202044, 1379.088459316167, 1373.3456310624963, 1387.310969602726, 1380.912858172068, 1380.010497241102, 1377.7339227618124, 1392.0158351484808, 1385.8956338848825, 1378.8401114602038, 1372.8945759325202, 1391.677143942895, 1383.549008111018]",23,13,7,10.810000000000002,-9.069999999999993,26,23,16,24,14,6,27,26,15,18
