Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,plm_rank,zon_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,Total Assists,Total Points,ixG,GF%,xGF%,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Overall Draft Position,Player ID,evo_history,evd_history,ppl_history,pkl_history,team_history
2015-2016,Barret Jackman,NSH,D,180.0,29.0,,111.0,163.0,6.0,106.0,176.0,169.0,105.0,193.0,43.0,,195.0,Third Pair,73,1011.5833333333,1,4,5,2.45,50.91,53.49,34,1981-03-05,CAN,CAN,72,203,1999,1,17,8467890.0,"[31, 43, 49, 51, 17]","[93, 96, 86, 94, 82]","[None, None, None, None, None]","[92, 96, 90, 95, 17]","['STL', 'STL', 'STL', 'STL', 'NSH']"
2015-2016,Ben Chiarot,WPG,D,151.0,97.0,,,127.0,135.0,90.0,144.0,163.0,142.0,92.0,36.0,,163.0,Third Pair,70,1012.05,1,9,10,3.0,42.47,48.20,24,1991-05-09,CAN,CAN,75,232,2009,4,120,8475279.0,"[None, None, None, 72, 26]","[None, None, None, 54, 57]","[None, None, None, None, None]","[None, None, None, 46, None]","[None, None, None, 'WPG', 'WPG']"
2015-2016,Ben Hutton,VAN,D,112.0,183.0,102.0,40.0,217.0,205.0,152.0,200.0,25.0,96.0,5.0,202.0,,89.0,Second Pair,75,1490.5,1,24,25,4.99,41.89,43.66,22,1993-04-20,CAN,CAN,75,201,2012,5,147,8477018.0,"[None, None, None, None, 49]","[None, None, None, None, 24]","[None, None, None, None, 17]","[None, None, None, None, 76]","[None, None, None, None, 'VAN']"
2015-2016,Ben Lovejoy,PIT,D,116.0,15.0,,24.0,98.0,40.0,56.0,68.0,181.0,170.0,169.0,22.0,,106.0,Second Pair,66,1245.2166666667,4,6,10,3.06,52.70,55.65,31,1984-02-20,USA,USA,73,205,-,-,-,8473933.0,"[58, 68, 59, 39, 52]","[75, 82, 88, 85, 94]","[None, None, None, None, None]","[None, 27, 82, 90, 79]","['PIT', 'PIT', 'ANA', 'PIT', 'PIT']"
2015-2016,Brandon Davidson,EDM,D,105.0,67.0,,81.0,158.0,24.0,77.0,93.0,100.0,165.0,182.0,93.0,,93.0,Second Pair,51,979.01666666667,4,7,11,3.06,52.94,53.13,24,1991-08-21,CAN,CAN,74,204,2010,6,162,8475869.0,"[None, None, None, None, 53]","[None, None, None, None, 70]","[None, None, None, None, None]","[None, None, None, None, 52]","[None, None, None, None, 'EDM']"
2015-2016,Brandon Gormley,COL,D,220.0,173.0,,,148.0,158.0,188.0,201.0,224.0,18.0,168.0,133.0,,226.0,Fringe,26,316.56666666667,0,1,1,0.49,44.83,48.20,23,1992-02-18,CAN,CAN,74,188,2010,1,13,8475759.0,"[None, None, None, 44, 2]","[None, None, None, 63, 17]","[None, None, None, None, None]","[None, None, None, 6, None]","[None, None, None, 'ARI', 'COL']"
2015-2016,Brandon Manning,PHI,D,114.0,121.0,,108.0,192.0,86.0,54.0,163.0,74.0,31.0,11.0,42.0,,202.0,Third Pair,56,925.55,1,6,7,2.83,51.16,46.34,25,1990-06-04,CAN,CAN,73,205,-,-,-,8475430.0,"[None, None, None, None, 48]","[None, None, None, None, 48]","[None, None, None, None, None]","[None, None, None, None, 42]","[None, None, None, None, 'PHI']"
2015-2016,Brayden McNabb,LAK,D,72.0,140.0,,148.0,24.0,8.0,96.0,148.0,61.0,93.0,181.0,16.0,,166.0,Second Pair,81,1524.0166666667,2,12,14,4.0,55.29,56.28,24,1991-01-21,CAN,CAN,76,215,2009,3,66,8475188.0,"[33, None, None, 76, 62]","[96, None, None, 25, 46]","[None, None, None, 51, None]","[6, None, None, None, 22]","['BUF', None, None, 'LAK', 'LAK']"
2015-2016,Braydon Coburn,TBL,D,137.0,101.0,,59.0,140.0,57.0,76.0,161.0,145.0,161.0,174.0,74.0,,162.0,Third Pair,80,1340.1833333333,1,9,10,3.88,52.33,50.99,30,1985-02-27,CAN,CAN,77,224,2003,1,8,8470601.0,"[91, 36, 52, 47, 35]","[18, 20, 24, 58, 59]","[None, None, None, None, None]","[47, 19, 71, 22, 83]","['PHI', 'PHI', 'PHI', 'PHI', 'TBL']"
2015-2016,Brendan Smith,DET,D,88.0,184.0,,107.0,90.0,23.0,101.0,98.0,101.0,9.0,170.0,112.0,,176.0,Third Pair,63,1109.0,3,12,15,4.37,54.93,54.58,26,1989-02-08,CAN,CAN,74,200,2007,1,27,8474090.0,"[None, 10, 76, 19, 79]","[None, 44, 23, 34, 16]","[None, 13, None, None, None]","[None, 10, 33, 73, 36]","[None, 'DET', 'DET', 'DET', 'DET']"
2015-2016,Brenden Dillon,SJS,D,140.0,143.0,,90.0,108.0,107.0,71.0,150.0,152.0,97.0,179.0,34.0,,156.0,Third Pair,76,1268.2833333333,2,9,11,3.86,52.11,52.18,24,1990-11-13,CAN,CAN,76,224,-,-,-,8475455.0,"[None, 65, 59, 23, 47]","[None, 28, 32, 33, 39]","[None, None, None, None, None]","[None, 19, 19, 10, 84]","[None, 'DAL', 'DAL', 'SJS', 'SJS']"
2015-2016,Brent Burns,SJS,D,1.0,171.0,6.0,92.0,34.0,124.0,1.0,1.0,3.0,67.0,132.0,115.0,,1.0,First Pair,82,2120.85,27,48,75,19.01,52.94,54.12,30,1985-03-09,CAN,CAN,77,230,2003,1,20,8470613.0,"[97, 99, 100, 100, 100]","[19, 3, 62, 9, 35]","[90, 80, 80, 95, 85]","[36, None, None, 18, 69]","['SJS', 'SJS', 'SJS', 'SJS', 'SJS']"
2015-2016,Brent Seabrook,CHI,D,83.0,195.0,29.0,131.0,143.0,194.0,60.0,48.0,110.0,13.0,112.0,94.0,,20.0,First Pair,81,1847.8666666667,14,35,49,8.82,47.83,43.97,30,1985-04-20,CAN,CAN,75,220,2003,1,14,8470607.0,"[90, 55, 97, 73, 46]","[64, 52, 64, 26, 7]","[10, 54, 52, 74, 79]","[34, 43, 32, 53, 27]","['CHI', 'CHI', 'CHI', 'CHI', 'CHI']"
2015-2016,Brett Pesce,CAR,D,197.0,4.0,10.0,4.0,208.0,64.0,126.0,92.0,207.0,107.0,52.0,220.0,,130.0,Second Pair,69,1294.7666666667,4,12,16,3.97,45.16,50.57,20,1994-11-15,USA,USA,75,206,2013,3,66,8477488.0,"[None, None, None, None, 19]","[None, None, None, None, 96]","[None, None, None, None, 82]","[None, None, None, None, 97]","[None, None, None, None, 'CAR']"
2015-2016,Brian Campbell,FLA,D,115.0,64.0,90.0,113.0,13.0,12.0,207.0,137.0,117.0,58.0,55.0,225.0,,96.0,First Pair,82,1826.7833333333,6,25,31,5.73,64.81,53.30,36,1979-05-23,CAN,CAN,70,192,1997,6,156,8466285.0,"[33, 16, 36, 21, 68]","[80, 23, 67, 77, 64]","[80, 59, 26, 33, 24]","[13, 56, 42, 50, 37]","['FLA', 'FLA', 'FLA', 'FLA', 'FLA']"
2015-2016,Brian Dumoulin,PIT,D,66.0,48.0,,38.0,10.0,17.0,88.0,214.0,39.0,138.0,17.0,145.0,,180.0,Second Pair,79,1491.9666666667,0,16,16,4.84,55.43,56.68,23,1991-09-06,USA,USA,76,207,2009,2,51,8475208.0,"[None, None, None, None, 70]","[None, None, None, None, 77]","[None, None, None, None, None]","[None, None, None, None, 77]","[None, None, None, None, 'PIT']"
2015-2016,Brian Strait,NYI,D,201.0,138.0,,173.0,117.0,226.0,134.0,134.0,220.0,119.0,200.0,33.0,,181.0,Third Pair,52,802.58333333333,1,5,6,2.07,48.94,45.09,27,1988-01-04,USA,USA,73,188,2006,3,65,8473565.0,"[None, 70, 14, 35, 11]","[None, 25, 46, 22, 46]","[None, None, None, None, None]","[None, 61, 63, 0, 10]","[None, 'NYI', 'NYI', 'NYI', 'NYI']"
2015-2016,Brooks Orpik,WSH,D,110.0,35.0,,114.0,3.0,163.0,213.0,129.0,162.0,118.0,206.0,12.0,,87.0,Second Pair,41,812.23333333333,3,7,10,1.07,55.71,54.63,34,1980-09-26,USA,USA,75,217,2000,1,18,8468498.0,"[59, 28, 9, 37, 68]","[76, 95, 48, 83, 85]","[None, None, None, None, None]","[69, 10, 65, 9, 58]","['PIT', 'PIT', 'PIT', 'WSH', 'WSH']"
2015-2016,Calvin de Haan,NYI,D,71.0,71.0,,12.0,21.0,138.0,69.0,181.0,62.0,92.0,45.0,69.0,,63.0,Second Pair,72,1485.5666666667,2,14,16,3.67,49.46,52.24,24,1991-05-09,CAN,CAN,73,195,2009,1,12,8475177.0,"[None, None, 78, 65, 67]","[None, None, 88, 57, 64]","[None, None, 48, None, None]","[None, None, 4, 42, 98]","[None, None, 'NYI', 'NYI', 'NYI']"
2015-2016,Cam Fowler,ANA,D,138.0,122.0,45.0,82.0,76.0,188.0,199.0,146.0,119.0,191.0,85.0,200.0,,58.0,First Pair,69,1571.8666666667,5,23,28,6.89,44.32,48.10,23,1991-12-05,CAN,USA,74,215,2010,1,12,8475764.0,"[29, 3, 50, 49, 34]","[30, 11, 79, 24, 49]","[46, 61, 78, 17, 77]","[None, None, 25, 71, 47]","['ANA', 'ANA', 'ANA', 'ANA', 'ANA']"
2015-2016,Carl Gunnarsson,STL,D,193.0,20.0,,15.0,77.0,71.0,215.0,143.0,199.0,90.0,84.0,139.0,,160.0,Third Pair,72,1251.3333333333,3,6,9,2.15,51.95,51.44,28,1986-11-09,SWE,SWE,74,198,2007,7,194,8474125.0,"[33, 33, 25, 32, 16]","[38, 22, 41, 98, 88]","[30, 5, None, None, None]","[35, 51, 45, 98, 85]","['TOR', 'TOR', 'TOR', 'STL', 'STL']"
2015-2016,Carlo Colaiacovo,BUF,D,184.0,88.0,,,215.0,136.0,161.0,97.0,158.0,57.0,128.0,106.0,,190.0,Third Pair,36,521.01666666667,1,4,5,1.44,35.90,46.07,32,1983-01-27,CAN,CAN,73,202,2001,1,17,8469470.0,"[48, None, 42, 63, 13]","[91, None, 70, 69, 50]","[20, None, 32, None, None]","[None, None, None, None, None]","['STL', None, 'STL', 'PHI', 'BUF']"
2015-2016,Chris Bigras,COL,D,229.0,204.0,,,230.0,196.0,184.0,211.0,219.0,17.0,228.0,181.0,,228.0,Third Pair,31,413.6,1,2,3,1.56,40.00,42.40,20,1995-02-22,CAN,CAN,73,191,2013,2,32,8477453.0,"[None, None, None, None, 2]","[None, None, None, None, 14]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'COL']"
2015-2016,Chris Tanev,VAN,D,211.0,13.0,103.0,93.0,180.0,47.0,227.0,196.0,184.0,221.0,7.0,227.0,,83.0,Second Pair,69,1501.0,4,14,18,2.25,43.42,47.72,25,1989-12-20,CAN,CAN,74,193,-,-,-,8475690.0,"[25, 12, 44, 9, 8]","[92, 98, 98, 96, 90]","[None, None, None, None, 15]","[8, 92, 76, 94, 30]","['VAN', 'VAN', 'VAN', 'VAN', 'VAN']"
2015-2016,Chris Wideman,OTT,D,36.0,174.0,,,109.0,172.0,29.0,12.0,79.0,61.0,224.0,123.0,,135.0,Third Pair,64,892.81666666667,6,7,13,4.07,53.33,49.04,25,1990-01-07,USA,USA,70,181,2009,4,100,8475227.0,"[None, None, None, None, 81]","[None, None, None, None, 29]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'OTT']"
2015-2016,Christian Ehrhoff,CHI,D,142.0,170.0,26.0,,182.0,102.0,19.0,66.0,190.0,48.0,154.0,141.0,,95.0,Third Pair,48,743.21666666667,2,10,12,3.7,39.02,48.60,33,1982-07-06,DEU,DEU,74,201,2001,4,106,8469555.0,"[63, 88, 48, 86, 20]","[18, 74, 18, 43, 24]","[82, 46, 23, 10, 95]","[53, 57, 31, 42, None]","['BUF', 'BUF', 'BUF', 'PIT', 'LAK']"
2015-2016,Christian Ehrhoff,LAK,D,142.0,170.0,26.0,,182.0,102.0,19.0,66.0,190.0,48.0,154.0,141.0,,95.0,Third Pair,48,743.21666666667,2,10,12,3.7,39.02,48.60,33,1982-07-06,DEU,DEU,74,201,2001,4,106,8469555.0,"[63, 88, 48, 86, 20]","[18, 74, 18, 43, 24]","[82, 46, 23, 10, 95]","[53, 57, 31, 42, None]","['BUF', 'BUF', 'BUF', 'PIT', 'LAK']"
2015-2016,Christian Folin,MIN,D,162.0,84.0,,166.0,213.0,99.0,209.0,206.0,50.0,95.0,82.0,71.0,,210.0,Third Pair,26,379.08333333333,0,4,4,0.34,45.00,43.06,24,1991-02-09,SWE,SWE,75,204,-,-,-,8477850.0,"[None, None, None, 77, 22]","[None, None, None, 64, 58]","[None, None, None, None, None]","[None, None, None, None, 8]","[None, None, None, 'MIN', 'MIN']"
2015-2016,Clayton Stoner,ANA,D,206.0,151.0,,72.0,171.0,29.0,175.0,217.0,186.0,86.0,216.0,10.0,,219.0,Third Pair,50,768.01666666667,1,5,6,1.6,51.35,51.95,30,1985-02-19,CAN,CAN,76,216,2004,3,79,8470886.0,"[13, 18, 12, 53, 5]","[79, 52, 84, 21, 35]","[None, None, None, None, None]","[56, 76, 61, 78, 42]","['MIN', 'MIN', 'MIN', 'ANA', 'ANA']"
2015-2016,Cody Ceci,OTT,D,53.0,104.0,,147.0,191.0,152.0,39.0,17.0,68.0,157.0,76.0,152.0,,76.0,Second Pair,75,1447.5166666667,10,16,26,5.12,52.00,45.16,21,1993-12-21,CAN,CAN,74,210,2012,1,15,8476879.0,"[None, None, 91, 64, 73]","[None, None, 29, 42, 63]","[None, None, 2, 57, None]","[None, None, 67, 34, 15]","[None, None, 'OTT', 'OTT', 'OTT']"
2015-2016,Cody Franson,BUF,D,154.0,114.0,32.0,,210.0,121.0,82.0,90.0,141.0,158.0,173.0,66.0,,79.0,Third Pair,59,993.4,4,13,17,4.23,43.18,46.45,28,1987-08-08,CAN,CAN,77,224,2005,3,79,8471742.0,"[61, 94, 37, 81, 21]","[6, 21, 21, 36, 56]","[60, 65, 73, 85, 68]","[None, 99, 40, 47, None]","['TOR', 'TOR', 'TOR', 'TOR', 'BUF']"
2015-2016,Cody Goloubef,CBJ,D,145.0,93.0,,146.0,59.0,95.0,138.0,186.0,168.0,177.0,218.0,132.0,,201.0,Third Pair,43,650.45,1,7,8,1.26,52.38,52.19,25,1989-11-30,CAN,CAN,73,190,2008,2,37,8474597.0,"[None, None, None, 73, 27]","[None, None, None, 47, 60]","[None, None, None, None, None]","[None, None, None, 43, 19]","[None, None, None, 'CBJ', 'CBJ']"
2015-2016,Colin Miller,BOS,D,56.0,128.0,43.0,,95.0,59.0,55.0,35.0,75.0,2.0,192.0,102.0,,97.0,Third Pair,42,663.38333333333,3,13,16,2.8,53.33,52.77,22,1992-10-29,CAN,CAN,73,200,2012,5,151,8476525.0,"[None, None, None, None, 73]","[None, None, None, None, 43]","[None, None, None, None, 62]","[None, None, None, None, None]","[None, None, None, None, 'BOS']"
2015-2016,Colton Parayko,STL,D,3.0,1.0,72.0,5.0,4.0,10.0,7.0,41.0,1.0,78.0,13.0,103.0,,41.0,Second Pair,79,1531.5666666667,9,24,33,7.76,63.16,56.09,22,1993-05-12,CAN,CAN,78,228,2012,3,86,8476892.0,"[None, None, None, None, 98]","[None, None, None, None, 100]","[None, None, None, None, 36]","[None, None, None, None, 96]","[None, None, None, None, 'STL']"
2015-2016,Connor Murphy,ARI,D,147.0,40.0,111.0,87.0,173.0,155.0,125.0,75.0,150.0,162.0,96.0,44.0,,109.0,Second Pair,78,1599.75,6,11,17,4.14,52.69,47.75,22,1993-03-26,USA,USA,76,212,2011,1,20,8476473.0,"[None, None, 70, 11, 53]","[None, None, 76, 59, 87]","[None, None, None, None, 5]","[None, None, 25, 68, 48]","[None, None, 'PHX', 'ARI', 'ARI']"
2015-2016,Dalton Prout,CBJ,D,148.0,135.0,,134.0,164.0,134.0,115.0,174.0,116.0,153.0,229.0,21.0,,186.0,Third Pair,64,1035.05,3,6,9,2.22,44.29,50.69,25,1990-03-13,CAN,CAN,75,215,2010,6,154,8474774.0,"[None, 10, 10, 33, 47]","[None, 71, 89, 38, 33]","[None, None, None, None, None]","[None, 29, 49, 24, 33]","[None, 'CBJ', 'CBJ', 'CBJ', 'CBJ']"
2015-2016,Damon Severson,NJD,D,131.0,198.0,81.0,,203.0,70.0,105.0,128.0,118.0,75.0,80.0,178.0,,140.0,Second Pair,72,1307.8666666667,1,20,21,5.57,46.84,47.49,21,1994-08-07,CAN,CAN,74,205,2012,2,60,8476923.0,"[None, None, None, 15, 56]","[None, None, None, 10, 17]","[None, None, None, 26, 34]","[None, None, None, 11, None]","[None, None, None, 'NJD', 'NJD']"
