Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,plm_rank,zon_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,Total Assists,Total Points,ixG,GF%,xGF%,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Overall Draft Position,Player ID,evo_history,evd_history,ppl_history,pkl_history,team_history
2015-2016,Aaron Ekblad,FLA,D,31.0,108.0,86.0,,124.0,16.0,38.0,6.0,59.0,19.0,144.0,126.0,,46.0,Second Pair,78,1690.8166666667,15,21,36,10.22,56.57,50.85,19,1996-02-07,CAN,CAN,76,215,2014,1,1,8477932.0,"[None, None, None, 87, 84]","[None, None, None, 65, 45]","[None, None, None, 36, 27]","[None, None, None, None, None]","[None, None, None, 'FLA', 'FLA']"
2015-2016,Adam Clendening,EDM,D,135.0,211.0,,,45.0,171.0,68.0,136.0,216.0,66.0,219.0,183.0,,143.0,Third Pair,29,429.08333333333,1,6,7,1.77,62.07,48.17,22,1992-10-26,USA,USA,72,194,2011,2,36,8476431.0,"[None, None, None, 14, 56]","[None, None, None, 0, 25]","[None, None, None, 47, None]","[None, None, None, None, None]","[None, None, None, 'VAN', 'PIT']"
2015-2016,Adam Clendening,PIT,D,135.0,211.0,,,45.0,171.0,68.0,136.0,216.0,66.0,219.0,183.0,,143.0,Third Pair,29,429.08333333333,1,6,7,1.77,62.07,48.17,22,1992-10-26,USA,USA,72,194,2011,2,36,8476431.0,"[None, None, None, 14, 56]","[None, None, None, 0, 25]","[None, None, None, 47, None]","[None, None, None, None, None]","[None, None, None, 'VAN', 'PIT']"
2015-2016,Adam Larsson,NJD,D,182.0,6.0,,56.0,223.0,2.0,189.0,170.0,88.0,229.0,199.0,68.0,,110.0,First Pair,82,1846.1,3,15,18,3.85,54.67,49.74,22,1992-11-12,SWE,SWE,75,209,2011,1,4,8476457.0,"[30, 29, 34, 71, 11]","[27, 87, 78, 88, 99]","[18, None, None, None, None]","[None, 57, 88, 79, 46]","['NJD', 'NJD', 'NJD', 'NJD', 'NJD']"
2015-2016,Adam McQuaid,BOS,D,208.0,49.0,,22.0,179.0,48.0,192.0,198.0,194.0,100.0,213.0,19.0,,173.0,Second Pair,64,1154.5666666667,1,8,9,1.31,49.18,47.59,28,1986-10-12,CAN,CAN,76,210,2005,2,55,8471717.0,"[35, 29, 62, 7, 12]","[92, 86, 79, 82, 73]","[None, None, None, None, None]","[91, None, 62, 51, 93]","['BOS', 'BOS', 'BOS', 'BOS', 'BOS']"
2015-2016,Adam Pardy,EDM,D,96.0,209.0,,32.0,147.0,201.0,147.0,213.0,57.0,56.0,116.0,87.0,,203.0,Third Pair,23,365.33333333333,0,4,4,1.22,30.43,50.21,31,1984-03-29,CAN,CAN,76,227,2004,6,173,8471385.0,"[3, 20, 23, 43, 66]","[67, 9, 54, 13, 5]","[None, None, None, None, None]","[26, 42, 48, 62, 86]","['DAL', 'BUF', 'WPG', 'WPG', 'WPG']"
2015-2016,Adam Pardy,WPG,D,96.0,209.0,,32.0,147.0,201.0,147.0,213.0,57.0,56.0,116.0,87.0,,203.0,Third Pair,23,365.33333333333,0,4,4,1.22,30.43,50.21,31,1984-03-29,CAN,CAN,76,227,2004,6,173,8471385.0,"[3, 20, 23, 43, 66]","[67, 9, 54, 13, 5]","[None, None, None, None, None]","[26, 42, 48, 62, 86]","['DAL', 'BUF', 'WPG', 'WPG', 'WPG']"
2015-2016,Alec Martinez,LAK,D,48.0,41.0,14.0,35.0,67.0,35.0,122.0,24.0,81.0,117.0,103.0,57.0,,37.0,Second Pair,78,1649.75,10,21,31,6.88,56.41,52.49,28,1987-07-26,USA,USA,73,210,2007,4,95,8474166.0,"[69, 6, 82, 91, 60]","[90, 74, 80, 76, 82]","[96, 1, 65, 47, 93]","[None, None, None, 99, 53]","['LAK', 'LAK', 'LAK', 'LAK', 'LAK']"
2015-2016,Alex Biega,VAN,D,176.0,225.0,,69.0,160.0,228.0,57.0,221.0,140.0,113.0,70.0,28.0,,212.0,Third Pair,51,854.93333333333,0,7,7,2.13,44.07,41.08,27,1988-04-04,CAN,CAN,70,195,2006,5,147,8473415.0,"[None, None, None, None, 31]","[None, None, None, None, 3]","[None, None, None, None, None]","[None, None, None, None, 58]","[None, None, None, None, 'VAN']"
2015-2016,Alex Goligoski,DAL,D,15.0,218.0,88.0,46.0,1.0,203.0,97.0,88.0,29.0,146.0,58.0,147.0,,42.0,First Pair,82,1954.1333333333,5,32,37,5.62,55.40,52.84,30,1985-07-30,USA,USA,71,173,2004,2,61,8471274.0,"[82, 87, 88, 88, 93]","[43, 3, 12, 14, 2]","[34, 83, 63, 31, 21]","[66, 74, 37, 50, 80]","['DAL', 'DAL', 'DAL', 'DAL', 'DAL']"
2015-2016,Alex Petrovic,FLA,D,118.0,98.0,,78.0,86.0,79.0,167.0,177.0,95.0,139.0,177.0,9.0,,193.0,Third Pair,66,1119.0666666667,2,15,17,1.98,58.67,50.95,23,1992-03-03,CAN,CAN,76,220,2010,2,36,,"[None, None, None, 3, 80]","[None, None, None, 29, 72]","[None, None, None, None, None]","[None, None, None, 63, 48]","[None, None, None, 'FLA', 'FLA']"
2015-2016,Alex Pietrangelo,STL,D,11.0,24.0,85.0,58.0,48.0,91.0,18.0,44.0,10.0,126.0,10.0,212.0,,13.0,First Pair,73,1920.25,7,30,37,9.35,57.14,51.91,25,1990-01-18,CAN,CAN,75,215,2008,1,4,8474565.0,"[92, 91, 96, 87, 95]","[96, 84, 95, 78, 90]","[98, 70, 66, 65, 12]","[95, 98, 92, 81, 44]","['STL', 'STL', 'STL', 'STL', 'STL']"
2015-2016,Alexander Edler,VAN,D,156.0,85.0,84.0,121.0,166.0,108.0,24.0,103.0,191.0,215.0,207.0,117.0,,30.0,First Pair,52,1271.5333333333,6,14,20,5.0,50.00,45.86,29,1986-04-21,SWE,SWE,76,210,2004,3,91,8471303.0,"[89, 74, 35, 52, 30]","[41, 58, 90, 45, 57]","[89, 56, 80, 61, 13]","[70, 93, 79, 53, 29]","['VAN', 'VAN', 'VAN', 'VAN', 'VAN']"
2015-2016,Alexei Emelin,MTL,D,204.0,203.0,,164.0,162.0,113.0,198.0,199.0,183.0,206.0,187.0,5.0,,151.0,Second Pair,72,1475.85,0,12,12,2.73,41.98,51.86,29,1986-04-25,RUS,RUS,74,218,2004,3,84,8471296.0,"[22, 82, 24, 13, 16]","[1, 8, 16, 27, 6]","[None, None, None, None, None]","[58, 20, 17, 14, 7]","['MTL', 'MTL', 'MTL', 'MTL', 'MTL']"
2015-2016,Alexey Marchenko,DET,D,183.0,130.0,,37.0,177.0,80.0,212.0,131.0,126.0,110.0,8.0,195.0,,185.0,Third Pair,66,1110.85,2,9,11,2.06,48.44,47.58,23,1992-01-02,RUS,RUS,75,210,2011,7,205,8476289.0,"[None, None, None, None, 27]","[None, None, None, None, 43]","[None, None, None, None, None]","[None, None, None, None, 78]","[None, None, None, None, 'DET']"
2015-2016,Andrei Markov,MTL,D,19.0,149.0,52.0,136.0,19.0,127.0,148.0,160.0,5.0,109.0,69.0,210.0,,28.0,First Pair,82,1954.5333333333,5,39,44,6.84,51.82,50.10,36,1978-12-20,RUS,RUS,72,200,1998,6,162,8467496.0,"[None, 34, 90, 76, 93]","[None, 6, 17, 67, 30]","[None, 89, 47, 87, 50]","[None, 8, 58, 29, 25]","[None, 'MTL', 'MTL', 'MTL', 'MTL']"
2015-2016,Andrej Sekera,EDM,D,126.0,112.0,28.0,132.0,62.0,191.0,81.0,173.0,138.0,196.0,30.0,189.0,,48.0,Second Pair,81,1768.6333333333,6,24,30,7.75,42.31,49.65,29,1986-06-08,SVK,SVK,72,200,2004,3,71,8471284.0,"[40, 61, 88, 55, 31]","[82, 17, 83, 64, 36]","[13, 10, 87, 25, 87]","[59, 52, 70, 94, 8]","['BUF', 'BUF', 'CAR', 'CAR', 'EDM']"
2015-2016,Andrej Sustr,TBL,D,158.0,142.0,,51.0,105.0,78.0,171.0,124.0,149.0,166.0,191.0,217.0,,199.0,Third Pair,77,1296.4,4,17,21,3.11,50.00,49.08,24,1990-11-29,CZE,CZE,79,217,-,-,-,8477205.0,"[None, None, 7, 27, 51]","[None, None, 16, 79, 30]","[None, None, None, None, None]","[None, None, 60, 69, 64]","[None, None, 'TBL', 'TBL', 'TBL']"
2015-2016,Andrew Bodnarchuk,COL,D,141.0,223.0,,,100.0,230.0,230.0,230.0,46.0,91.0,183.0,84.0,,229.0,Fringe,37,456.56666666667,0,4,4,0.34,40.00,44.38,27,1988-07-11,CAN,CAN,71,195,2006,5,128,8473550.0,"[None, None, None, None, 40]","[None, None, None, None, 7]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'CBJ']"
2015-2016,Andrew Bodnarchuk,CBJ,D,141.0,223.0,,,100.0,230.0,230.0,230.0,46.0,91.0,183.0,84.0,,229.0,Fringe,37,456.56666666667,0,4,4,0.34,40.00,44.38,27,1988-07-11,CAN,CAN,71,195,2006,5,128,8473550.0,"[None, None, None, None, 40]","[None, None, None, None, 7]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'CBJ']"
2015-2016,Andrew MacDonald,PHI,D,127.0,66.0,12.0,68.0,83.0,128.0,216.0,162.0,103.0,44.0,68.0,211.0,,81.0,Second Pair,28,563.33333333333,1,7,8,0.97,58.54,52.21,28,1986-09-07,CAN,CAN,73,204,2006,6,160,8473584.0,"[18, 14, 9, 17, 72]","[89, 82, 65, 66, 70]","[7, 38, 30, 42, 96]","[40, 9, 22, 77, 53]","['NYI', 'NYI', 'PHI', 'PHI', 'PHI']"
2015-2016,Andy Greene,NJD,D,215.0,8.0,,119.0,222.0,3.0,211.0,183.0,178.0,230.0,50.0,184.0,,113.0,First Pair,82,1882.4,4,9,13,4.26,52.00,48.02,32,1982-10-30,USA,USA,71,190,-,-,-,8472382.0,"[64, 17, 32, 28, 3]","[94, 100, 91, 97, 97]","[None, 40, 54, None, None]","[88, 93, 80, 26, 38]","['NJD', 'NJD', 'NJD', 'NJD', 'NJD']"
2015-2016,Anthony Bitetto,NSH,D,170.0,39.0,,,201.0,94.0,165.0,80.0,139.0,28.0,126.0,25.0,,171.0,Fringe,28,339.75,1,5,6,0.96,50.00,48.31,25,1990-07-15,USA,USA,73,222,2010,6,168,8475868.0,"[None, None, None, None, 33]","[None, None, None, None, 83]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'NSH']"
2015-2016,Anton Stralman,TBL,D,42.0,27.0,77.0,124.0,27.0,1.0,44.0,22.0,127.0,71.0,64.0,128.0,,70.0,First Pair,73,1611.6666666667,9,25,34,8.27,62.12,56.99,29,1986-08-01,SWE,SWE,71,193,2005,7,216,8471873.0,"[69, 86, 45, 96, 62]","[87, 31, 33, 60, 96]","[75, 2, None, 39, 31]","[None, 94, 91, 39, 28]","['NYR', 'NYR', 'NYR', 'TBL', 'TBL']"
