Season,Player,Team,Position,ovr_pct,evo_pct,evd_pct,ppl_pct,pkl_pct,fin_pct,gol_pct,xgl_pct,ast_pct,pen_pct,hit_pct,ozs_pct,pdo_pct,tmt_pct,cmp_pct,ovr_rank,evo_rank,evd_rank,ppl_rank,pkl_rank,fin_rank,gol_rank,xgl_rank,ast_rank,pen_rank,hit_rank,ozs_rank,pdo_rank,tmt_rank,cmp_rank,all_players,ppl_players,pkl_players,Role,GP,TOI,Goals,Total Assists,Total Points,ixG,GF%,xGF%,Player ID,Specific Position,Height (in),Weight (lbs),Date of Birth,Birth Country,Draft Year,Draft Round,Overall Draft Position,Shoots Catches,Age,ovr_history,evo_history,evd_history,team_history
2017-2018,Alexei Emelin,NSH,D,2.9,0.8,65.0,,5.8,15.2,10.7,9.9,22.6,5.3,95.9,18.5,75.3,88.5,53.5,237,242,86,,163.0,207,218,220,189,202,11,198,61,29,114,243,105,172,Third Pair,76.0,1282.9833333333331,1.0,8.0,9.0,2.083634536380165,55.714285714285715,47.19166554128179,8471296,D,74.0,218.0,1986-04-25,RUS,2004.0,3.0,84.0,L,31,"[13, 11, 6, 3, 2]","[25, 2, 36, 2, 1]","[9, 43, 62, 69, 61]","['MTL', 'MTL', 'MTL', 'MTL', 'NSH']"
2017-2018,Andreas Borgman,TOR,D,33.7,48.6,55.6,,,77.0,87.7,31.3,68.7,11.3,98.4,81.1,93.8,42.8,2.9,162,126,109,,,57,31,168,77,188,5,47,16,140,237,243,105,172,Third Pair,48.0,657.0,3.0,8.0,11.0,1.7829512864205481,53.2258064516129,51.749848908478626,8480158,D,72.0,200.0,1995-06-18,SWE,,,,L,22,"[None, None, None, None, 33]","[None, None, None, None, 44]","[None, None, None, None, 56]","[None, None, None, None, 'TOR']"
2017-2018,Andrej Sekera,EDM,D,77.0,82.3,42.0,81.0,77.3,31.3,17.7,45.3,72.0,53.9,34.2,65.8,2.5,46.5,52.7,57,44,142,21.0,40.0,168,201,134,69,87,161,83,238,131,116,243,105,172,Third Pair,36.0,587.9,0.0,8.0,8.0,1.397058243022634,25.0,43.720049799887626,8471284,D,72.0,200.0,1986-06-08,SVK,2004.0,3.0,71.0,L,31,"[87, 79, 82, 90, 46]","[97, 87, 93, 95, 57]","[25, 49, 54, 60, 26]","['CAR', 'LAK', 'EDM', 'EDM', 'EDM']"
2017-2018,Andrej Sustr,TBL,D,24.3,40.3,55.1,,,61.7,63.4,55.1,79.8,9.5,14.0,2.1,27.2,66.3,27.2,185,146,110,,,94,90,110,50,192,210,238,178,83,178,243,105,172,Fringe,44.0,564.9166666666666,2.0,5.0,7.0,1.780741311242719,44.680851063829785,49.81295439984376,8477205,D,79.0,217.0,1990-11-29,CZE,,,,R,26,"[37, 24, 32, 18, 35]","[55, 16, 37, 42, 40]","[35, 62, 48, 65, 46]","['TBL', 'TBL', 'TBL', 'TBL', 'TBL']"
2017-2018,Andrew MacDonald,PHI,D,10.3,5.8,25.1,,12.8,85.6,72.0,35.0,48.1,65.0,17.7,21.4,64.6,46.9,80.2,219,230,183,,151.0,36,69,159,127,68,201,191,87,130,49,243,105,172,Second Pair,66.0,1310.1833333333334,6.0,15.0,21.0,3.695953293425705,51.21951219512195,47.89014576531272,8473584,D,73.0,204.0,1986-09-07,CAN,2006.0,6.0,160.0,L,30,"[1, 14, 42, 11, 12]","[3, 24, 18, 5, 7]","[4, 24, 22, 46, 17]","['PHI', 'PHI', 'PHI', 'PHI', 'PHI']"
2017-2018,Andy Greene,NJD,D,84.8,23.9,96.3,,70.3,11.1,21.8,36.6,19.3,85.2,23.5,0.8,31.7,37.4,95.1,38,186,10,,52.0,217,191,155,197,31,187,241,167,153,13,243,105,172,Second Pair,81.0,1711.0333333333333,3.0,10.0,13.0,3.9017649088027015,45.04504504504504,49.32069526433815,8472382,D,71.0,190.0,1982-10-30,USA,,,,L,34,"[92, 91, 80, 82, 84]","[32, 32, 6, 54, 21]","[99, 99, 98, 93, 95]","['NJD', 'NJD', 'NJD', 'NJD', 'NJD']"
2017-2018,Anthony Bitetto,NSH,D,20.6,28.4,28.8,,,50.2,23.0,18.5,38.7,45.3,83.1,78.6,75.7,45.3,4.5,194,175,174,,,122,188,199,150,108,42,53,60,134,233,243,105,172,Third Pair,32.0,430.06666666666666,1.0,2.0,3.0,0.9487566471583732,48.148148148148145,44.21606005798464,8475868,D,73.0,222.0,1990-07-15,USA,2010.0,6.0,168.0,L,27,"[None, None, 43, 23, 22]","[None, None, 34, 37, 24]","[None, None, 31, 27, 28]","[None, None, 'NSH', 'NSH', 'NSH']"
2017-2018,Anton Lindholm,COL,D,25.9,23.5,35.0,,57.0,42.4,3.5,1.2,32.5,57.6,94.2,1.2,97.9,4.5,38.7,181,187,159,,75.0,141,228,241,165,82,15,240,6,233,150,243,105,172,Third Pair,48.0,632.1166666666667,0.0,4.0,4.0,0.730180086614939,55.26315789473685,41.313950914852526,8478073,D,71.0,191.0,1994-11-29,SWE,2014.0,5.0,144.0,L,22,"[None, None, None, None, 27]","[None, None, None, None, 24]","[None, None, None, None, 33]","[None, None, None, None, 'COL']"
2017-2018,Anton Stralman,TBL,D,98.4,97.5,95.5,,94.2,11.9,36.6,60.1,30.9,84.0,35.4,75.7,88.5,73.7,73.3,5,7,12,,11.0,215,155,98,169,34,158,60,29,65,66,243,105,172,Second Pair,80.0,1718.95,4.0,14.0,18.0,4.994202320460075,60.0,54.73010463222563,8471873,D,71.0,193.0,1986-08-01,SWE,2005.0,7.0,216.0,R,31,"[92, 97, 92, 98, 97]","[97, 97, 91, 96, 97]","[82, 90, 94, 92, 91]","['NYR', 'TBL', 'TBL', 'TBL', 'TBL']"
2017-2018,Ben Chiarot,WPG,D,7.4,19.8,36.2,,20.3,32.5,28.4,30.9,81.1,13.6,84.4,52.3,84.4,64.6,14.4,226,196,156,,138.0,165,175,169,47,183,39,116,39,87,209,243,105,172,Third Pair,57.0,870.7333333333333,2.0,12.0,14.0,1.8800108778255034,57.6271186440678,50.46985240769908,8475279,D,75.0,222.0,1991-05-09,CAN,2009.0,4.0,120.0,L,26,"[None, 49, 50, 5, 10]","[None, 53, 62, 15, 19]","[None, 50, 43, 27, 37]","[None, 'WPG', 'WPG', 'WPG', 'WPG']"
2017-2018,Ben Harpur,OTT,D,45.7,30.5,32.5,,47.7,37.4,3.5,2.1,2.1,89.5,85.6,3.7,0.4,2.5,34.2,133,170,165,,91.0,153,228,239,239,22,36,234,243,238,161,243,105,172,Third Pair,41.0,610.3333333333334,0.0,1.0,1.0,0.7520235395563664,25.0,40.098993372500296,8477433,D,80.0,235.0,1995-01-12,CAN,2013.0,4.0,108.0,L,22,"[None, None, None, None, 46]","[None, None, None, None, 28]","[None, None, None, None, 31]","[None, None, None, None, 'OTT']"
2017-2018,Ben Hutton,VAN,D,14.8,22.6,18.5,35.2,65.1,2.5,9.1,53.9,9.1,68.7,21.8,67.5,18.9,8.2,48.6,208,189,199,69.0,61.0,238,222,113,222,63,191,79,198,224,126,243,105,172,Second Pair,61.0,1123.2833333333333,0.0,6.0,6.0,3.933706980809705,44.44444444444444,46.42962137996777,8477018,D,75.0,209.0,1993-04-20,CAN,2012.0,5.0,147.0,L,24,"[None, None, 34, 15, 16]","[None, None, 33, 34, 16]","[None, None, 12, 15, 24]","[None, None, 'VAN', 'VAN', 'VAN']"
2017-2018,Ben Lovejoy,NJD,D,82.3,43.2,92.6,,98.8,23.9,33.3,37.4,4.9,32.9,68.3,2.9,46.1,49.0,56.0,44,139,19,,3.0,186,163,153,232,138,78,236,132,125,108,243,105,172,Third Pair,57.0,945.6333333333332,2.0,6.0,8.0,2.2929184992404017,54.0,55.38691500767447,8473933,D,73.0,205.0,1984-02-20,USA,,,,R,33,"[84, 71, 79, 63, 88]","[72, 75, 70, 25, 52]","[86, 83, 85, 82, 93]","['ANA', 'PIT', 'PIT', 'NJD', 'NJD']"
2017-2018,Brad Hunt,VGK,D,30.5,22.2,37.4,51.4,,28.0,22.2,41.6,18.1,57.6,16.9,90.5,14.8,72.8,2.5,170,190,153,52.0,,176,190,143,200,82,203,24,208,67,238,243,105,172,Third Pair,45.0,749.1166666666667,3.0,15.0,18.0,3.3070870644748034,46.808510638297875,48.79764963553412,8476779,D,69.0,177.0,1988-08-24,CAN,,,,L,29,"[None, None, None, None, 30]","[None, None, None, None, 22]","[None, None, None, None, 38]","[None, None, None, None, 'VGK']"
2017-2018,Brady Skjei,NYR,D,37.0,76.5,17.3,57.1,19.2,5.8,55.6,88.5,82.7,48.1,65.8,86.8,42.4,27.6,37.9,154,58,202,46.0,140.0,230,109,29,43,101,84,33,141,177,152,243,105,172,Second Pair,82.0,1724.05,4.0,21.0,25.0,9.070423059573052,38.53211009174312,49.46633339529944,8476869,D,75.0,210.0,1994-03-26,USA,2012.0,1.0,28.0,L,23,"[None, None, None, 45, 35]","[None, None, None, 59, 82]","[None, None, None, 47, 9]","[None, None, None, 'NYR', 'NYR']"
2017-2018,Brandon Carlo,BOS,D,16.5,71.2,50.6,,95.3,37.0,21.4,18.9,4.5,0.8,59.3,35.4,39.1,94.2,43.6,204,71,121,,9.0,154,192,198,233,213,100,157,149,15,138,243,105,172,Second Pair,76.0,1462.0166666666669,0.0,6.0,6.0,3.158156059020988,52.083333333333336,53.11954170139963,8478443,D,77.0,227.0,1996-11-26,USA,2015.0,2.0,37.0,R,20,"[None, None, None, 22, 18]","[None, None, None, 81, 59]","[None, None, None, 45, 55]","[None, None, None, 'BOS', 'BOS']"
2017-2018,Brandon Davidson,NYI,D,60.1,29.2,82.7,,36.6,72.0,60.5,26.3,10.7,36.2,85.2,57.6,6.6,50.2,31.7,98,173,43,,110.0,69,97,180,218,130,37,103,228,122,167,243,105,172,Third Pair,51.0,857.7333333333333,4.0,3.0,7.0,2.0909847734811744,40.0,53.988389902549514,8475869,D,74.0,204.0,1991-08-21,CAN,2010.0,6.0,162.0,L,26,"[None, None, 64, 47, 68]","[None, None, 50, 27, 28]","[None, None, 73, 67, 88]","[None, None, 'EDM', 'MTL', 'NYI']"
2017-2018,Brandon Manning,PHI,D,9.5,42.4,8.2,,76.7,68.3,79.0,88.9,56.4,25.5,76.5,39.9,22.6,60.9,40.3,221,141,224,,41.0,78,52,28,107,155,58,146,189,96,146,243,105,172,Third Pair,65.0,1166.8833333333332,7.0,12.0,19.0,5.546976759626528,50.68493150684932,48.88962890778548,8475430,D,73.0,205.0,1990-06-04,CAN,,,,L,27,"[None, None, 63, 12, 7]","[None, None, 56, 33, 42]","[None, None, 11, 14, 5]","[None, None, 'PHI', 'PHI', 'PHI']"
2017-2018,Brandon Montour,ANA,D,30.0,49.0,12.8,61.9,64.0,6.2,30.9,68.7,25.1,76.5,41.2,71.2,98.4,67.5,38.3,171,125,213,41.0,63.0,229,169,77,183,48,144,71,5,80,151,243,105,172,Second Pair,80.0,1637.5833333333333,9.0,23.0,32.0,9.63624192698449,55.10204081632652,47.16091187580082,8477986,D,72.0,199.0,1994-04-11,CAN,2014.0,2.0,55.0,R,23,"[None, None, None, 64, 11]","[None, None, None, 58, 41]","[None, None, None, 31, 9]","[None, None, None, 'ANA', 'ANA']"
2017-2018,Brayden McNabb,VGK,D,81.1,88.5,77.4,,89.5,79.8,62.6,29.2,3.7,8.2,90.5,76.5,51.0,81.5,53.1,47,29,56,,19.0,50,92,173,235,195,24,58,120,46,115,243,105,172,Second Pair,76.0,1531.5333333333333,5.0,10.0,15.0,3.1355682367892745,56.88073394495413,53.255748003682626,8475188,D,76.0,215.0,1991-01-21,CAN,2009.0,3.0,66.0,L,26,"[None, 63, 49, 62, 91]","[None, 57, 83, 72, 92]","[None, 56, 67, 66, 85]","[None, 'LAK', 'LAK', 'LAK', 'VGK']"
2017-2018,Braydon Coburn,TBL,D,23.9,13.6,70.0,,94.8,16.5,26.3,51.9,79.0,5.8,54.3,4.1,67.5,56.4,41.6,186,211,74,,10.0,204,180,118,52,201,112,233,80,107,143,243,105,172,Third Pair,72.0,1153.7166666666667,1.0,14.0,15.0,2.5812090106916896,51.94805194805194,49.964884184032925,8470601,D,77.0,224.0,1985-02-27,CAN,2003.0,1.0,8.0,L,32,"[22, 26, 21, 40, 22]","[14, 19, 9, 17, 15]","[20, 49, 47, 68, 74]","['PHI', 'TBL', 'TBL', 'TBL', 'TBL']"
2017-2018,Brendan Guhle,BUF,D,43.2,42.0,41.6,41.9,,26.3,3.5,91.4,98.8,67.1,19.3,79.4,3.7,5.3,21.0,139,142,143,62.0,,180,228,22,4,65,197,51,235,231,193,243,105,172,Second Pair,18.0,325.9,0.0,5.0,5.0,1.537672192635095,43.333333333333336,47.10269520538765,8478425,D,74.0,197.0,1997-07-29,CAN,2015.0,2.0,51.0,L,20,"[None, None, None, None, 44]","[None, None, None, None, 39]","[None, None, None, None, 44]","[None, None, None, None, 'BUF']"
2017-2018,Brendan Smith,NYR,D,49.4,69.5,61.3,,58.1,8.6,24.7,94.7,45.7,18.5,57.6,64.2,69.5,27.2,40.7,124,75,95,,73.0,223,184,14,133,171,104,87,75,178,145,243,105,172,Third Pair,44.0,755.3666666666667,1.0,7.0,8.0,4.137267021736141,50.81967213114754,46.42200645478216,8474090,D,74.0,200.0,1989-02-08,CAN,2007.0,1.0,27.0,L,28,"[61, 71, 61, 67, 32]","[53, 61, 73, 65, 73]","[80, 86, 76, 72, 40]","['DET', 'DET', 'DET', 'NYR', 'NYR']"
2017-2018,Brenden Dillon,SJS,D,54.3,70.4,56.8,,25.0,67.9,51.9,35.8,44.4,30.0,88.1,70.8,7.8,65.0,15.6,112,73,106,,130.0,79,118,157,136,144,30,72,225,86,206,243,105,172,Third Pair,81.0,1402.9,5.0,17.0,22.0,3.1919438602365076,45.21739130434783,50.74370645229309,8475455,D,76.0,225.0,1990-11-13,CAN,,,,L,26,"[54, 46, 7, 61, 65]","[69, 69, 67, 69, 72]","[35, 55, 8, 77, 48]","['DAL', 'SJS', 'SJS', 'SJS', 'SJS']"
2017-2018,Brent Burns,SJS,D,81.5,100.0,0.8,28.6,16.9,99.6,99.6,100.0,97.1,13.2,10.7,94.2,37.4,77.4,50.6,46,1,242,76.0,144.0,2,2,1,8,184,218,15,153,56,121,243,105,172,First Pair,82.0,2069.9,12.0,55.0,67.0,15.030736871927253,44.44444444444444,50.93250197031188,8470613,D,77.0,228.0,1985-03-09,CAN,2003.0,1.0,20.0,R,32,"[85, 77, 92, 96, 30]","[94, 99, 98, 100, 100]","[51, 15, 9, 0, 2]","['SJS', 'SJS', 'SJS', 'SJS', 'SJS']"
2017-2018,Brent Seabrook,CHI,D,12.3,87.2,5.3,1.0,22.7,19.8,42.8,63.8,53.5,28.4,47.7,84.8,57.2,51.9,79.0,214,32,231,105.0,134.0,196,140,89,114,148,128,38,105,118,52,243,105,172,Second Pair,81.0,1635.9833333333331,7.0,19.0,26.0,7.368880323548043,50.0,50.58840490794525,8470607,D,75.0,220.0,1985-04-20,CAN,2003.0,1.0,14.0,R,32,"[93, 67, 10, 11, 19]","[98, 90, 82, 78, 89]","[90, 35, 5, 7, 7]","['CHI', 'CHI', 'CHI', 'CHI', 'CHI']"
2017-2018,Brett Kulak,CGY,D,66.3,51.9,48.1,,,20.6,35.0,65.0,14.0,94.4,30.0,59.3,16.0,38.3,1.6,83,118,127,,,194,159,86,210,13,171,99,205,151,240,243,105,172,Fringe,71.0,921.9833333333332,2.0,6.0,8.0,3.1309761838857906,47.22222222222222,53.17102530082008,8476967,D,73.0,192.0,1994-01-06,CAN,2012.0,4.0,105.0,L,23,"[None, None, None, None, 64]","[None, None, None, None, 49]","[None, None, None, None, 49]","[None, None, None, None, 'CGY']"
2017-2018,Brett Lernout,MTL,D,44.0,32.1,46.5,,51.7,48.6,3.5,0.4,0.4,67.1,97.1,60.9,2.9,10.3,56.8,137,166,131,,84.0,126,228,243,243,65,8,95,237,219,106,243,105,172,Third Pair,18.0,301.05,0.0,1.0,1.0,0.28876704298581357,31.25,41.5946886698427,8478004,D,76.0,214.0,1995-09-24,CAN,2014.0,3.0,73.0,R,21,"[None, None, None, None, 45]","[None, None, None, None, 30]","[None, None, None, None, 47]","[None, None, None, None, 'MTL']"
2017-2018,Brett Pesce,CAR,D,90.5,59.7,92.2,,86.6,18.5,39.5,60.9,64.2,97.5,24.7,35.0,13.6,96.3,89.7,24,99,20,,24.0,199,148,96,88,7,184,158,211,10,26,243,105,172,Second Pair,65.0,1358.7666666666669,3.0,16.0,19.0,4.411719501587787,43.95604395604395,53.73492299652363,8477488,D,75.0,206.0,1994-11-15,USA,2013.0,3.0,66.0,R,22,"[None, None, 51, 91, 92]","[None, None, 21, 64, 62]","[None, None, 49, 94, 90]","[None, None, 'CAR', 'CAR', 'CAR']"
2017-2018,Brian Dumoulin,PIT,D,83.1,44.4,89.3,,84.9,31.7,30.0,28.0,40.7,84.4,63.0,46.9,5.8,99.2,84.0,42,136,27,,27.0,167,171,176,145,33,91,129,230,3,40,243,105,172,Second Pair,80.0,1649.4,5.0,13.0,18.0,4.246049822497203,44.62809917355372,54.93374574300791,8475208,D,76.0,215.0,1991-09-06,USA,2009.0,2.0,51.0,L,25,"[None, None, 74, 81, 85]","[None, None, 32, 30, 57]","[None, None, 84, 84, 88]","[None, None, 'PIT', 'PIT', 'PIT']"
2017-2018,Brooks Orpik,WSH,D,3.7,9.9,29.2,,69.8,9.9,7.8,3.7,30.0,4.9,87.7,56.4,79.8,45.7,36.2,235,220,173,,53.0,220,225,235,171,203,31,106,50,133,156,243,105,172,Second Pair,81.0,1568.55,0.0,10.0,10.0,1.733091947792409,42.69662921348314,41.93287209489745,8468498,D,75.0,217.0,1980-09-26,USA,2000.0,1.0,18.0,L,36,"[32, 5, 32, 51, 0]","[12, 15, 51, 29, 3]","[61, 40, 63, 70, 10]","['PIT', 'WSH', 'WSH', 'WSH', 'WSH']"
2017-2018,Calvin de Haan,NYI,D,89.3,74.1,91.8,,64.5,30.5,31.3,44.4,92.2,77.0,55.1,19.3,85.2,17.7,78.6,27,64,21,,62.0,170,168,136,20,47,110,196,37,201,53,243,105,172,Second Pair,33.0,618.7333333333333,1.0,11.0,12.0,1.6374680292523884,54.0,51.49695772313494,8475177,D,73.0,192.0,1991-05-09,CAN,2009.0,1.0,12.0,L,26,"[65, 73, 85, 93, 81]","[40, 52, 76, 79, 67]","[79, 88, 86, 95, 76]","['NYI', 'NYI', 'NYI', 'NYI', 'NYI']"
2017-2018,Cam Fowler,ANA,D,37.4,67.1,24.7,85.7,1.7,80.2,74.5,59.3,65.8,37.9,6.6,28.0,62.1,58.4,72.0,153,81,184,16.0,170.0,49,63,100,84,126,228,175,93,102,69,243,105,172,First Pair,67.0,1665.1833333333334,8.0,24.0,32.0,7.182568689485361,51.80722891566265,49.63683747535277,8475764,D,74.0,213.0,1991-12-05,CAN,2010.0,1.0,12.0,L,25,"[55, 61, 11, 48, 40]","[50, 70, 41, 70, 70]","[60, 18, 10, 21, 35]","['ANA', 'ANA', 'ANA', 'ANA', 'ANA']"
2017-2018,Carl Gunnarsson,STL,D,64.6,1.2,93.4,,45.9,76.1,60.9,14.0,11.1,88.5,36.2,33.3,79.0,91.4,49.4,87,241,17,,94.0,59,96,210,217,23,156,162,52,22,124,243,105,172,Third Pair,63.0,1018.45,5.0,4.0,9.0,2.3567528444792893,61.40350877192983,51.74850517132532,8474125,D,74.0,198.0,1986-11-09,SWE,2007.0,7.0,194.0,L,30,"[31, 68, 52, 60, 67]","[5, 12, 4, 7, 2]","[88, 77, 86, 79, 95]","['TOR', 'STL', 'STL', 'STL', 'STL']"
2017-2018,Casey Nelson,BUF,D,32.9,13.2,35.8,,57.6,60.5,61.7,48.6,23.5,82.9,32.1,58.8,0.8,15.6,16.5,164,212,157,,74.0,97,94,126,187,35,166,100,242,206,204,243,105,172,Second Pair,37.0,694.8666666666667,3.0,5.0,8.0,2.2837564437476634,34.61538461538461,42.518586278658866,8479268,D,73.0,185.0,1992-07-18,USA,,,,R,25,"[None, None, None, None, 32]","[None, None, None, None, 13]","[None, None, None, None, 34]","[None, None, None, None, 'BUF']"
2017-2018,Chad Ruhwedel,PIT,D,49.8,40.7,39.5,,,58.8,66.7,60.5,39.1,75.7,61.7,61.3,49.8,88.9,14.8,123,145,148,,,101,82,97,149,50,94,94,123,28,208,243,105,172,Third Pair,44.0,691.9333333333333,2.0,3.0,5.0,2.242688850135781,43.90243902439025,51.85106842095225,8477244,D,71.0,189.0,1990-05-07,USA,,,,R,27,"[49, None, None, 38, 60]","[38, None, None, 34, 49]","[40, None, None, 35, 47]","['BUF', None, None, 'PIT', 'PIT']"
2017-2018,Charlie McAvoy,BOS,D,58.0,56.4,79.8,24.8,48.3,71.2,67.5,52.7,93.8,11.3,83.5,79.0,84.0,95.5,45.7,103,107,50,80.0,90.0,71,80,116,16,188,41,52,40,12,133,243,105,172,First Pair,63.0,1395.2833333333333,7.0,25.0,32.0,5.395072719228848,60.0,56.14204653792948,8479325,D,73.0,211.0,1997-12-21,USA,2016.0,1.0,14.0,R,19,"[None, None, None, None, 58]","[None, None, None, None, 56]","[None, None, None, None, 81]","[None, None, None, None, 'BOS']"
