Season,Player,Team,Position,ovr_pct,evo_pct,evd_pct,ppl_pct,pkl_pct,fin_pct,gol_pct,xgl_pct,ast_pct,pen_pct,hit_pct,ozs_pct,pdo_pct,tmt_pct,cmp_pct,ovr_rank,evo_rank,evd_rank,ppl_rank,pkl_rank,fin_rank,gol_rank,xgl_rank,ast_rank,pen_rank,hit_rank,ozs_rank,pdo_rank,tmt_rank,cmp_rank,all_players,ppl_players,pkl_players,Role,GP,TOI,Goals,Total Assists,Total Points,ixG,GF%,xGF%,Player ID,Specific Position,Height (in),Weight (lbs),Date of Birth,Birth Country,Draft Year,Draft Round,Overall Draft Position,Shoots Catches,Age,ovr_history,evo_history,evd_history,team_history
2017-2018,Aaron Ekblad,FLA,D,21.8,36.2,47.3,58.1,39.0,86.4,92.6,96.7,17.3,6.6,22.6,59.7,41.2,57.2,86.0,191,156,129,45.0,106.0,34,19,9,202,199,189,98,144,105,35,243,105,172,First Pair,82.0,1917.9,16.0,22.0,38.0,13.384320283588758,51.09489051094891,47.88058728905939,8477932,D,76.0,220.0,1996-02-07,CAN,2014.0,1.0,1.0,R,21,"[None, 77, 61, 16, 26]","[None, 54, 30, 19, 53]","[None, 72, 73, 52, 32]","[None, 'FLA', 'FLA', 'FLA', 'FLA']"
2017-2018,Adam Larsson,EDM,D,40.3,47.3,82.3,,61.6,59.3,39.1,27.2,13.2,2.9,95.5,17.3,76.5,68.3,69.1,146,129,44,,67.0,100,149,178,212,208,12,201,58,78,76,243,105,172,Second Pair,63.0,1381.7333333333331,4.0,9.0,13.0,4.1281053205106675,50.0,50.83466745720061,8476457,D,75.0,207.0,1992-11-12,SWE,2011.0,1.0,4.0,R,24,"[53, 39, 28, 31, 53]","[36, 18, 7, 48, 60]","[65, 71, 94, 73, 78]","['NJD', 'NJD', 'NJD', 'EDM', 'EDM']"
2017-2018,Adam McQuaid,BOS,D,42.4,8.2,78.6,,82.6,57.2,23.9,8.2,2.9,33.7,86.4,80.7,11.1,93.4,20.6,141,224,53,,31.0,105,186,224,237,136,34,48,217,17,194,243,105,172,Third Pair,38.0,596.7166666666667,1.0,3.0,4.0,1.126475012593936,47.05882352941176,48.743334722816215,8471717,D,76.0,210.0,1986-10-12,CAN,2005.0,2.0,55.0,R,30,"[48, 60, 30, 66, 30]","[35, 10, 5, 9, 15]","[75, 93, 82, 90, 63]","['BOS', 'BOS', 'BOS', 'BOS', 'BOS']"
2017-2018,Adam Pelech,NYI,D,40.7,32.5,44.9,,18.0,43.6,63.0,40.3,26.3,72.8,65.0,10.3,73.3,21.0,49.0,145,165,135,,142.0,138,91,146,180,54,86,218,66,193,125,243,105,172,Second Pair,78.0,1503.3833333333334,3.0,16.0,19.0,4.2836965855900475,52.42718446601942,49.564748592527785,8476917,D,75.0,212.0,1994-08-16,CAN,2012.0,3.0,65.0,L,23,"[None, None, None, 43, 44]","[None, None, None, 13, 60]","[None, None, None, 32, 53]","[None, None, None, 'NYI', 'NYI']"
2017-2018,Alec Martinez,LAK,D,53.9,75.3,26.3,86.7,71.5,92.2,82.3,32.9,13.6,11.9,54.7,78.2,44.0,72.0,44.4,113,61,180,15.0,50.0,20,44,164,211,187,111,54,137,69,136,243,105,172,First Pair,77.0,1760.4166666666667,9.0,16.0,25.0,5.398049019468267,52.63157894736842,44.82501878910086,8474166,D,73.0,210.0,1987-07-26,USA,2007.0,4.0,95.0,L,30,"[89, 84, 75, 86, 13]","[60, 73, 73, 91, 45]","[85, 65, 78, 59, 8]","['LAK', 'LAK', 'LAK', 'LAK', 'LAK']"
2017-2018,Alex Biega,VAN,D,15.6,54.3,27.6,,53.5,6.6,9.9,95.5,52.7,17.3,98.8,72.8,47.7,2.9,39.5,206,112,177,,81.0,228,220,12,116,174,4,67,128,237,148,243,105,172,Third Pair,44.0,660.9,1.0,8.0,9.0,3.815121515240598,51.42857142857142,49.586390251961866,8473415,D,70.0,195.0,1988-04-04,CAN,2006.0,5.0,147.0,R,29,"[None, None, 24, 21, 16]","[None, None, 36, 38, 60]","[None, None, 18, 30, 28]","[None, None, 'VAN', 'VAN', 'VAN']"
2017-2018,Alex Goligoski,ARI,D,78.6,92.2,24.3,16.2,58.7,95.5,81.9,30.0,79.4,46.5,46.5,17.7,23.0,3.7,79.8,53,20,185,89.0,72.0,12,45,171,51,105,131,200,188,235,50,243,105,172,First Pair,78.0,1815.6333333333337,12.0,23.0,35.0,6.176792938809361,38.46153846153847,44.088037596466215,8471274,D,71.0,173.0,1985-07-30,USA,2004.0,2.0,61.0,L,32,"[99, 100, 97, 54, 76]","[96, 99, 99, 89, 87]","[90, 98, 77, 15, 19]","['DAL', 'DAL', 'DAL', 'ARI', 'ARI']"
2017-2018,Alex Pietrangelo,STL,D,91.4,96.3,25.9,3.8,93.0,94.2,87.2,80.2,87.2,95.9,14.4,28.4,82.3,66.7,94.7,22,10,181,102.0,13.0,15,32,49,32,11,209,174,44,82,14,243,105,172,First Pair,78.0,2007.45,15.0,39.0,54.0,12.022027922313905,55.45454545454545,49.65660796834521,8474565,D,75.0,215.0,1990-01-18,CAN,2008.0,1.0,4.0,R,27,"[97, 83, 87, 93, 88]","[100, 87, 97, 96, 93]","[40, 8, 10, 53, 18]","['STL', 'STL', 'STL', 'STL', 'STL']"
2017-2018,Alexander Edler,VAN,D,4.9,21.8,16.5,71.4,92.4,43.2,40.3,34.2,35.8,3.3,72.0,32.5,21.8,12.3,97.5,232,191,204,31.0,14.0,139,146,161,157,207,69,164,191,214,7,243,105,172,First Pair,70.0,1699.4166666666667,6.0,28.0,34.0,6.994052228976853,43.333333333333336,44.628162105866785,8471303,D,76.0,210.0,1986-04-21,SWE,2004.0,3.0,91.0,L,31,"[12, 17, 20, 7, 4]","[14, 26, 30, 36, 16]","[37, 55, 28, 6, 31]","['VAN', 'VAN', 'VAN', 'VAN', 'VAN']"
2017-2018,Alexander Petrovic,FLA,D,22.2,65.8,29.6,,,35.0,25.5,21.8,81.9,7.4,88.5,50.6,40.3,40.7,24.3,190,84,172,,,159,182,191,45,197,29,120,146,145,185,243,105,172,Third Pair,67.0,982.0,2.0,11.0,13.0,2.15248962732027,49.275362318840585,51.56998756606763,8475755,D,77.0,215.0,1992-03-03,CAN,2010.0,2.0,36.0,R,25,"[None, 45, 39, 29, 21]","[None, 50, 59, 67, 68]","[None, 36, 32, 24, 30]","[None, 'FLA', 'FLA', 'FLA', 'FLA']"
