Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,zon_rank,plm_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position
2023-2024,Andrei Svechnikov,CAR,F,22.0,166.0,35.0,,6.0,42.0,38.0,63.0,84.0,41.0,438.0,89.0,,65.0,Second Line,59,1001.8,19,18,25.0,2000-03-26,RUS,RUS,74.0,195.0,2018,1,2,2
2023-2024,Andrew Cogliano,COL,F,385.0,42.0,,72.0,342.0,50.0,424.0,392.0,431.0,280.0,47.0,262.0,,394.0,Bottom 6,75,795.73333333333,6,10,38.0,1987-06-14,CAN,CAN,70.0,179.0,2005,1,25,25
2023-2024,Andrew Copp,DET,F,346.0,349.0,267.0,83.0,355.0,313.0,377.0,353.0,331.0,178.0,296.0,422.0,48.0,211.0,Second Line,79,1285.6666666667,13,11,31.0,1994-07-08,USA,USA,73.0,199.0,2013,4,13,104
2023-2024,Andrew Mangiapane,CGY,F,112.0,218.0,159.0,146.0,58.0,169.0,191.0,187.0,296.0,133.0,308.0,223.0,,169.0,Second Line,75,1199.65,14,17,29.0,1996-04-04,CAN,CAN,70.0,184.0,2015,6,15,166
2023-2024,Anthony Beauvillier,"CHI, NSH, VAN",F,324.0,341.0,128.0,,268.0,392.0,161.0,364.0,151.0,247.0,215.0,280.0,,226.0,Bottom 6,60,814.85,5,6,28.0,1997-06-08,CAN,CAN,71.0,180.0,2015,1,28,28
2023-2024,Anthony Cirelli,TBL,F,218.0,153.0,236.0,44.0,104.0,188.0,321.0,226.0,368.0,207.0,25.0,323.0,72.0,166.0,First Line,79,1462.9833333333,20,13,27.0,1997-07-15,CAN,CAN,72.0,189.0,2015,3,11,72
2023-2024,Anthony Duclair,"SJS, TBL",F,85.0,460.0,185.0,,140.0,451.0,187.0,31.0,223.0,169.0,183.0,355.0,,129.0,Second Line,73,1151.4833333333,24,10,29.0,1995-08-26,CAN,CAN,71.0,197.0,2013,3,19,80
2023-2024,Anthony Mantha,"VGK, WSH",F,102.0,74.0,243.0,,203.0,36.0,207.0,106.0,277.0,166.0,251.0,240.0,,189.0,Bottom 6,74,1052.5833333333,23,11,30.0,1994-09-16,CAN,CAN,77.0,234.0,2013,1,20,20
2023-2024,Anton Lundell,FLA,F,163.0,85.0,222.0,8.0,48.0,57.0,149.0,269.0,134.0,208.0,281.0,345.0,59.0,174.0,Bottom 6,78,1199.35,13,11,23.0,2001-10-03,FIN,FIN,73.0,185.0,2020,1,12,12
2023-2024,Anze Kopitar,LAK,F,165.0,106.0,67.0,74.0,72.0,96.0,345.0,140.0,246.0,66.0,113.0,401.0,12.0,85.0,First Line,81,1592.3166666667,26,29,37.0,1987-08-24,SVN,SVN,75.0,225.0,2005,1,11,11
2023-2024,Artemi Panarin,NYR,F,20.0,401.0,7.0,,24.0,193.0,44.0,29.0,35.0,8.0,144.0,453.0,,12.0,First Line,82,1649.75,49,37,33.0,1991-10-30,RUS,RUS,72.0,173.0,-,-,-,-
2023-2024,Arthur Kaliyev,LAK,F,99.0,187.0,36.0,,44.0,60.0,20.0,176.0,60.0,143.0,333.0,286.0,,231.0,Bottom 6,51,601.91666666667,7,7,24.0,2001-06-26,USA,USA,74.0,210.0,2019,2,2,33
2023-2024,Artturi Lehkonen,COL,F,133.0,86.0,81.0,17.0,49.0,61.0,197.0,104.0,64.0,206.0,340.0,238.0,,95.0,First Line,45,831.21666666667,16,10,30.0,1995-07-04,FIN,FIN,71.0,179.0,2013,2,25,55
2023-2024,Austin Czarnik,DET,F,455.0,60.0,,,436.0,141.0,416.0,458.0,239.0,435.0,416.0,264.0,140.0,455.0,Fringe,34,286.91666666667,0,1,32.0,1992-12-12,USA,USA,69.0,170.0,-,-,-,-
2023-2024,Austin Watson,TBL,F,426.0,16.0,,163.0,453.0,135.0,380.0,320.0,429.0,442.0,460.0,6.0,,417.0,Fringe,33,239.73333333333,2,1,33.0,1992-01-13,USA,USA,76.0,204.0,2010,1,18,18
2023-2024,Auston Matthews,TOR,F,2.0,18.0,6.0,,92.0,143.0,2.0,1.0,49.0,53.0,37.0,305.0,34.0,3.0,First Line,81,1698.2833333333,69,24,27.0,1997-09-17,USA,USA,75.0,208.0,2016,1,1,1
2023-2024,Axel Jonsson-Fjallby,WPG,F,258.0,26.0,,,385.0,11.0,244.0,327.0,398.0,221.0,88.0,140.0,,413.0,Fringe,26,210.93333333333,2,3,27.0,1998-02-10,SWE,SWE,73.0,189.0,2016,5,26,147
2023-2024,Barclay Goodrow,NYR,F,421.0,263.0,,13.0,398.0,402.0,448.0,419.0,443.0,320.0,378.0,86.0,61.0,351.0,Bottom 6,80,1005.1333333333,4,6,32.0,1993-02-26,CAN,CAN,74.0,204.0,-,-,-,-
2023-2024,Barrett Hayton,ARI,F,349.0,176.0,157.0,199.0,218.0,124.0,239.0,374.0,363.0,322.0,42.0,293.0,68.0,220.0,Second Line,33,561.45,3,3,25.0,2000-06-09,CAN,CAN,73.0,207.0,2018,1,5,5
2023-2024,Beck Malenstyn,WSH,F,441.0,301.0,,102.0,459.0,442.0,417.0,453.0,465.0,275.0,235.0,55.0,,335.0,Bottom 6,81,1153.7333333333,6,12,27.0,1998-02-04,CAN,CAN,75.0,200.0,2016,5,24,145
2023-2024,Ben Meyers,"ANA, COL",F,457.0,13.0,,,452.0,7.0,444.0,418.0,301.0,458.0,392.0,146.0,137.0,460.0,Bottom 6,23,232.51666666667,1,1,26.0,1998-11-15,USA,USA,71.0,194.0,-,-,-,-
2023-2024,Blake Coleman,CGY,F,77.0,109.0,254.0,14.0,77.0,101.0,73.0,96.0,379.0,260.0,355.0,141.0,,118.0,Second Line,78,1336.3833333333,30,10,33.0,1991-11-28,USA,USA,71.0,199.0,2011,3,14,75
2023-2024,Blake Lizotte,LAK,F,217.0,111.0,,40.0,101.0,37.0,313.0,321.0,164.0,195.0,82.0,165.0,74.0,354.0,Bottom 6,62,732.9,7,6,27.0,1997-12-13,USA,USA,69.0,170.0,-,-,-,-
2023-2024,Blake Wheeler,NYR,F,209.0,272.0,258.0,,143.0,299.0,224.0,217.0,21.0,141.0,421.0,307.0,,161.0,Bottom 6,54,686.75,9,4,38.0,1986-08-31,USA,USA,77.0,220.0,2004,1,5,5
2023-2024,Bo Groulx,ANA,F,465.0,342.0,,,425.0,400.0,460.0,463.0,412.0,460.0,461.0,68.0,161.0,461.0,Bottom 6,45,548.48333333333,0,1,25.0,2000-02-06,CAN,CAN,74.0,200.0,2018,2,23,54
2023-2024,Bo Horvat,NYI,F,79.0,318.0,58.0,181.0,64.0,312.0,84.0,45.0,198.0,170.0,211.0,338.0,13.0,44.0,First Line,81,1595.2,33,19,30.0,1995-04-05,CAN,CAN,72.0,215.0,2013,1,9,9
2023-2024,Bobby Brink,PHI,F,266.0,337.0,213.0,,293.0,330.0,334.0,232.0,212.0,224.0,99.0,348.0,,307.0,Bottom 6,57,786.2,11,9,24.0,2001-07-08,USA,USA,68.0,166.0,2019,2,3,34
2023-2024,Bobby McMann,TOR,F,66.0,259.0,,,269.0,273.0,47.0,53.0,432.0,414.0,442.0,65.0,,225.0,Bottom 6,56,647.31666666667,15,3,29.0,1996-06-15,CAN,CAN,74.0,208.0,-,-,-,-
2023-2024,Boone Jenner,CBJ,F,154.0,286.0,121.0,139.0,226.0,426.0,97.0,84.0,286.0,349.0,225.0,159.0,23.0,68.0,First Line,58,1165.5666666667,22,5,32.0,1993-06-15,CAN,CAN,74.0,203.0,2011,2,7,37
2023-2024,Boris Katchouk,"CHI, OTT",F,351.0,299.0,,156.0,318.0,236.0,305.0,379.0,341.0,392.0,216.0,95.0,,409.0,Bottom 6,59,677.25,7,3,27.0,1998-06-18,CAN,CAN,74.0,206.0,2016,2,14,44
2023-2024,Brad Marchand,BOS,F,72.0,267.0,41.0,34.0,61.0,121.0,101.0,94.0,98.0,50.0,120.0,205.0,,61.0,First Line,82,1566.35,29,21,37.0,1988-05-11,CAN,CAN,69.0,176.0,2006,3,8,71
2023-2024,Brady Tkachuk,OTT,F,7.0,366.0,51.0,,50.0,278.0,4.0,41.0,76.0,27.0,186.0,51.0,66.0,16.0,First Line,81,1550.5166666667,37,28,25.0,1999-09-16,USA,USA,76.0,221.0,2018,1,4,4
2023-2024,Brandon Duhaime,"COL, MIN",F,301.0,205.0,,182.0,359.0,219.0,200.0,343.0,387.0,405.0,187.0,23.0,,398.0,Bottom 6,80,868.78333333333,5,7,28.0,1997-05-22,USA,USA,74.0,200.0,2016,4,15,106
2023-2024,Brandon Hagel,TBL,F,75.0,234.0,112.0,31.0,78.0,204.0,235.0,95.0,138.0,54.0,128.0,321.0,,98.0,First Line,82,1578.9833333333,26,38,26.0,1998-08-27,CAN,CAN,74.0,179.0,2016,6,8,159
2023-2024,Brandon Saad,STL,F,214.0,439.0,152.0,173.0,319.0,423.0,260.0,83.0,350.0,277.0,193.0,447.0,,178.0,Second Line,82,1271.25,26,7,32.0,1992-10-27,USA,USA,73.0,215.0,2011,2,13,43
2023-2024,Brandon Tanev,SEA,F,360.0,43.0,,120.0,373.0,90.0,379.0,268.0,117.0,317.0,59.0,66.0,,276.0,Bottom 6,66,962.75,7,6,33.0,1991-12-31,CAN,CAN,72.0,189.0,-,-,-,-
2023-2024,Brayden Point,TBL,F,30.0,382.0,24.0,,54.0,341.0,98.0,4.0,38.0,82.0,65.0,441.0,77.0,25.0,First Line,81,1623.1666666667,46,26,29.0,1996-03-13,CAN,CAN,71.0,180.0,2014,3,19,79
2023-2024,Brayden Schenn,STL,F,275.0,440.0,99.0,203.0,347.0,444.0,265.0,164.0,307.0,98.0,287.0,136.0,89.0,121.0,Second Line,82,1458.0333333333,20,17,33.0,1991-08-22,CAN,CAN,73.0,199.0,2009,1,5,5
2023-2024,Brendan Gallagher,MTL,F,92.0,361.0,178.0,,305.0,333.0,50.0,197.0,283.0,191.0,377.0,245.0,,196.0,Bottom 6,77,1061.8833333333,16,10,33.0,1992-05-06,CAN,CAN,69.0,186.0,2010,5,27,147
2023-2024,Brendan Gaunce,CBJ,F,267.0,256.0,,,353.0,289.0,165.0,223.0,347.0,437.0,455.0,73.0,127.0,406.0,Bottom 6,24,281.88333333333,2,1,31.0,1994-03-25,CAN,CAN,75.0,219.0,2012,1,26,26
2023-2024,Brendan Lemieux,CAR,F,248.0,171.0,,,228.0,56.0,238.0,345.0,51.0,298.0,464.0,11.0,,438.0,Fringe,32,256.21666666667,3,2,29.0,1996-03-15,USA,USA,73.0,215.0,2014,2,1,31
2023-2024,Brett Howden,VGK,F,367.0,222.0,,197.0,331.0,360.0,422.0,333.0,253.0,297.0,354.0,117.0,85.0,361.0,Bottom 6,72,952.36666666667,8,9,27.0,1998-03-29,CAN,CAN,74.0,203.0,2016,1,27,27
2023-2024,Brett Leason,ANA,F,357.0,379.0,,196.0,429.0,421.0,296.0,272.0,280.0,409.0,313.0,213.0,,359.0,Bottom 6,68,884.6,11,6,26.0,1999-04-30,CAN,CAN,77.0,218.0,2019,2,25,56
2023-2024,Brock Boeser,VAN,F,170.0,340.0,57.0,,187.0,301.0,99.0,55.0,143.0,103.0,311.0,379.0,,80.0,First Line,81,1506.7833333333,40,22,28.0,1997-02-25,USA,USA,73.0,208.0,2015,1,23,23
2023-2024,Brock McGinn,ANA,F,436.0,226.0,,183.0,416.0,265.0,363.0,393.0,430.0,454.0,29.0,128.0,,389.0,Bottom 6,24,265.88333333333,1,0,31.0,1994-02-02,CAN,CAN,72.0,187.0,2012,2,17,47
2023-2024,Brock Nelson,NYI,F,42.0,389.0,56.0,,172.0,407.0,64.0,23.0,59.0,83.0,119.0,409.0,101.0,49.0,First Line,82,1482.85,34,23,33.0,1991-10-15,USA,USA,76.0,210.0,2010,1,30,30
2023-2024,Bryan Rust,PIT,F,35.0,385.0,107.0,116.0,17.0,372.0,66.0,68.0,12.0,119.0,229.0,311.0,,60.0,First Line,62,1213.85,28,14,33.0,1992-05-11,USA,USA,71.0,192.0,2010,3,20,80
2023-2024,Cal Clutterbuck,NYI,F,422.0,132.0,,70.0,435.0,197.0,453.0,386.0,447.0,406.0,282.0,15.0,,397.0,Bottom 6,82,974.11666666667,7,8,37.0,1987-11-18,CAN,CAN,72.0,212.0,2006,3,9,72
2023-2024,Calle Jarnkrok,TOR,F,187.0,247.0,177.0,50.0,153.0,180.0,270.0,173.0,146.0,240.0,111.0,279.0,211.0,236.0,Bottom 6,52,793.43333333333,10,8,33.0,1991-09-25,SWE,SWE,72.0,192.0,2010,2,21,51
2023-2024,Cameron Atkinson,PHI,F,220.0,292.0,211.0,97.0,196.0,324.0,103.0,317.0,168.0,416.0,364.0,405.0,,191.0,Second Line,70,1116.1833333333,13,5,,,,,,,,,,
2023-2024,Carl Grundstrom,LAK,F,96.0,211.0,,,115.0,104.0,54.0,128.0,74.0,378.0,363.0,40.0,,324.0,Bottom 6,50,546.85,8,2,27.0,1997-12-01,SWE,SWE,72.0,195.0,2016,2,27,57
2023-2024,Carter Verhaeghe,FLA,F,11.0,280.0,52.0,,11.0,179.0,22.0,14.0,100.0,79.0,331.0,353.0,,41.0,Second Line,76,1365.15,34,24,29.0,1995-08-14,CAN,CAN,74.0,180.0,2013,3,21,82
2023-2024,Casey Cizikas,NYI,F,398.0,137.0,,59.0,415.0,221.0,388.0,383.0,459.0,376.0,256.0,81.0,32.0,319.0,Bottom 6,70,975.86666666667,10,5,34.0,1991-02-27,CAN,CAN,71.0,190.0,2009,4,1,92
2023-2024,Casey Mittelstadt,"BUF, COL",F,194.0,206.0,165.0,,120.0,152.0,328.0,254.0,142.0,81.0,263.0,438.0,107.0,158.0,Second Line,80,1418.3666666667,18,19,26.0,1998-11-22,USA,USA,73.0,195.0,2017,1,8,8
2023-2024,Chandler Stephenson,VGK,F,250.0,333.0,139.0,62.0,73.0,387.0,441.0,261.0,111.0,93.0,79.0,357.0,27.0,141.0,First Line,75,1386.2666666667,16,18,31.0,1994-04-22,CAN,CAN,72.0,209.0,2012,3,16,77
2023-2024,Charlie Coyle,BOS,F,207.0,290.0,235.0,32.0,222.0,335.0,337.0,185.0,403.0,162.0,126.0,219.0,51.0,139.0,First Line,82,1481.45,25,18,33.0,1992-03-02,USA,USA,75.0,223.0,2010,1,28,28
2023-2024,Chris Kreider,NYR,F,122.0,334.0,17.0,57.0,207.0,211.0,60.0,11.0,121.0,156.0,302.0,202.0,,48.0,First Line,82,1540.25,39,23,34.0,1991-04-30,USA,USA,75.0,230.0,2009,1,19,19
2023-2024,Chris Tierney,NJD,F,443.0,183.0,288.0,,401.0,202.0,464.0,387.0,260.0,344.0,376.0,329.0,58.0,431.0,Bottom 6,52,469.3,4,3,31.0,1994-07-01,CAN,CAN,73.0,191.0,2012,2,25,55
2023-2024,Christian Dvorak,MTL,F,392.0,447.0,272.0,198.0,336.0,459.0,423.0,314.0,399.0,336.0,259.0,427.0,21.0,259.0,Second Line,30,465.93333333333,5,3,29.0,1996-02-02,USA,USA,73.0,193.0,2014,2,28,58
2023-2024,Christian Fischer,DET,F,377.0,406.0,,119.0,410.0,374.0,336.0,401.0,325.0,279.0,165.0,103.0,217.0,365.0,Bottom 6,79,901.13333333333,5,8,28.0,1997-04-15,USA,USA,74.0,212.0,2015,2,2,32
2023-2024,Claude Giroux,OTT,F,68.0,261.0,85.0,130.0,20.0,206.0,175.0,122.0,202.0,68.0,92.0,372.0,6.0,81.0,First Line,82,1647.55,21,27,37.0,1988-01-12,CAN,CAN,71.0,190.0,2006,1,22,22
2023-2024,Clayton Keller,ARI,F,81.0,322.0,76.0,225.0,295.0,252.0,94.0,46.0,263.0,30.0,77.0,450.0,,35.0,First Line,78,1501.1666666667,33,27,26.0,1998-07-29,USA,USA,70.0,178.0,2016,1,7,7
2023-2024,Cody Glass,NSH,F,280.0,369.0,196.0,,202.0,403.0,156.0,277.0,284.0,291.0,318.0,274.0,138.0,241.0,Bottom 6,41,550.71666666667,6,4,26.0,1999-04-01,CAN,CAN,75.0,206.0,2017,1,6,6
2023-2024,Cole Caufield,MTL,F,62.0,448.0,111.0,,300.0,408.0,13.0,35.0,66.0,209.0,30.0,423.0,,50.0,First Line,82,1592.4833333333,28,23,24.0,2001-01-02,USA,USA,67.0,174.0,2019,1,15,15
2023-2024,Cole Guttman,CHI,F,402.0,463.0,,,442.0,465.0,139.0,307.0,224.0,444.0,48.0,407.0,156.0,299.0,Bottom 6,27,340.73333333333,4,1,26.0,1999-04-06,USA,USA,69.0,167.0,2017,6,25,180
2023-2024,Cole Perfetti,WPG,F,175.0,98.0,191.0,,211.0,67.0,172.0,180.0,29.0,90.0,397.0,386.0,,182.0,Bottom 6,71,964.78333333333,19,16,23.0,2002-01-01,CAN,CAN,71.0,184.0,2020,1,10,10
2023-2024,Cole Sillinger,CBJ,F,309.0,344.0,295.0,190.0,341.0,415.0,190.0,375.0,131.0,293.0,401.0,139.0,119.0,244.0,Second Line,77,1241.2,13,12,22.0,2003-05-16,USA,USA,73.0,201.0,2021,1,12,12
2023-2024,Cole Smith,NSH,F,412.0,295.0,,93.0,377.0,235.0,399.0,432.0,436.0,300.0,329.0,43.0,,386.0,Bottom 6,80,1095.15,9,7,29.0,1995-10-28,USA,USA,75.0,195.0,-,-,-,-
2023-2024,Colin Blackwell,CHI,F,335.0,264.0,,124.0,397.0,250.0,230.0,346.0,371.0,326.0,3.0,193.0,,342.0,Bottom 6,44,637.66666666667,8,4,32.0,1993-03-28,USA,USA,69.0,190.0,2011,7,13,193
2023-2024,Colin White,"MTL, PIT",F,452.0,100.0,,,372.0,84.0,389.0,444.0,270.0,430.0,262.0,183.0,183.0,443.0,Bottom 6,28,266.63333333333,0,0,28.0,1997-01-30,USA,USA,73.0,194.0,2015,1,21,21
2023-2024,Colton Sissons,NSH,F,356.0,265.0,255.0,84.0,223.0,320.0,404.0,349.0,440.0,295.0,234.0,124.0,31.0,257.0,Second Line,81,1342.4666666667,15,15,31.0,1993-11-05,CAN,CAN,73.0,200.0,2012,2,20,50
2023-2024,Connor Bedard,CHI,F,183.0,464.0,200.0,,383.0,463.0,85.0,178.0,123.0,39.0,195.0,367.0,164.0,75.0,First Line,68,1345.25,22,28,19.0,2005-07-17,CAN,,70.0,185.0,2023,1,1,1
2023-2024,Connor Brown,EDM,F,312.0,229.0,276.0,90.0,259.0,226.0,291.0,441.0,351.0,257.0,182.0,439.0,,284.0,Bottom 6,71,908.76666666667,4,6,31.0,1994-01-14,CAN,CAN,72.0,181.0,2012,6,5,156
2023-2024,Connor Dewar,"MIN, TOR",F,361.0,12.0,,117.0,391.0,29.0,318.0,340.0,409.0,377.0,249.0,85.0,105.0,380.0,Bottom 6,74,862.1,11,5,26.0,1999-06-26,CAN,CAN,70.0,183.0,2018,3,30,92
2023-2024,Connor McDavid,EDM,F,4.0,157.0,2.0,210.0,3.0,105.0,37.0,13.0,30.0,1.0,2.0,254.0,56.0,2.0,First Line,76,1623.3,32,62,28.0,1997-01-13,CAN,CAN,73.0,193.0,2015,1,1,1
2023-2024,Connor McMichael,WSH,F,230.0,186.0,264.0,189.0,316.0,184.0,209.0,231.0,135.0,290.0,352.0,317.0,149.0,298.0,Second Line,80,1278.9333333333,18,10,24.0,2001-01-15,CAN,CAN,72.0,180.0,2019,1,25,25
2023-2024,Connor Zary,CGY,F,169.0,291.0,212.0,,89.0,248.0,375.0,213.0,77.0,215.0,224.0,410.0,,239.0,Bottom 6,63,962.23333333333,14,11,23.0,2001-09-25,CAN,CAN,72.0,178.0,2020,1,24,24
2023-2024,Conor Garland,VAN,F,49.0,40.0,160.0,,164.0,32.0,65.0,151.0,295.0,99.0,15.0,332.0,,143.0,Bottom 6,82,1192.15,20,18,29.0,1996-03-11,USA,USA,70.0,165.0,2015,5,2,123
