Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,zon_rank,plm_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position
2023-2024,A.J. Greer,CGY,F,383.0,90.0,,,409.0,119.0,261.0,338.0,413.0,366.0,441.0,48.0,,416.0,Bottom 6,59,521.06666666667,6,3,28.0,1996-12-14,CAN,CAN,75.0,208.0,2015,2,9,39
2023-2024,Adam Erne,EDM,F,442.0,128.0,297.0,212.0,402.0,134.0,435.0,415.0,154.0,399.0,255.0,22.0,,436.0,Fringe,24,187.65,1,1,30.0,1995-04-20,USA,USA,73.0,212.0,2013,2,3,33
2023-2024,Adam Fantilli,CBJ,F,139.0,414.0,209.0,,339.0,428.0,79.0,191.0,81.0,138.0,245.0,211.0,162.0,162.0,Second Line,49,769.8,12,10,20.0,2004-10-12,CAN,,74.0,194.0,2023,1,3,3
2023-2024,Adam Henrique,"ANA, EDM",F,179.0,331.0,93.0,127.0,290.0,368.0,245.0,92.0,271.0,197.0,285.0,310.0,44.0,111.0,Second Line,82,1381.6333333333,24,15,35.0,1990-02-06,CAN,CAN,72.0,195.0,2008,3,21,82
2023-2024,Adam Lowry,WPG,F,289.0,57.0,273.0,66.0,184.0,81.0,350.0,348.0,426.0,218.0,213.0,87.0,67.0,245.0,Second Line,81,1304.4333333333,12,15,32.0,1993-03-29,USA,USA,78.0,208.0,2011,3,6,67
2023-2024,Adam Ruzicka,"ARI, CGY",F,283.0,170.0,227.0,,254.0,122.0,286.0,315.0,130.0,163.0,253.0,322.0,93.0,364.0,Bottom 6,42,421.13333333333,3,4,26.0,1999-05-11,SVK,SVK,76.0,215.0,2017,4,16,109
2023-2024,Adrian Kempe,LAK,F,54.0,244.0,54.0,55.0,110.0,132.0,33.0,38.0,235.0,109.0,250.0,190.0,,42.0,First Line,77,1457.9166666667,28,25,28.0,1996-09-13,SWE,SWE,74.0,200.0,2014,1,29,29
2023-2024,Aleksander Barkov,FLA,F,33.0,33.0,19.0,12.0,16.0,30.0,96.0,99.0,234.0,10.0,127.0,292.0,15.0,20.0,First Line,73,1433.4833333333,23,35,29.0,1995-09-02,FIN,FIN,75.0,215.0,2013,1,2,2
2023-2024,Alex Barre-Boulet,TBL,F,362.0,418.0,,,256.0,409.0,288.0,205.0,88.0,439.0,344.0,256.0,,390.0,Bottom 6,36,402.8,6,2,28.0,1997-05-21,CAN,CAN,70.0,180.0,-,-,-,-
2023-2024,Alex DeBrincat,DET,F,101.0,312.0,55.0,,231.0,317.0,41.0,82.0,127.0,52.0,58.0,275.0,,54.0,Second Line,82,1467.15,27,26,27.0,1997-12-18,USA,USA,68.0,178.0,2016,2,9,39
2023-2024,Alex Iafallo,WPG,F,229.0,81.0,114.0,64.0,126.0,92.0,215.0,276.0,160.0,238.0,110.0,400.0,,205.0,Bottom 6,82,1255.7,11,10,31.0,1993-12-21,USA,USA,72.0,200.0,-,-,-,-
2023-2024,Alex Kerfoot,ARI,F,328.0,243.0,206.0,103.0,227.0,359.0,452.0,391.0,397.0,139.0,334.0,320.0,157.0,218.0,Second Line,82,1429.6,13,21,30.0,1994-08-11,CAN,CAN,71.0,186.0,2012,5,29,150
2023-2024,Alex Killorn,ANA,F,155.0,400.0,150.0,41.0,157.0,293.0,242.0,120.0,232.0,152.0,415.0,257.0,,131.0,First Line,63,1180.1166666667,18,14,35.0,1989-09-14,CAN,CAN,73.0,194.0,2007,3,16,77
2023-2024,Alex Laferriere,LAK,F,249.0,338.0,,,255.0,281.0,134.0,331.0,230.0,372.0,412.0,154.0,,331.0,Bottom 6,81,1070.8333333333,12,7,23.0,2001-10-28,USA,USA,72.0,173.0,2020,3,21,83
2023-2024,Alex Newhook,MTL,F,228.0,282.0,175.0,,263.0,282.0,317.0,181.0,293.0,282.0,248.0,330.0,115.0,213.0,Second Line,55,930.95,15,7,24.0,2001-01-28,CAN,CAN,70.0,190.0,2019,1,16,16
2023-2024,Alex Ovechkin,WSH,F,57.0,458.0,46.0,,158.0,417.0,7.0,19.0,1.0,91.0,301.0,129.0,,23.0,First Line,79,1518.4666666667,31,21,39.0,1985-09-17,RUS,RUS,75.0,238.0,2004,1,1,1
2023-2024,Alex Tuch,BUF,F,28.0,190.0,130.0,18.0,85.0,365.0,100.0,93.0,25.0,67.0,270.0,327.0,,43.0,First Line,75,1462.7833333333,22,20,29.0,1996-05-10,USA,USA,76.0,219.0,2014,1,18,18
2023-2024,Alexander Barabanov,SJS,F,297.0,455.0,168.0,,166.0,431.0,343.0,390.0,290.0,204.0,266.0,374.0,,256.0,Second Line,46,730.13333333333,4,3,31.0,1994-06-17,RUS,RUS,70.0,195.0,-,-,-,-
2023-2024,Alexander Holtz,NJD,F,166.0,398.0,214.0,,275.0,310.0,194.0,158.0,90.0,383.0,426.0,346.0,,345.0,Bottom 6,82,954.06666666667,16,6,23.0,2002-01-23,SWE,SWE,72.0,195.0,2020,1,7,7
2023-2024,Alexander Nylander,"CBJ, PIT",F,95.0,461.0,,,56.0,462.0,83.0,48.0,242.0,395.0,388.0,430.0,,146.0,Second Line,28,454.96666666667,11,2,27.0,1998-03-02,CAN,CAN,73.0,192.0,2016,1,8,8
2023-2024,Alexander Wennberg,"NYR, SEA",F,394.0,34.0,149.0,125.0,197.0,98.0,459.0,400.0,264.0,264.0,124.0,404.0,118.0,254.0,Second Line,79,1421.1166666667,10,11,30.0,1994-09-22,SWE,SWE,74.0,190.0,2013,1,14,14
2023-2024,Alexandre Texier,CBJ,F,225.0,452.0,,96.0,232.0,445.0,312.0,177.0,423.0,214.0,385.0,363.0,,248.0,Bottom 6,78,1184.1,12,11,25.0,1999-09-13,FRA,FRA,73.0,186.0,2017,2,14,45
2023-2024,Alexey Toropchenko,STL,F,393.0,208.0,,114.0,455.0,303.0,268.0,251.0,345.0,426.0,137.0,74.0,,336.0,Bottom 6,82,1026.8,14,5,26.0,1999-06-25,RUS,RUS,78.0,222.0,2017,4,20,113
2023-2024,Alexis Lafreniere,NYR,F,125.0,242.0,161.0,,98.0,198.0,148.0,115.0,36.0,201.0,163.0,188.0,,156.0,Second Line,82,1415.9,28,20,23.0,2001-10-11,CAN,CAN,73.0,195.0,2020,1,1,1
2023-2024,Aliaksei Protas,WSH,F,287.0,135.0,,153.0,246.0,103.0,267.0,434.0,396.0,199.0,194.0,339.0,214.0,343.0,Bottom 6,78,1072.2,6,13,24.0,2001-01-06,BLR,BLR,78.0,225.0,2019,3,29,91
2023-2024,Anders Lee,NYI,F,159.0,303.0,144.0,,112.0,339.0,89.0,102.0,61.0,354.0,370.0,125.0,,125.0,Second Line,81,1260.9333333333,20,3,35.0,1990-07-03,USA,USA,75.0,235.0,2009,6,1,152
2023-2024,Andre Burakovsky,SEA,F,215.0,297.0,90.0,,150.0,296.0,131.0,214.0,139.0,127.0,143.0,434.0,,165.0,Bottom 6,49,713.68333333333,7,5,30.0,1995-02-09,AUT,SWE,75.0,209.0,2013,1,23,23
2023-2024,Andreas Athanasiou,CHI,F,288.0,393.0,281.0,,394.0,448.0,136.0,252.0,218.0,236.0,17.0,398.0,196.0,207.0,Bottom 6,28,366.73333333333,2,4,30.0,1994-08-06,CAN,CAN,74.0,190.0,2012,4,19,110
2023-2024,Andrei Kuzmenko,"CGY, VAN",F,123.0,223.0,184.0,,177.0,142.0,252.0,28.0,68.0,159.0,107.0,462.0,,127.0,Bottom 6,72,1071.6666666667,22,13,29.0,1996-02-04,RUS,RUS,71.0,194.0,-,-,-,-
