Season,Player,Team,Position,ovr_pct,evo_pct,evd_pct,ppl_pct,pkl_pct,fin_pct,gol_pct,xgl_pct,ast_pct,pen_pct,hit_pct,ozs_pct,pdo_pct,tmt_pct,cmp_pct,ovr_rank,evo_rank,evd_rank,ppl_rank,pkl_rank,fin_rank,gol_rank,xgl_rank,ast_rank,pen_rank,hit_rank,ozs_rank,pdo_rank,tmt_rank,cmp_rank,all_players,ppl_players,pkl_players,Role,GP,TOI,Goals,Total Assists,Total Points,ixG,GF%,xGF%,Player ID,Specific Position,Height (in),Weight (lbs),Date of Birth,Birth Country,Draft Year,Draft Round,Overall Draft Position,Shoots Catches,Age,ovr_history,evo_history,evd_history,team_history
2016-2017,Alex Ovechkin,WSH,F,95.7,98.3,2.6,100.0,,98.3,91.2,96.4,68.6,17.1,83.1,12.4,3.6,92.2,93.6,19,8,411,1.0,,8,38,16,133,310,72,370,407,34,28,421,273,190,First Line,82.0,1506.0166666666669,33.0,36.0,69.0,30.81000693251779,57.84313725490197,49.89552037389328,8471214,L,75.0,238.0,1985-09-17,RUS,2004.0,1.0,1.0,R,30,"[99, 94, 97, 99, 84]","[96, 86, 96, 98, 97]","[43, 3, 6, 10, 1]","['WSH', 'WSH', 'WSH', 'WSH', 'WSH']"
2016-2017,Alexander Burmistrov,ARI,F,15.4,3.1,48.2,20.1,39.5,16.2,2.1,1.9,34.7,73.2,60.8,62.2,66.7,19.7,58.4,357,409,219,219.0,116.0,354,413,414,276,107,166,160,141,339,176,421,273,190,Fourth Line,49.0,654.4333333333333,5.0,11.0,16.0,3.9999634892624787,36.11111111111111,34.26632923928072,8475788,C,73.0,180.0,1991-10-21,RUS,2010.0,1.0,8.0,L,24,"[57, None, None, 19, 20]","[13, None, None, 5, 2]","[70, None, None, 64, 36]","['WPG', None, None, 'WPG', 'ARI']"
2016-2017,Alexander Radulov,MTL,F,29.0,69.8,69.1,2.9,,1.2,20.2,67.5,93.1,27.6,52.7,36.3,10.9,85.0,57.5,300,128,131,266.0,,417,337,138,30,268,200,269,376,64,180,421,273,190,First Line,76.0,1390.0833333333333,18.0,36.0,54.0,18.541969599223503,59.77011494252874,55.257934082950285,8471228,R,73.0,200.0,1986-07-05,RUS,2004.0,1.0,15.0,L,30,"[None, None, None, None, 32]","[None, None, None, None, 68]","[None, None, None, None, 69]","[None, None, None, None, 'MTL']"
2016-2017,Alexander Steen,STL,F,74.6,69.6,92.4,38.1,58.4,75.5,53.9,25.2,65.1,35.9,19.5,30.6,25.9,87.6,92.9,108,129,33,170.0,80.0,104,195,316,148,241,340,293,313,53,31,421,273,190,First Line,76.0,1467.2333333333331,16.0,35.0,51.0,15.027628010889753,52.56410256410257,49.92903547804992,8470257,L,72.0,211.0,1984-03-01,CAN,2002.0,1.0,24.0,L,32,"[88, 97, 95, 63, 70]","[84, 82, 94, 72, 53]","[87, 93, 82, 85, 92]","['STL', 'STL', 'STL', 'STL', 'STL']"
2016-2017,Alexander Wennberg,CBJ,F,61.8,14.0,57.2,70.7,,49.9,18.1,4.3,85.3,87.9,20.4,49.9,31.4,75.1,55.6,162,363,181,81.0,,212,346,404,63,51,336,212,290,106,188,421,273,190,First Line,80.0,1470.2,13.0,46.0,59.0,10.546967909544218,55.55555555555556,50.72883309062956,8477505,C,74.0,190.0,1994-09-22,SWE,2013.0,1.0,14.0,L,21,"[None, None, 39, 77, 51]","[None, None, 17, 40, 10]","[None, None, 60, 56, 58]","[None, None, 'CBJ', 'CBJ', 'CBJ']"
2016-2017,Alexandre Burrows,OTT,F,65.8,60.6,83.6,,42.6,69.6,54.9,31.8,36.1,54.6,47.7,39.0,39.0,9.3,51.3,145,167,70,,110.0,129,191,288,270,176,221,258,258,383,206,421,273,190,Third Line,75.0,1098.5,15.0,16.0,31.0,12.61163258758091,51.388888888888886,47.89915427107875,8470358,R,73.0,197.0,1981-04-11,CAN,,,,L,35,"[93, 68, 77, 51, 72]","[85, 59, 71, 56, 61]","[97, 88, 86, 83, 81]","['VAN', 'VAN', 'VAN', 'VAN', 'OTT']"
2016-2017,Anders Lee,NYI,F,79.1,93.3,21.6,70.3,,92.6,93.8,95.7,52.3,10.5,84.1,46.6,27.6,64.1,70.3,89,29,331,82.0,,32,27,19,202,335,68,226,306,152,126,421,273,190,Second Line,81.0,1262.65,35.0,19.0,54.0,24.338025066594756,55.88235294117647,52.00608731363824,8475314,L,75.0,234.0,1990-07-03,USA,2009.0,6.0,152.0,L,26,"[None, 32, 53, 15, 95]","[None, 42, 89, 85, 95]","[None, 48, 24, 21, 23]","[None, 'NYI', 'NYI', 'NYI', 'NYI']"
2016-2017,Andre Burakovsky,WSH,F,58.4,67.9,28.3,15.0,,84.3,79.8,61.3,76.2,53.9,28.3,71.7,59.9,79.8,24.5,176,136,303,233.0,,67,86,164,101,179,303,120,170,86,319,421,273,190,Fourth Line,64.0,848.85,12.0,23.0,35.0,10.16347997156824,61.81818181818181,51.39171494139205,8477444,L,75.0,203.0,1995-02-09,AUT,2013.0,1.0,23.0,L,21,"[None, None, 64, 68, 51]","[None, None, 58, 70, 67]","[None, None, 64, 25, 28]","[None, None, 'WSH', 'WSH', 'WSH']"
2016-2017,Andreas Athanasiou,DET,F,67.2,35.9,26.4,43.6,,90.3,99.0,93.6,41.3,93.3,25.4,94.1,89.1,20.2,33.0,139,271,311,155.0,,42,5,28,248,29,315,26,47,337,283,421,273,190,Fourth Line,64.0,861.7166666666667,18.0,11.0,29.0,12.939457402461086,50.0,46.75742878283181,8476960,C,74.0,190.0,1994-08-06,CAN,2012.0,4.0,110.0,L,22,"[None, None, None, 68, 66]","[None, None, None, 41, 32]","[None, None, None, 40, 21]","[None, None, None, 'DET', 'DET']"
2016-2017,Andreas Martinsen,MTL,F,10.9,5.7,74.3,,73.7,31.4,14.3,12.8,9.7,21.1,97.1,74.1,77.2,3.3,47.5,376,398,109,,51.0,290,362,368,381,293,13,110,97,408,222,421,273,190,Fourth Line,64.0,637.0,3.0,4.0,7.0,5.28261271785971,27.27272727272727,38.38623548501145,8478561,L,74.0,225.0,1990-06-13,NOR,,,,L,26,"[None, None, None, 30, 6]","[None, None, None, 9, 5]","[None, None, None, 76, 70]","[None, None, None, 'COL', 'MTL']"
2016-2017,Andrew Cogliano,ANA,F,67.7,79.3,68.6,,57.9,9.0,34.0,59.6,71.0,44.2,50.6,2.1,18.5,88.8,86.2,137,88,133,,81.0,384,279,171,123,213,209,413,344,48,59,421,273,190,Third Line,82.0,1241.3166666666666,16.0,19.0,35.0,16.93489860772264,54.054054054054056,53.7810561318842,8471699,C,70.0,179.0,1987-06-14,CAN,2005.0,1.0,25.0,L,29,"[82, 61, 76, 51, 74]","[54, 45, 56, 78, 85]","[71, 53, 70, 86, 44]","['ANA', 'ANA', 'ANA', 'ANA', 'ANA']"
2016-2017,Andrew Copp,WPG,F,48.2,42.5,84.1,,56.8,65.8,69.8,42.0,37.8,26.4,73.6,68.9,76.7,55.3,20.7,219,243,68,,83.0,145,128,245,263,271,112,132,99,189,335,421,273,190,Fourth Line,64.0,789.9666666666667,9.0,8.0,17.0,8.241902052008841,57.14285714285714,57.53450041204591,8477429,C,73.0,200.0,1994-07-08,USA,2013.0,4.0,104.0,L,22,"[None, None, None, 50, 50]","[None, None, None, 26, 53]","[None, None, None, 66, 90]","[None, None, None, 'WPG', 'WPG']"
2016-2017,Andrew Desjardins,CHI,F,18.1,8.6,68.2,,,15.7,2.4,39.0,1.7,49.6,86.7,76.0,80.3,58.7,10.0,346,386,135,,,356,412,258,415,195,57,102,84,175,380,421,273,190,Fourth Line,46.0,432.46666666666664,0.0,1.0,1.0,4.378130880350798,38.46153846153847,49.27155825778052,8471956,L,73.0,195.0,1986-07-27,CAN,,,,L,30,"[57, 34, 6, 34, 23]","[22, 3, 3, 5, 15]","[65, 82, 73, 86, 42]","['SJS', 'SJS', 'CHI', 'CHI', 'CHI']"
2016-2017,Andrew Ladd,NYI,F,57.5,70.3,51.5,72.9,26.3,87.4,74.8,58.7,27.6,7.6,66.5,18.1,19.5,54.9,79.8,180,126,205,75.0,141.0,54,107,175,306,347,142,346,340,191,86,421,273,190,Second Line,78.0,1261.7,23.0,8.0,31.0,16.996027986311336,41.55844155844156,47.23846158373605,8471217,L,75.0,205.0,1985-12-12,CAN,2004.0,1.0,4.0,L,30,"[85, 89, 84, 60, 47]","[96, 91, 89, 66, 64]","[17, 77, 87, 24, 65]","['WPG', 'WPG', 'WPG', 'CHI', 'NYI']"
2016-2017,Andrew Shaw,MTL,F,45.8,74.8,22.6,7.7,,5.0,41.6,82.2,27.3,65.6,89.1,41.1,39.7,82.7,39.0,229,107,327,253.0,,401,247,76,307,137,47,249,255,74,258,421,273,190,Third Line,68.0,1033.7166666666667,12.0,17.0,29.0,13.592168699415842,51.5625,55.11649782904594,8476381,R,71.0,182.0,1991-07-20,CAN,2011.0,5.0,139.0,R,25,"[57, 55, 30, 35, 58]","[48, 66, 70, 74, 74]","[73, 37, 14, 13, 41]","['CHI', 'CHI', 'CHI', 'CHI', 'MTL']"
2016-2017,Andy Andreoff,LAK,F,12.6,38.7,26.8,,,46.3,17.3,25.7,9.3,21.4,86.2,96.4,90.5,79.1,10.2,369,259,309,,,227,349,314,383,292,59,16,41,89,379,421,273,190,Fourth Line,36.0,381.4666666666667,0.0,2.0,2.0,3.1780446121523673,42.857142857142854,50.861163847475886,8476404,C,73.0,208.0,1991-05-17,CAN,2011.0,3.0,80.0,L,25,"[None, None, None, 42, 5]","[None, None, None, 43, 36]","[None, None, None, 27, 31]","[None, None, None, 'LAK', 'LAK']"
2016-2017,Anthony Beauvillier,NYI,F,4.8,4.0,15.0,,,72.0,59.6,29.2,74.1,32.3,59.4,59.4,54.2,22.3,48.0,402,405,359,,,119,171,299,110,252,172,172,194,328,220,421,273,190,Fourth Line,66.0,859.3833333333333,9.0,16.0,25.0,8.29387750851542,51.35135135135135,42.71621108918773,8478463,R,71.0,181.0,1997-06-08,CAN,2015.0,1.0,28.0,L,19,"[None, None, None, None, 5]","[None, None, None, None, 5]","[None, None, None, None, 14]","[None, None, None, None, 'NYI']"
2016-2017,Anthony Duclair,ARI,F,48.0,56.3,28.0,34.4,,63.7,46.8,42.5,67.2,59.6,15.9,76.2,61.0,3.1,69.4,220,185,304,180.0,,154,225,243,139,155,355,101,165,409,130,421,273,190,Fourth Line,58.0,771.3666666666667,5.0,10.0,15.0,9.264571346678439,49.056603773584904,47.48944147101219,8477407,L,72.0,198.0,1995-08-26,CAN,2013.0,3.0,80.0,L,21,"[None, None, None, 58, 40]","[None, None, None, 51, 60]","[None, None, None, 33, 27]","[None, None, None, 'ARI', 'ARI']"
2016-2017,Anthony Mantha,DET,F,68.9,62.9,91.4,5.5,,73.2,90.5,94.1,43.2,53.2,24.9,54.2,57.5,45.1,67.5,132,157,37,259.0,,114,41,26,240,181,317,194,180,232,138,421,273,190,Second Line,60.0,954.1,17.0,19.0,36.0,15.313781550800867,59.375,55.94015417650719,8477511,R,77.0,240.0,1994-09-16,CAN,2013.0,1.0,20.0,L,21,"[None, None, None, None, 69]","[None, None, None, None, 63]","[None, None, None, None, 88]","[None, None, None, None, 'DET']"
2016-2017,Antoine Roussel,DAL,F,56.8,83.8,34.4,13.6,22.1,66.5,74.3,61.8,64.4,18.5,68.9,33.7,51.1,60.6,72.4,183,69,277,237.0,149.0,142,109,162,151,304,132,280,207,167,117,421,273,190,Second Line,60.0,931.1,12.0,15.0,27.0,10.223575551889807,52.94117647058824,55.21886672491642,8474849,L,71.0,200.0,1989-11-21,FRA,,,,L,26,"[9, 24, 35, 45, 68]","[44, 79, 79, 84, 82]","[56, 56, 28, 22, 56]","['DAL', 'DAL', 'DAL', 'DAL', 'DAL']"
2016-2017,Antoine Vermette,ANA,F,2.4,31.6,35.2,45.8,14.7,23.8,6.9,6.2,35.4,0.2,29.5,37.3,34.0,25.4,42.3,412,289,274,149.0,163.0,322,393,396,273,378,298,265,279,315,244,421,273,190,Second Line,72.0,1145.05,9.0,19.0,28.0,10.489921034254762,46.774193548387096,51.21281012312677,8468535,C,73.0,197.0,1982-07-20,CAN,2000.0,2.0,55.0,L,34,"[43, 69, 7, 1, 9]","[80, 70, 35, 52, 18]","[17, 59, 30, 24, 54]","['PHX', 'PHX', 'CHI', 'ARI', 'ANA']"
2016-2017,Anton Slepyshev,EDM,F,24.0,18.3,30.9,,,53.9,34.9,18.3,39.4,58.0,83.8,89.1,89.8,26.4,11.6,321,345,292,,,195,275,345,256,162,69,47,44,311,373,421,273,190,Fourth Line,41.0,455.7,4.0,6.0,10.0,3.7549081505437103,63.1578947368421,43.1885306897082,8477415,L,74.0,221.0,1994-05-13,RUS,2013.0,3.0,88.0,R,22,"[None, None, None, None, 28]","[None, None, None, None, 20]","[None, None, None, None, 31]","[None, None, None, None, 'EDM']"
2016-2017,Anze Kopitar,LAK,F,98.8,95.7,97.9,85.0,32.6,24.0,29.0,33.5,86.2,88.6,33.3,8.1,2.4,93.6,80.5,6,19,10,42.0,129.0,321,300,281,59,48,282,388,412,28,83,421,273,190,First Line,76.0,1578.2333333333331,12.0,40.0,52.0,18.152812367812587,47.5609756097561,55.1529885735071,8471685,C,75.0,225.0,1987-08-24,SVN,2005.0,1.0,11.0,L,29,"[98, 99, 98, 99, 96]","[98, 97, 93, 96, 95]","[98, 99, 99, 96, 97]","['LAK', 'LAK', 'LAK', 'LAK', 'LAK']"
2016-2017,Artem Anisimov,CHI,F,54.4,45.1,86.5,21.2,11.6,77.7,73.4,52.0,72.0,37.1,11.2,61.0,40.6,54.2,93.1,193,232,58,216.0,169.0,95,113,203,119,236,375,165,251,194,30,421,273,190,Second Line,64.0,1142.15,22.0,23.0,45.0,14.998161127763142,55.12820512820513,48.14557256304755,8473573,C,76.0,199.0,1988-05-24,RUS,2006.0,2.0,54.0,L,28,"[77, 86, 60, 69, 40]","[47, 46, 49, 50, 41]","[93, 98, 88, 89, 80]","['CBJ', 'CBJ', 'CBJ', 'CHI', 'CHI']"
2016-2017,Artemi Panarin,CHI,F,78.6,68.4,25.7,28.9,,96.0,81.0,64.6,88.8,84.3,8.3,42.3,0.7,68.9,97.1,91,134,314,195.0,,18,81,150,48,65,387,244,419,132,13,421,273,190,First Line,82.0,1596.6333333333334,31.0,43.0,74.0,23.283790072561487,58.333333333333336,51.011356659253195,8478550,L,72.0,176.0,1991-10-30,RUS,,,,R,24,"[None, None, None, 60, 84]","[None, None, None, 56, 73]","[None, None, None, 19, 38]","[None, None, None, 'CHI', 'CHI']"
2016-2017,Artturi Lehkonen,MTL,F,78.1,73.2,82.7,19.8,,80.5,92.9,95.5,9.5,61.9,58.0,19.7,39.9,66.7,22.8,93,114,74,220.0,,83,31,20,382,149,178,339,254,141,326,421,273,190,Third Line,73.0,1011.7,18.0,10.0,28.0,16.317231244397,50.0,54.76391257655847,8477476,L,71.0,179.0,1995-07-04,FIN,2013.0,2.0,55.0,L,21,"[None, None, None, None, 78]","[None, None, None, None, 71]","[None, None, None, None, 82]","[None, None, None, None, 'MTL']"
2016-2017,Austin Czarnik,BOS,F,53.2,29.7,65.8,32.6,65.8,55.8,50.4,23.0,13.8,67.7,10.7,89.3,83.1,67.7,2.1,198,297,145,185.0,66.0,187,210,325,364,129,377,46,72,137,413,421,273,190,Fourth Line,49.0,637.7833333333333,5.0,8.0,13.0,5.979169692361215,38.70967741935484,53.70575785853444,8478512,C,69.0,170.0,1992-12-12,USA,,,,R,23,"[None, None, None, None, 54]","[None, None, None, None, 31]","[None, None, None, None, 67]","[None, None, None, None, 'BOS']"
2016-2017,Austin Watson,NSH,F,9.5,5.5,87.6,,30.5,27.6,9.5,14.7,48.9,9.7,83.6,0.7,72.0,82.2,34.2,382,399,53,,133.0,306,382,360,216,338,70,419,119,76,278,421,273,190,Fourth Line,77.0,956.8,5.0,12.0,17.0,7.077377536105271,58.536585365853654,46.6402475233373,8475766,L,76.0,203.0,1992-01-13,USA,2010.0,1.0,18.0,R,24,"[None, None, None, 16, 12]","[None, None, None, 14, 2]","[None, None, None, 78, 89]","[None, None, None, 'NSH', 'NSH']"
2016-2017,Auston Matthews,TOR,F,93.6,89.1,8.6,61.5,,97.1,99.5,100.0,33.7,95.0,7.4,37.5,1.7,71.5,36.8,28,47,386,106.0,,13,3,1,280,22,391,264,415,121,267,421,273,190,Second Line,82.0,1445.75,40.0,29.0,69.0,35.735241683359654,51.06382978723404,52.16325860743605,8479318,C,75.0,215.0,1997-09-17,USA,2016.0,1.0,1.0,L,18,"[None, None, None, None, 91]","[None, None, None, None, 89]","[None, None, None, None, 8]","[None, None, None, None, 'TOR']"
2016-2017,Beau Bennett,NJD,F,23.8,30.9,65.1,5.9,,54.9,58.4,30.4,33.0,30.9,75.8,83.8,82.4,42.5,45.8,322,292,148,258.0,,191,176,294,283,254,103,69,75,243,229,421,273,190,Third Line,65.0,881.2666666666667,8.0,11.0,19.0,8.307275019272058,48.888888888888886,49.39203858281584,8475761,R,74.0,195.0,1991-11-27,USA,2010.0,1.0,20.0,R,24,"[27, None, 28, 25, 34]","[24, None, 30, 23, 40]","[35, None, 76, 52, 68]","['PIT', None, 'PIT', 'PIT', 'NJD']"
2016-2017,Ben Smith,TOR,F,38.0,16.9,81.0,,32.1,26.4,13.3,59.1,4.5,54.9,63.9,50.1,91.0,41.3,4.8,262,351,81,,130.0,311,366,173,403,175,153,211,39,248,402,421,273,190,Fourth Line,40.0,458.65,2.0,2.0,4.0,3.954448910774255,36.0,50.30831308994858,8474727,R,71.0,203.0,1988-07-11,USA,2008.0,6.0,169.0,R,28,"[None, 77, 57, None, 37]","[None, 47, 16, None, 23]","[None, 82, 91, None, 73]","[None, 'CHI', 'SJS', None, 'TOR']"
2016-2017,Benoit Pouliot,EDM,F,35.2,62.2,29.2,59.7,77.4,68.2,60.1,27.8,64.1,11.4,22.8,67.5,60.3,18.3,63.7,274,160,299,111.0,44.0,135,169,305,152,331,326,138,168,345,154,421,273,190,Third Line,67.0,941.6166666666668,8.0,6.0,14.0,8.13569148436971,46.0,44.881217456166134,8471678,L,75.0,200.0,1986-09-29,CAN,2005.0,1.0,4.0,L,29,"[75, 63, 53, 55, 23]","[73, 84, 74, 65, 55]","[43, 63, 15, 49, 25]","['TBL', 'NYR', 'EDM', 'EDM', 'EDM']"
2016-2017,Blake Comeau,COL,F,11.4,10.2,78.6,,47.4,39.7,17.8,9.7,33.3,20.0,73.2,20.2,27.1,11.9,54.6,374,379,91,,101.0,255,347,381,282,298,114,337,308,372,192,421,273,190,Third Line,77.0,1153.8166666666666,8.0,12.0,20.0,8.99948117974092,34.66666666666667,44.544910825957466,8471260,L,73.0,200.0,1986-02-18,CAN,2004.0,2.0,47.0,R,30,"[3, 36, 10, 14, 21]","[18, 34, 28, 4, 13]","[18, 71, 29, 88, 75]","['CBJ', 'CBJ', 'PIT', 'COL', 'COL']"
2016-2017,Blake Wheeler,WPG,F,98.6,99.3,96.2,81.7,12.6,68.4,76.2,77.2,96.9,46.1,48.9,6.7,1.4,73.9,99.3,7,4,17,51.0,167.0,134,101,97,14,210,216,394,416,111,4,421,273,190,First Line,82.0,1651.65,26.0,48.0,74.0,26.15165642948334,50.0,57.07584870619965,8471218,R,77.0,222.0,1986-08-31,USA,2004.0,1.0,5.0,R,30,"[95, 94, 91, 97, 99]","[98, 94, 98, 99, 99]","[23, 43, 92, 83, 98]","['WPG', 'WPG', 'WPG', 'WPG', 'WPG']"
2016-2017,Bo Horvat,VAN,F,36.8,80.3,10.2,5.1,1.1,32.5,69.6,82.4,69.6,77.2,27.8,15.0,24.5,3.6,57.7,267,84,379,260.0,189.0,285,129,75,129,92,305,359,319,407,179,421,273,190,First Line,81.0,1460.6,20.0,32.0,52.0,21.53266173232569,52.38095238095239,50.495167125315255,8477500,C,73.0,225.0,1995-04-05,CAN,2013.0,1.0,9.0,L,21,"[None, None, 37, 29, 49]","[None, None, 64, 78, 86]","[None, None, 16, 4, 19]","[None, None, 'VAN', 'VAN', 'VAN']"
2016-2017,Bobby Ryan,OTT,F,56.1,56.1,8.3,23.8,,79.8,66.7,37.3,65.8,91.4,64.6,57.2,42.5,33.0,77.2,186,186,387,209.0,,86,141,265,145,36,150,181,243,283,97,421,273,190,Second Line,62.0,963.35,13.0,12.0,25.0,10.366101200603639,51.5625,48.0074754527034,8471676,R,74.0,208.0,1987-03-17,USA,2005.0,1.0,2.0,R,29,"[90, 38, 61, 54, 58]","[86, 68, 85, 49, 49]","[33, 18, 5, 2, 20]","['ANA', 'OTT', 'OTT', 'OTT', 'OTT']"
2016-2017,Boone Jenner,CBJ,F,36.6,67.7,13.1,42.1,52.1,39.2,83.4,93.3,36.8,46.8,86.5,14.7,35.2,67.0,80.8,268,137,367,159.0,92.0,257,71,29,267,207,58,360,274,140,82,421,273,190,Second Line,82.0,1317.0333333333333,18.0,16.0,34.0,20.67854600733474,58.139534883720934,49.18633653135387,8476432,C,74.0,204.0,1993-06-15,CAN,2011.0,2.0,37.0,L,23,"[None, 61, 68, 47, 27]","[None, 16, 44, 74, 66]","[None, 62, 67, 16, 8]","[None, 'CBJ', 'CBJ', 'CBJ', 'CBJ']"
