Season,Player,Team,Position,ovr_pct,evo_pct,evd_pct,ppl_pct,pkl_pct,fin_pct,gol_pct,xgl_pct,ast_pct,pen_pct,hit_pct,ozs_pct,pdo_pct,tmt_pct,cmp_pct,ovr_rank,evo_rank,evd_rank,ppl_rank,pkl_rank,fin_rank,gol_rank,xgl_rank,ast_rank,pen_rank,hit_rank,ozs_rank,pdo_rank,tmt_rank,cmp_rank,all_players,ppl_players,pkl_players,Role,GP,TOI,Goals,Total Assists,Total Points,ixG,GF%,xGF%,Player ID,Specific Position,Height (in),Weight (lbs),Date of Birth,Birth Country,Draft Year,Draft Round,Overall Draft Position,Shoots Catches,Age,ovr_history,evo_history,evd_history,team_history
2016-2017,Adam Cracknell,DAL,F,42.8,35.4,35.9,,,68.6,61.8,32.5,21.9,64.1,81.7,68.6,73.6,14.3,24.2,242,273,271,,,133,162,285,330,143,78,133,112,362,320,421,273,190,Fourth Line,69.0,721.75,10.0,6.0,16.0,7.825633415614158,56.52173913043478,49.496516292778665,8471490,R,75.0,209.0,1985-07-15,CAN,2004.0,9.0,279.0,R,31,"[None, None, None, 20, 62]","[None, None, None, 27, 45]","[None, None, None, 38, 39]","[None, None, None, 'EDM', 'DAL']"
2016-2017,Adam Erne,TBL,F,30.6,25.4,52.7,30.8,,50.8,55.8,49.6,0.2,45.2,94.8,97.6,97.6,49.4,19.2,293,315,200,190.0,,208,187,213,421,211,23,11,11,214,341,421,273,190,Fourth Line,26.0,306.98333333333335,3.0,0.0,3.0,3.3002721238207027,25.0,50.50707808516858,8477454,L,73.0,209.0,1995-04-20,USA,2013.0,2.0,33.0,L,21,"[None, None, None, None, 34]","[None, None, None, None, 27]","[None, None, None, None, 52]","[None, None, None, None, 'TBL']"
2016-2017,Adam Henrique,NJD,F,70.8,72.4,42.8,0.4,87.4,80.8,69.4,57.0,24.2,75.3,34.9,16.9,21.9,21.1,80.3,124,117,242,273.0,25.0,82,130,182,320,100,275,351,330,333,84,421,273,190,First Line,82.0,1490.1166666666666,20.0,20.0,40.0,18.118948861687652,43.75,47.2839249606205,8474641,C,72.0,195.0,1990-02-06,CAN,2008.0,3.0,82.0,L,26,"[69, 82, 36, 87, 57]","[61, 69, 76, 73, 68]","[87, 68, 26, 82, 23]","['NJD', 'NJD', 'NJD', 'NJD', 'NJD']"
2016-2017,Adam Lowry,WPG,F,40.1,36.8,79.8,73.6,25.8,41.8,36.1,32.8,24.5,24.0,91.7,11.4,34.9,39.7,51.5,253,267,86,73.0,142.0,246,270,284,319,281,36,374,275,255,205,421,273,190,Second Line,82.0,1316.0333333333333,15.0,14.0,29.0,17.101553933607505,48.48484848484848,50.731063699646676,8476392,C,77.0,210.0,1993-03-29,USA,2011.0,3.0,67.0,L,23,"[None, None, 35, 23, 57]","[None, None, 32, 27, 47]","[None, None, 79, 68, 82]","[None, None, 'WPG', 'WPG', 'WPG']"
2016-2017,Adrian Kempe,LAK,F,34.4,24.7,47.0,27.5,,48.9,23.0,8.1,0.5,61.9,40.4,100.0,99.3,81.5,1.7,277,318,224,199.0,,216,325,388,420,149,252,1,4,79,415,421,273,190,Fourth Line,25.0,305.76666666666665,2.0,4.0,6.0,2.5930819539541363,44.44444444444444,54.28390047799362,8477960,R,74.0,205.0,1996-09-13,SWE,2014.0,1.0,29.0,L,19,"[None, None, None, None, 39]","[None, None, None, None, 26]","[None, None, None, None, 45]","[None, None, None, None, 'LAK']"
2016-2017,Alan Quine,NYI,F,13.3,40.1,28.7,13.2,,9.5,5.2,38.0,72.4,39.9,62.0,63.7,70.3,10.9,11.9,366,253,301,238.0,,382,400,262,117,227,161,154,126,376,372,421,273,190,Fourth Line,61.0,763.7666666666667,5.0,14.0,19.0,7.76398430043905,50.0,45.81677921887661,8476409,C,72.0,203.0,1993-02-25,CAN,2013.0,6.0,166.0,L,23,"[None, None, None, None, 15]","[None, None, None, None, 41]","[None, None, None, None, 28]","[None, None, None, None, 'NYI']"
2016-2017,Aleksander Barkov,FLA,F,87.2,52.7,80.8,65.6,68.4,94.5,94.5,68.9,88.6,91.7,23.0,38.5,43.7,83.4,85.7,55,200,82,95.0,61.0,24,24,132,49,35,325,260,238,71,61,421,273,190,First Line,61.0,1183.5,21.0,32.0,53.0,15.412657115254186,57.534246575342465,53.32353139386967,8477493,C,75.0,214.0,1995-09-02,FIN,2013.0,1.0,2.0,L,20,"[None, 39, 51, 91, 85]","[None, 50, 20, 59, 53]","[None, 61, 80, 60, 86]","[None, 'FLA', 'FLA', 'FLA', 'FLA']"
2016-2017,Alex Chiasson,CGY,F,21.1,10.5,80.3,,61.1,68.9,36.6,13.1,20.9,6.7,65.1,44.2,41.1,36.3,36.6,333,378,84,,75.0,132,268,367,334,351,148,236,249,269,268,421,273,190,Fourth Line,81.0,1084.4833333333331,12.0,12.0,24.0,9.2512011940234,46.26865671641791,51.52350870565259,8475163,R,76.0,208.0,1990-10-01,CAN,2009.0,2.0,38.0,R,25,"[None, 33, 5, 7, 53]","[None, 45, 20, 13, 9]","[None, 27, 59, 37, 93]","[None, 'DAL', 'OTT', 'OTT', 'CGY']"
2016-2017,Alex Galchenyuk,MTL,F,51.1,64.1,6.4,67.0,,89.1,72.9,56.8,80.0,63.2,35.6,73.2,40.1,77.0,34.9,207,152,395,91.0,,47,115,183,85,147,272,114,253,98,275,421,273,190,Second Line,61.0,971.7166666666668,17.0,27.0,44.0,12.054816543034802,47.88732394366197,48.0701132644566,8476851,C,73.0,194.0,1994-02-12,USA,2012.0,1.0,3.0,L,22,"[53, 48, 64, 85, 12]","[70, 56, 68, 70, 57]","[37, 17, 16, 14, 4]","['MTL', 'MTL', 'MTL', 'MTL', 'MTL']"
2016-2017,Alex Killorn,TBL,F,45.1,24.9,73.9,54.9,86.3,64.6,48.9,34.7,68.4,34.9,51.5,27.8,15.0,69.4,53.9,232,317,111,124.0,27.0,150,216,276,134,245,205,305,359,130,195,421,273,190,First Line,81.0,1458.2333333333331,19.0,17.0,36.0,16.630648630435708,45.56962025316456,48.13301764078866,8473986,L,73.0,205.0,1989-09-14,CAN,2007.0,3.0,77.0,L,26,"[46, 9, 67, 52, 38]","[40, 44, 39, 42, 15]","[76, 44, 78, 79, 66]","['TBL', 'TBL', 'TBL', 'TBL', 'TBL']"
