Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,zon_rank,plm_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Player ID,Headshot URL,Team URL
2015-2016,Aaron Ekblad,FLA,D,69.0,70.0,76.0,,171.0,16.0,26.0,12.0,28.0,76.0,102.0,137.0,,50.0,Second Pair,78,1690.8166666667,15,8,19,1996-02-07,CAN,CAN,76,215,2014,1,1,1,8477932.0,https://assets.nhle.com/mugs/nhl/20152016/FLA/8477932.png,https://assets.nhle.com/logos/nhl/svg/FLA_light.svg
2015-2016,Adam Clendening,EDM,D,152.0,223.0,,,92.0,213.0,89.0,125.0,35.0,211.0,222.0,184.0,,158.0,Third Pair,29,429.08333333333,1,1,22,1992-10-26,USA,USA,72,194,2011,2,6,36,8476431.0,https://assets.nhle.com/mugs/nhl/20152016/EDM/8476431.png,https://assets.nhle.com/logos/nhl/svg/EDM_light.svg
2015-2016,Adam Clendening,PIT,D,152.0,223.0,,,92.0,213.0,89.0,125.0,35.0,211.0,222.0,184.0,,158.0,Third Pair,29,429.08333333333,1,1,22,1992-10-26,USA,USA,72,194,2011,2,6,36,8476431.0,https://assets.nhle.com/mugs/nhl/20152016/PIT/8476431.png,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg
2015-2016,Adam Larsson,NJD,D,192.0,6.0,,133.0,224.0,10.0,195.0,182.0,228.0,126.0,179.0,79.0,,106.0,First Pair,82,1846.1,3,6,22,1992-11-12,SWE,SWE,75,209,2011,1,4,4,8476457.0,https://assets.nhle.com/mugs/nhl/20152016/NJD/8476457.png,https://assets.nhle.com/logos/nhl/svg/NJD_light.svg
2015-2016,Adam McQuaid,BOS,D,200.0,36.0,,119.0,173.0,60.0,207.0,222.0,108.0,208.0,215.0,29.0,,173.0,Second Pair,64,1154.5666666667,1,3,28,1986-10-12,CAN,CAN,76,210,2005,2,25,55,8471717.0,https://assets.nhle.com/mugs/nhl/20152016/BOS/8471717.png,https://assets.nhle.com/logos/nhl/svg/BOS_light.svg
2015-2016,Adam Pardy,EDM,D,74.0,166.0,,165.0,76.0,143.0,178.0,213.0,37.0,86.0,116.0,69.0,,205.0,Third Pair,23,365.33333333333,0,3,31,1984-03-29,CAN,CAN,76,227,2004,6,10,173,8471385.0,https://assets.nhle.com/mugs/nhl/20152016/EDM/8471385.png,https://assets.nhle.com/logos/nhl/svg/EDM_light.svg
2015-2016,Adam Pardy,WPG,D,74.0,166.0,,165.0,76.0,143.0,178.0,213.0,37.0,86.0,116.0,69.0,,205.0,Third Pair,23,365.33333333333,0,3,31,1984-03-29,CAN,CAN,76,227,2004,6,10,173,8471385.0,https://assets.nhle.com/mugs/nhl/20152016/WPG/8471385.png,https://assets.nhle.com/logos/nhl/svg/WPG_light.svg
2015-2016,Alec Martinez,LAK,D,49.0,17.0,12.0,117.0,40.0,73.0,53.0,24.0,109.0,36.0,63.0,65.0,,37.0,Second Pair,78,1649.75,10,13,28,1987-07-26,USA,USA,73,210,2007,4,4,95,8474166.0,https://assets.nhle.com/mugs/nhl/20152016/LAK/8474166.png,https://assets.nhle.com/logos/nhl/svg/LAK_light.svg
2015-2016,Alex Biega,VAN,D,159.0,229.0,,,191.0,230.0,123.0,219.0,146.0,189.0,98.0,24.0,,216.0,Third Pair,51,854.93333333333,0,3,27,1988-04-04,CAN,CAN,70,195,2006,5,24,147,8473415.0,https://assets.nhle.com/mugs/nhl/20152016/VAN/8473415.png,https://assets.nhle.com/logos/nhl/svg/VAN_light.svg
2015-2016,Alex Goligoski,DAL,D,15.0,191.0,56.0,36.0,2.0,185.0,121.0,117.0,152.0,43.0,46.0,152.0,,41.0,First Pair,82,1954.1333333333,5,14,30,1985-07-30,USA,USA,71,173,2004,2,31,61,8471274.0,https://assets.nhle.com/mugs/nhl/20152016/DAL/8471274.png,https://assets.nhle.com/logos/nhl/svg/DAL_light.svg
2015-2016,Alex Petrovic,FLA,D,181.0,132.0,,149.0,186.0,109.0,189.0,218.0,85.0,161.0,171.0,19.0,,207.0,Third Pair,66,1119.0666666667,2,9,23,1992-03-03,CAN,CAN,76,220,2010,2,6,36,,,https://assets.nhle.com/logos/nhl/svg/FLA_light.svg
2015-2016,Alex Pietrangelo,STL,D,14.0,97.0,63.0,49.0,39.0,130.0,39.0,55.0,116.0,20.0,10.0,214.0,,14.0,First Pair,73,1920.25,7,19,25,1990-01-18,CAN,CAN,75,215,2008,1,4,4,8474565.0,https://assets.nhle.com/mugs/nhl/20152016/STL/8474565.png,https://assets.nhle.com/logos/nhl/svg/STL_light.svg
2015-2016,Alexander Edler,VAN,D,105.0,82.0,44.0,45.0,161.0,120.0,28.0,49.0,211.0,146.0,202.0,111.0,,25.0,First Pair,52,1271.5333333333,6,3,29,1986-04-21,SWE,SWE,76,210,2004,3,26,91,8471303.0,https://assets.nhle.com/mugs/nhl/20152016/VAN/8471303.png,https://assets.nhle.com/logos/nhl/svg/VAN_light.svg
2015-2016,Alexei Emelin,MTL,D,196.0,152.0,,93.0,139.0,147.0,206.0,210.0,210.0,200.0,190.0,9.0,,144.0,Second Pair,72,1475.85,0,3,29,1986-04-25,RUS,RUS,74,218,2004,3,19,84,8471296.0,https://assets.nhle.com/mugs/nhl/20152016/MTL/8471296.png,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg
2015-2016,Alexey Marchenko,DET,D,207.0,139.0,,109.0,193.0,99.0,222.0,193.0,143.0,153.0,16.0,178.0,,194.0,Third Pair,66,1110.85,2,5,23,1992-01-02,RUS,RUS,75,210,2011,7,24,205,8476289.0,https://assets.nhle.com/mugs/nhl/20152016/DET/8476289.png,https://assets.nhle.com/logos/nhl/svg/DET_light.svg
2015-2016,Andrei Markov,MTL,D,37.0,128.0,41.0,70.0,55.0,159.0,128.0,87.0,120.0,12.0,69.0,206.0,,27.0,First Pair,82,1954.5333333333,5,23,36,1978-12-20,RUS,RUS,72,200,1998,6,17,162,8467496.0,https://assets.nhle.com/mugs/nhl/20152016/MTL/8467496.png,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg
2015-2016,Andrej Sekera,EDM,D,73.0,138.0,23.0,19.0,32.0,181.0,76.0,83.0,187.0,47.0,27.0,192.0,,48.0,Second Pair,81,1768.6333333333,6,13,29,1986-06-08,SVK,SVK,72,200,2004,3,6,71,8471284.0,https://assets.nhle.com/mugs/nhl/20152016/EDM/8471284.png,https://assets.nhle.com/logos/nhl/svg/EDM_light.svg
2015-2016,Andrej Sustr,TBL,D,179.0,116.0,,129.0,150.0,55.0,191.0,185.0,155.0,184.0,192.0,203.0,,195.0,Third Pair,77,1296.4,4,5,24,1990-11-29,CZE,CZE,79,217,-,-,-,-,8477205.0,https://assets.nhle.com/mugs/nhl/20152016/TBL/8477205.png,https://assets.nhle.com/logos/nhl/svg/TBL_light.svg
2015-2016,Andrew Bodnarchuk,COL,D,202.0,227.0,,,159.0,226.0,230.0,230.0,111.0,94.0,199.0,67.0,,230.0,Fringe,37,456.56666666667,0,3,27,1988-07-11,CAN,CAN,71,195,2006,5,5,128,8473550.0,https://assets.nhle.com/mugs/nhl/20152016/COL/8473550.png,https://assets.nhle.com/logos/nhl/svg/COL_light.svg
2015-2016,Andrew Bodnarchuk,CBJ,D,202.0,227.0,,,159.0,226.0,230.0,230.0,111.0,94.0,199.0,67.0,,230.0,Fringe,37,456.56666666667,0,3,27,1988-07-11,CAN,CAN,71,195,2006,5,5,128,8473550.0,https://assets.nhle.com/mugs/nhl/20152016/CBJ/8473550.png,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg
2015-2016,Andrew MacDonald,PHI,D,178.0,53.0,100.0,148.0,128.0,153.0,202.0,179.0,38.0,68.0,71.0,202.0,,79.0,Second Pair,28,563.33333333333,1,5,28,1986-09-07,CAN,CAN,73,204,2006,6,7,160,8473584.0,https://assets.nhle.com/mugs/nhl/20152016/PHI/8473584.png,https://assets.nhle.com/logos/nhl/svg/PHI_light.svg
2015-2016,Andy Greene,NJD,D,222.0,12.0,120.0,73.0,221.0,13.0,209.0,152.0,230.0,177.0,57.0,175.0,,99.0,First Pair,82,1882.4,4,5,32,1982-10-30,USA,USA,71,190,-,-,-,-,8472382.0,https://assets.nhle.com/mugs/nhl/20152016/NJD/8472382.png,https://assets.nhle.com/logos/nhl/svg/NJD_light.svg
2015-2016,Anthony Bitetto,NSH,D,208.0,22.0,,,216.0,149.0,167.0,130.0,16.0,192.0,168.0,7.0,,179.0,Fringe,28,339.75,1,1,25,1990-07-15,USA,USA,73,222,2010,6,18,168,8475868.0,https://assets.nhle.com/mugs/nhl/20152016/NSH/8475868.png,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg
2015-2016,Anton Stralman,TBL,D,30.0,43.0,88.0,67.0,14.0,5.0,88.0,46.0,73.0,59.0,58.0,128.0,,71.0,First Pair,73,1611.6666666667,9,10,29,1986-08-01,SWE,SWE,71,193,2005,7,22,216,8471873.0,https://assets.nhle.com/mugs/nhl/20152016/TBL/8471873.png,https://assets.nhle.com/logos/nhl/svg/TBL_light.svg
2015-2016,Barret Jackman,NSH,D,147.0,3.0,,3.0,133.0,4.0,143.0,191.0,101.0,186.0,184.0,68.0,,181.0,Third Pair,73,1011.5833333333,1,1,34,1981-03-05,CAN,CAN,72,203,1999,1,17,17,8467890.0,https://assets.nhle.com/mugs/nhl/20152016/NSH/8467890.png,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg
2015-2016,Ben Chiarot,WPG,D,96.0,62.0,,,82.0,76.0,129.0,165.0,168.0,157.0,119.0,35.0,,170.0,Third Pair,70,1012.05,1,2,24,1991-05-09,CAN,CAN,75,232,2009,4,29,120,8475279.0,https://assets.nhle.com/mugs/nhl/20152016/WPG/8475279.png,https://assets.nhle.com/logos/nhl/svg/WPG_light.svg
2015-2016,Ben Hutton,VAN,D,151.0,222.0,83.0,112.0,199.0,223.0,117.0,186.0,135.0,54.0,11.0,210.0,,95.0,Second Pair,75,1490.5,1,12,22,1993-04-20,CAN,CAN,75,201,2012,5,26,147,8477018.0,https://assets.nhle.com/mugs/nhl/20152016/VAN/8477018.png,https://assets.nhle.com/logos/nhl/svg/VAN_light.svg
2015-2016,Ben Lovejoy,PIT,D,77.0,37.0,,26.0,46.0,65.0,101.0,136.0,163.0,188.0,151.0,25.0,,102.0,Second Pair,66,1245.2166666667,4,1,31,1984-02-20,USA,USA,73,205,-,-,-,-,8473933.0,https://assets.nhle.com/mugs/nhl/20152016/PIT/8473933.png,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg
2015-2016,Brandon Davidson,EDM,D,143.0,34.0,,114.0,180.0,32.0,127.0,101.0,183.0,171.0,188.0,100.0,,103.0,Second Pair,51,979.01666666667,4,2,24,1991-08-21,CAN,CAN,74,204,2010,6,12,162,8475869.0,https://assets.nhle.com/mugs/nhl/20152016/EDM/8475869.png,https://assets.nhle.com/logos/nhl/svg/EDM_light.svg
2015-2016,Brandon Gormley,COL,D,205.0,130.0,,,202.0,112.0,142.0,163.0,8.0,220.0,154.0,125.0,,224.0,Fringe,26,316.56666666667,0,0,23,1992-02-18,CAN,CAN,74,188,2010,1,13,13,8475759.0,https://assets.nhle.com/mugs/nhl/20152016/COL/8475759.png,https://assets.nhle.com/logos/nhl/svg/COL_light.svg
2015-2016,Brandon Manning,PHI,D,104.0,200.0,,113.0,132.0,180.0,111.0,183.0,46.0,149.0,12.0,54.0,,203.0,Third Pair,56,925.55,1,2,25,1990-06-04,CAN,CAN,73,205,-,-,-,-,8475430.0,https://assets.nhle.com/mugs/nhl/20152016/PHI/8475430.png,https://assets.nhle.com/logos/nhl/svg/PHI_light.svg
2015-2016,Brayden McNabb,LAK,D,51.0,99.0,113.0,155.0,22.0,19.0,132.0,172.0,90.0,81.0,141.0,18.0,,168.0,Second Pair,81,1524.0166666667,2,6,24,1991-01-21,CAN,CAN,76,215,2009,3,5,66,8475188.0,https://assets.nhle.com/mugs/nhl/20152016/LAK/8475188.png,https://assets.nhle.com/logos/nhl/svg/LAK_light.svg
2015-2016,Braydon Coburn,TBL,D,149.0,71.0,,15.0,187.0,35.0,131.0,177.0,165.0,168.0,156.0,89.0,,156.0,Third Pair,80,1340.1833333333,1,4,30,1985-02-27,CAN,CAN,77,224,2003,1,8,8,8470601.0,https://assets.nhle.com/mugs/nhl/20152016/TBL/8470601.png,https://assets.nhle.com/logos/nhl/svg/TBL_light.svg
2015-2016,Brendan Smith,DET,D,82.0,96.0,,126.0,84.0,7.0,106.0,113.0,14.0,130.0,167.0,108.0,,174.0,Third Pair,63,1109.0,3,6,26,1989-02-08,CAN,CAN,74,200,2007,1,27,27,8474090.0,https://assets.nhle.com/mugs/nhl/20152016/DET/8474090.png,https://assets.nhle.com/logos/nhl/svg/DET_light.svg
2015-2016,Brenden Dillon,SJS,D,91.0,133.0,,59.0,50.0,142.0,115.0,155.0,103.0,172.0,172.0,38.0,,148.0,Third Pair,76,1268.2833333333,2,5,24,1990-11-13,CAN,CAN,76,224,-,-,-,-,8475455.0,https://assets.nhle.com/mugs/nhl/20152016/SJS/8475455.png,https://assets.nhle.com/logos/nhl/svg/SJS_light.svg
2015-2016,Brent Burns,SJS,D,1.0,144.0,2.0,134.0,3.0,107.0,1.0,1.0,72.0,2.0,117.0,106.0,,1.0,First Pair,82,2120.85,27,25,30,1985-03-09,CAN,CAN,77,230,2003,1,20,20,8470613.0,https://assets.nhle.com/mugs/nhl/20152016/SJS/8470613.png,https://assets.nhle.com/logos/nhl/svg/SJS_light.svg
2015-2016,Brent Seabrook,CHI,D,59.0,179.0,34.0,58.0,54.0,196.0,37.0,29.0,20.0,42.0,106.0,99.0,,21.0,First Pair,81,1847.8666666667,14,15,30,1985-04-20,CAN,CAN,75,220,2003,1,14,14,8470607.0,https://assets.nhle.com/mugs/nhl/20152016/CHI/8470607.png,https://assets.nhle.com/logos/nhl/svg/CHI_light.svg
2015-2016,Brett Pesce,CAR,D,177.0,98.0,78.0,104.0,137.0,118.0,135.0,121.0,141.0,148.0,61.0,220.0,,143.0,Second Pair,69,1294.7666666667,4,4,20,1994-11-15,USA,USA,75,206,2013,3,5,66,8477488.0,https://assets.nhle.com/mugs/nhl/20152016/CAR/8477488.png,https://assets.nhle.com/logos/nhl/svg/CAR_light.svg
2015-2016,Brian Campbell,FLA,D,164.0,58.0,61.0,40.0,91.0,15.0,162.0,123.0,60.0,73.0,47.0,225.0,,92.0,First Pair,82,1826.7833333333,6,12,36,1979-05-23,CAN,CAN,70,192,1997,6,22,156,8466285.0,https://assets.nhle.com/mugs/nhl/20152016/FLA/8466285.png,https://assets.nhle.com/logos/nhl/svg/FLA_light.svg
2015-2016,Brian Dumoulin,PIT,D,63.0,81.0,,111.0,34.0,26.0,130.0,205.0,166.0,107.0,30.0,158.0,,189.0,Second Pair,79,1491.9666666667,0,8,23,1991-09-06,USA,USA,76,207,2009,2,21,51,8475208.0,https://assets.nhle.com/mugs/nhl/20152016/PIT/8475208.png,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg
2015-2016,Brian Strait,NYI,D,165.0,205.0,,96.0,65.0,228.0,163.0,158.0,123.0,218.0,158.0,30.0,,175.0,Third Pair,52,802.58333333333,1,1,27,1988-01-04,USA,USA,73,188,2006,3,2,65,8473565.0,https://assets.nhle.com/mugs/nhl/20152016/NYI/8473565.png,https://assets.nhle.com/logos/nhl/svg/NYI_light.svg
2015-2016,Brooks Orpik,WSH,D,141.0,18.0,,79.0,16.0,122.0,219.0,202.0,130.0,182.0,200.0,10.0,,89.0,Second Pair,41,812.23333333333,3,2,34,1980-09-26,USA,USA,75,217,2000,1,18,18,8468498.0,https://assets.nhle.com/mugs/nhl/20152016/WSH/8468498.png,https://assets.nhle.com/logos/nhl/svg/WSH_light.svg
2015-2016,Calvin de Haan,NYI,D,27.0,54.0,118.0,16.0,7.0,152.0,103.0,174.0,105.0,118.0,54.0,59.0,,65.0,Second Pair,72,1485.5666666667,2,7,24,1991-05-09,CAN,CAN,73,195,2009,1,12,12,8475177.0,https://assets.nhle.com/mugs/nhl/20152016/NYI/8475177.png,https://assets.nhle.com/logos/nhl/svg/NYI_light.svg
2015-2016,Cam Fowler,ANA,D,139.0,159.0,29.0,65.0,67.0,170.0,139.0,80.0,179.0,55.0,78.0,207.0,,60.0,First Pair,69,1571.8666666667,5,11,23,1991-12-05,CAN,USA,74,215,2010,1,12,12,8475764.0,https://assets.nhle.com/mugs/nhl/20152016/ANA/8475764.png,https://assets.nhle.com/logos/nhl/svg/ANA_light.svg
