Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,zon_rank,plm_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Player ID,Headshot URL,Team URL
2015-2016,Carl Gunnarsson,STL,D,203.0,24.0,,6.0,134.0,79.0,212.0,176.0,84.0,204.0,45.0,135.0,,150.0,Third Pair,72,1251.3333333333,3,2,28,1986-11-09,SWE,SWE,74,198,2007,7,13,194,8474125.0,https://assets.nhle.com/mugs/nhl/20152016/STL/8474125.png,https://assets.nhle.com/logos/nhl/svg/STL_light.svg
2015-2016,Carlo Colaiacovo,BUF,D,156.0,45.0,,,167.0,45.0,134.0,114.0,41.0,100.0,150.0,94.0,,188.0,Third Pair,36,521.01666666667,1,2,32,1983-01-27,CAN,CAN,73,202,2001,1,17,17,8469470.0,https://assets.nhle.com/mugs/nhl/20152016/BUF/8469470.png,https://assets.nhle.com/logos/nhl/svg/BUF_light.svg
2015-2016,Chris Bigras,COL,D,228.0,230.0,,,227.0,225.0,180.0,119.0,13.0,225.0,229.0,171.0,,229.0,Third Pair,31,413.6,1,0,20,1995-02-22,CAN,CAN,73,191,2013,2,2,32,8477453.0,https://assets.nhle.com/mugs/nhl/20152016/COL/8477453.png,https://assets.nhle.com/logos/nhl/svg/COL_light.svg
2015-2016,Chris Tanev,VAN,D,217.0,5.0,109.0,27.0,157.0,54.0,224.0,171.0,223.0,173.0,6.0,226.0,,83.0,Second Pair,69,1501.0,4,6,25,1989-12-20,CAN,CAN,74,193,-,-,-,-,8475690.0,https://assets.nhle.com/mugs/nhl/20152016/VAN/8475690.png,https://assets.nhle.com/logos/nhl/svg/VAN_light.svg
2015-2016,Chris Wideman,OTT,D,62.0,198.0,,,118.0,206.0,40.0,30.0,80.0,71.0,225.0,117.0,,146.0,Third Pair,64,892.81666666667,6,4,25,1990-01-07,USA,USA,70,181,2009,4,9,100,8475227.0,https://assets.nhle.com/mugs/nhl/20152016/OTT/8475227.png,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg
2015-2016,Christian Ehrhoff,CHI,D,72.0,151.0,22.0,160.0,145.0,92.0,18.0,77.0,45.0,67.0,114.0,133.0,,87.0,Third Pair,48,743.21666666667,2,5,33,1982-07-06,DEU,DEU,74,201,2001,4,10,106,8469555.0,https://assets.nhle.com/mugs/nhl/20152016/CHI/8469555.png,https://assets.nhle.com/logos/nhl/svg/CHI_light.svg
2015-2016,Christian Ehrhoff,LAK,D,72.0,151.0,22.0,160.0,145.0,92.0,18.0,77.0,45.0,67.0,114.0,133.0,,87.0,Third Pair,48,743.21666666667,2,5,33,1982-07-06,DEU,DEU,74,201,2001,4,10,106,8469555.0,https://assets.nhle.com/mugs/nhl/20152016/LAK/8469555.png,https://assets.nhle.com/logos/nhl/svg/LAK_light.svg
2015-2016,Christian Folin,MIN,D,182.0,92.0,,,222.0,94.0,185.0,208.0,107.0,77.0,65.0,74.0,,201.0,Third Pair,26,379.08333333333,0,2,24,1991-02-09,SWE,SWE,75,204,-,-,-,-,8477850.0,https://assets.nhle.com/mugs/nhl/20152016/MIN/8477850.png,https://assets.nhle.com/logos/nhl/svg/MIN_light.svg
2015-2016,Clayton Stoner,ANA,D,176.0,56.0,,5.0,117.0,21.0,187.0,207.0,88.0,190.0,212.0,22.0,,220.0,Third Pair,50,768.01666666667,1,1,30,1985-02-19,CAN,CAN,76,216,2004,3,14,79,8470886.0,https://assets.nhle.com/mugs/nhl/20152016/ANA/8470886.png,https://assets.nhle.com/logos/nhl/svg/ANA_light.svg
2015-2016,Cody Ceci,OTT,D,60.0,150.0,98.0,76.0,149.0,182.0,61.0,65.0,144.0,84.0,51.0,149.0,,75.0,Second Pair,75,1447.5166666667,10,8,21,1993-12-21,CAN,CAN,74,210,2012,1,15,15,8476879.0,https://assets.nhle.com/mugs/nhl/20152016/OTT/8476879.png,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg
2015-2016,Cody Franson,BUF,D,130.0,110.0,15.0,156.0,182.0,103.0,51.0,74.0,169.0,38.0,183.0,62.0,,72.0,Third Pair,59,993.4,4,6,28,1987-08-08,CAN,CAN,77,224,2005,3,18,79,8471742.0,https://assets.nhle.com/mugs/nhl/20152016/BUF/8471742.png,https://assets.nhle.com/logos/nhl/svg/BUF_light.svg
2015-2016,Cody Goloubef,CBJ,D,113.0,143.0,,,89.0,123.0,172.0,214.0,207.0,115.0,216.0,119.0,,204.0,Third Pair,43,650.45,1,1,25,1989-11-30,CAN,CAN,73,190,2008,2,7,37,8474597.0,https://assets.nhle.com/mugs/nhl/20152016/CBJ/8474597.png,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg
2015-2016,Colin Miller,BOS,D,86.0,124.0,,,153.0,57.0,47.0,68.0,2.0,39.0,201.0,109.0,,109.0,Third Pair,42,663.38333333333,3,6,22,1992-10-29,CAN,CAN,73,200,2012,5,30,151,8476525.0,https://assets.nhle.com/mugs/nhl/20152016/BOS/8476525.png,https://assets.nhle.com/logos/nhl/svg/BOS_light.svg
2015-2016,Colton Parayko,STL,D,3.0,9.0,81.0,106.0,21.0,39.0,22.0,32.0,114.0,22.0,40.0,115.0,,47.0,Second Pair,79,1531.5666666667,9,14,22,1993-05-12,CAN,CAN,78,228,2012,3,25,86,8476892.0,https://assets.nhle.com/mugs/nhl/20152016/STL/8476892.png,https://assets.nhle.com/logos/nhl/svg/STL_light.svg
2015-2016,Connor Murphy,ARI,D,158.0,88.0,107.0,124.0,172.0,164.0,148.0,120.0,140.0,191.0,64.0,45.0,,117.0,Second Pair,78,1599.75,6,4,22,1993-03-26,USA,USA,76,212,2011,1,20,20,8476473.0,https://assets.nhle.com/mugs/nhl/20152016/ARI/8476473.png,https://assets.nhle.com/logos/nhl/svg/ARI_light.svg
2015-2016,Dalton Prout,CBJ,D,132.0,86.0,,85.0,135.0,78.0,147.0,188.0,160.0,170.0,226.0,20.0,,186.0,Third Pair,64,1035.05,3,4,25,1990-03-13,CAN,CAN,75,215,2010,6,4,154,8474774.0,https://assets.nhle.com/mugs/nhl/20152016/CBJ/8474774.png,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg
2015-2016,Damon Severson,NJD,D,172.0,173.0,77.0,,206.0,56.0,83.0,105.0,115.0,114.0,137.0,189.0,,130.0,Second Pair,72,1307.8666666667,1,11,21,1994-08-07,CAN,CAN,74,205,2012,2,30,60,8476923.0,https://assets.nhle.com/mugs/nhl/20152016/NJD/8476923.png,https://assets.nhle.com/logos/nhl/svg/NJD_light.svg
2015-2016,Dan Boyle,NYR,D,111.0,134.0,39.0,,27.0,128.0,77.0,13.0,15.0,121.0,94.0,172.0,,70.0,Second Pair,74,1392.2666666667,10,7,39,1976-07-12,CAN,CAN,71,194,-,-,-,-,8467096.0,https://assets.nhle.com/mugs/nhl/20152016/NYR/8467096.png,https://assets.nhle.com/logos/nhl/svg/NYR_light.svg
2015-2016,Dan Girardi,NYR,D,133.0,175.0,101.0,31.0,99.0,229.0,171.0,146.0,215.0,142.0,41.0,40.0,,67.0,Second Pair,74,1503.7333333333,2,6,31,1984-04-29,CAN,CAN,73,212,-,-,-,-,8471958.0,https://assets.nhle.com/mugs/nhl/20152016/NYR/8471958.png,https://assets.nhle.com/logos/nhl/svg/NYR_light.svg
2015-2016,Dan Hamhuis,VAN,D,83.0,183.0,72.0,34.0,96.0,146.0,137.0,145.0,173.0,82.0,66.0,134.0,,98.0,Second Pair,58,1242.0833333333,3,6,32,1982-12-13,CAN,CAN,73,204,2001,1,12,12,8469465.0,https://assets.nhle.com/mugs/nhl/20152016/VAN/8469465.png,https://assets.nhle.com/logos/nhl/svg/VAN_light.svg
2015-2016,Danny DeKeyser,DET,D,169.0,84.0,95.0,14.0,148.0,30.0,188.0,133.0,117.0,120.0,123.0,156.0,,110.0,Second Pair,78,1700.75,8,7,25,1990-03-07,USA,USA,75,183,-,-,-,-,8477215.0,https://assets.nhle.com/mugs/nhl/20152016/DET/8477215.png,https://assets.nhle.com/logos/nhl/svg/DET_light.svg
2015-2016,Darnell Nurse,EDM,D,148.0,217.0,,116.0,204.0,212.0,63.0,128.0,205.0,203.0,196.0,42.0,,118.0,Second Pair,69,1395.9166666667,3,3,20,1995-02-04,CAN,CAN,76,221,2013,1,7,7,8477498.0,https://assets.nhle.com/mugs/nhl/20152016/EDM/8477498.png,https://assets.nhle.com/logos/nhl/svg/EDM_light.svg
2015-2016,David Savard,CBJ,D,103.0,127.0,85.0,44.0,127.0,136.0,108.0,92.0,185.0,85.0,198.0,64.0,,63.0,First Pair,65,1506.2166666667,4,10,24,1990-10-22,CAN,CAN,73,235,2009,4,3,94,8475233.0,https://assets.nhle.com/mugs/nhl/20152016/CBJ/8475233.png,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg
2015-2016,David Schlemko,NJD,D,167.0,23.0,89.0,137.0,160.0,42.0,90.0,108.0,31.0,124.0,110.0,143.0,,105.0,Second Pair,67,1249.4833333333,6,10,28,1987-05-07,CAN,CAN,73,191,-,-,-,-,8473673.0,https://assets.nhle.com/mugs/nhl/20152016/NJD/8473673.png,https://assets.nhle.com/logos/nhl/svg/NJD_light.svg
2015-2016,David Warsofsky,NJD,D,120.0,189.0,,,138.0,148.0,21.0,97.0,11.0,228.0,1.0,228.0,,151.0,Third Pair,22,376.71666666667,1,0,25,1990-05-30,USA,USA,69,170,2008,4,4,95,8474660.0,https://assets.nhle.com/mugs/nhl/20152016/NJD/8474660.png,https://assets.nhle.com/logos/nhl/svg/NJD_light.svg
2015-2016,David Warsofsky,PIT,D,120.0,189.0,,,138.0,148.0,21.0,97.0,11.0,228.0,1.0,228.0,,151.0,Third Pair,22,376.71666666667,1,0,25,1990-05-30,USA,USA,69,170,2008,4,4,95,8474660.0,https://assets.nhle.com/mugs/nhl/20152016/PIT/8474660.png,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg
2015-2016,Dennis Seidenberg,BOS,D,171.0,91.0,,2.0,198.0,134.0,158.0,203.0,138.0,156.0,132.0,46.0,,96.0,Second Pair,61,1183.25,1,6,34,1981-07-18,DEU,DEU,72,199,2001,6,7,172,8469619.0,https://assets.nhle.com/mugs/nhl/20152016/BOS/8469619.png,https://assets.nhle.com/logos/nhl/svg/BOS_light.svg
2015-2016,Dennis Wideman,CGY,D,129.0,192.0,38.0,135.0,163.0,222.0,59.0,52.0,22.0,48.0,23.0,167.0,,32.0,Second Pair,51,1051.3666666667,2,8,32,1983-03-20,CAN,CAN,72,202,2002,8,12,241,8469770.0,https://assets.nhle.com/mugs/nhl/20152016/CGY/8469770.png,https://assets.nhle.com/logos/nhl/svg/CGY_light.svg
