Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,plm_rank,zon_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,Total Assists,Total Points,ixG,GF%,xGF%,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Overall Draft Position,Player ID
2019-2020,Adam Erne,DET,F,412.0,253.0,267.0,,412.0,156.0,310.0,410.0,360.0,352.0,367.0,30.0,,403.0,Fourth Line,56,661.68333333333,2,3,5,5.29,23.08,42.68,24,1995-04-20,USA,USA,73,212,2013,2,33,8477454.0
2019-2020,Adam Gaudette,VAN,F,295.0,336.0,191.0,,326.0,391.0,340.0,235.0,240.0,13.0,258.0,257.0,177.0,261.0,Fourth Line,59,730.63333333333,12,21,33,9.58,46.55,45.92,22,1996-10-03,USA,USA,73,194,2015,5,149,8478874.0
2019-2020,Adam Henrique,ANA,F,161.0,235.0,153.0,,222.0,303.0,208.0,61.0,222.0,245.0,254.0,244.0,42.0,125.0,Second Line,71,1197.5666666667,26,17,43,20.98,51.72,48.79,29,1990-02-06,CAN,CAN,72,195,2008,3,82,8474641.0
2019-2020,Adam Lowry,WPG,F,390.0,68.0,,74.0,372.0,126.0,303.0,377.0,385.0,399.0,252.0,36.0,6.0,322.0,Third Line,49,733.11666666667,4,6,10,8.14,45.45,41.06,26,1993-03-29,USA,USA,78,208,2011,3,67,8476392.0
2019-2020,Adrian Kempe,LAK,F,300.0,186.0,138.0,72.0,181.0,69.0,257.0,363.0,316.0,162.0,356.0,206.0,163.0,213.0,Second Line,69,1104.8333333333,11,21,32,13.85,39.58,52.58,22,1996-09-13,SWE,SWE,74,200,2014,1,29,8477960.0
2019-2020,Aleksander Barkov,FLA,F,84.0,245.0,73.0,149.0,142.0,312.0,183.0,121.0,45.0,211.0,29.0,413.0,29.0,26.0,First Line,66,1320.9833333333,20,42,62,19.32,53.93,49.01,23,1995-09-02,FIN,FIN,75,215,2013,1,2,8477493.0
2019-2020,Alex Chiasson,EDM,F,355.0,267.0,13.0,,311.0,198.0,357.0,305.0,379.0,216.0,403.0,199.0,,238.0,Fourth Line,65,853.03333333333,11,13,24,13.21,52.50,49.35,28,1990-10-01,CAN,CAN,76,208,2009,2,38,8475163.0
2019-2020,Alex DeBrincat,CHI,F,89.0,387.0,87.0,,210.0,385.0,40.0,129.0,113.0,81.0,131.0,317.0,,69.0,Second Line,70,1224.5666666667,18,27,45,20.41,49.30,47.57,21,1997-12-18,USA,USA,68,178,2016,2,39,8479337.0
2019-2020,Alex Galchenyuk,MIN,F,235.0,351.0,79.0,,289.0,283.0,267.0,267.0,107.0,47.0,275.0,225.0,,191.0,Fourth Line,59,725.75,8,16,24,8.7,50.00,49.16,25,1994-02-12,USA,USA,73,194,2012,1,3,8476851.0
2019-2020,Alex Galchenyuk,PIT,F,235.0,351.0,79.0,,289.0,283.0,267.0,267.0,107.0,47.0,275.0,225.0,,191.0,Fourth Line,59,725.75,8,16,24,8.7,50.00,49.16,25,1994-02-12,USA,USA,73,194,2012,1,3,8476851.0
