Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,plm_rank,zon_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,Total Assists,Total Points,ixG,GF%,xGF%,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Overall Draft Position,Player ID
2019-2020,Alex Iafallo,LAK,F,288.0,133.0,116.0,117.0,304.0,180.0,320.0,339.0,165.0,308.0,259.0,282.0,,162.0,First Line,70,1324.9333333333,17,26,43,15.21,52.56,48.46,25,1993-12-21,USA,USA,72,200,-,-,-,8480113.0
2019-2020,Alex Killorn,TBL,F,123.0,176.0,146.0,113.0,152.0,66.0,198.0,64.0,161.0,281.0,350.0,243.0,,145.0,Second Line,68,1218.9166666667,26,23,49,15.41,67.19,50.79,29,1989-09-14,CAN,CAN,73,194,2007,3,77,8473986.0
2019-2020,Alex Nylander,CHI,F,151.0,399.0,265.0,,136.0,386.0,115.0,120.0,191.0,290.0,37.0,352.0,,283.0,Fourth Line,65,788.78333333333,10,16,26,7.62,49.21,47.05,21,1998-03-02,CAN,CAN,73,192,2016,1,8,8479423.0
2019-2020,Alex Ovechkin,WSH,F,11.0,415.0,78.0,,126.0,388.0,5.0,3.0,170.0,109.0,263.0,75.0,,5.0,First Line,68,1404.1166666667,48,19,67,31.33,47.52,50.19,33,1985-09-17,RUS,RUS,75,238,2004,1,1,8471214.0
2019-2020,Alex Tuch,VGK,F,117.0,77.0,75.0,,202.0,100.0,37.0,187.0,158.0,150.0,14.0,169.0,,148.0,Third Line,42,614.06666666667,8,9,17,9.51,37.50,49.64,23,1996-05-10,USA,USA,76,219,2014,1,18,8477949.0
2019-2020,Alexander Kerfoot,TOR,F,228.0,173.0,234.0,,123.0,212.0,368.0,250.0,127.0,168.0,354.0,319.0,107.0,219.0,Third Line,65,960.0,9,19,28,11.12,48.86,51.27,25,1994-08-11,CAN,CAN,71,186,2012,5,150,8477021.0
2019-2020,Alexander Radulov,DAL,F,134.0,115.0,46.0,,43.0,150.0,191.0,199.0,192.0,17.0,419.0,261.0,,58.0,Second Line,60,1004.5166666667,15,19,34,15.58,59.57,55.54,33,1986-07-05,RUS,RUS,73,200,2004,1,15,8471228.0
2019-2020,Alexander Steen,STL,F,284.0,29.0,,83.0,269.0,43.0,292.0,288.0,273.0,332.0,73.0,322.0,,224.0,Third Line,55,771.86666666667,7,10,17,7.47,56.00,51.23,35,1984-03-01,CAN,SWE,72,211,2002,1,24,8470257.0
2019-2020,Alexander Wennberg,CBJ,F,388.0,136.0,249.0,43.0,205.0,123.0,425.0,424.0,282.0,252.0,179.0,392.0,124.0,303.0,Second Line,57,950.91666666667,5,17,22,6.04,51.11,51.48,24,1994-09-22,SWE,SWE,74,190,2013,1,14,8477505.0
2019-2020,Alexandre Texier,CBJ,F,261.0,114.0,,,322.0,44.0,238.0,214.0,235.0,58.0,100.0,315.0,,307.0,Fourth Line,36,458.93333333333,6,7,13,3.85,54.84,52.15,19,1999-09-13,FRA,FRA,73,186,2017,2,45,8480074.0
2019-2020,Anders Bjork,BOS,F,317.0,30.0,,,296.0,16.0,376.0,263.0,247.0,73.0,181.0,264.0,,327.0,Fourth Line,58,749.98333333333,9,10,19,6.37,57.45,52.31,23,1996-08-05,USA,USA,72,190,2014,5,146,8478075.0
2019-2020,Anders Lee,NYI,F,78.0,346.0,86.0,,42.0,371.0,88.0,63.0,251.0,181.0,357.0,172.0,,77.0,First Line,68,1244.15,20,23,43,25.07,53.33,51.78,29,1990-07-03,USA,USA,75,235,2009,6,152,8475314.0
2019-2020,Andre Burakovsky,COL,F,110.0,282.0,173.0,,128.0,326.0,247.0,35.0,168.0,194.0,155.0,340.0,,159.0,Third Line,58,881.63333333333,20,25,45,9.23,60.29,48.41,24,1995-02-09,AUT,SWE,75,209,2013,1,23,8477444.0
2019-2020,Andreas Athanasiou,DET,F,226.0,412.0,126.0,,361.0,402.0,62.0,117.0,308.0,184.0,118.0,339.0,,131.0,Second Line,55,871.45,11,15,26,12.52,26.47,44.77,25,1994-08-06,CAN,CAN,74,190,2012,4,110,8476960.0
2019-2020,Andreas Athanasiou,EDM,F,226.0,412.0,126.0,,361.0,402.0,62.0,117.0,308.0,184.0,118.0,339.0,,131.0,Second Line,55,871.45,11,15,26,12.52,26.47,44.77,25,1994-08-06,CAN,CAN,74,190,2012,4,110,8476960.0
2019-2020,Andreas Johnsson,TOR,F,147.0,280.0,95.0,,26.0,286.0,236.0,287.0,135.0,14.0,167.0,247.0,,177.0,Second Line,43,677.45,8,13,21,8.89,52.08,51.42,24,1994-11-21,SWE,SWE,70,195,2013,7,202,8477341.0
2019-2020,Andrei Svechnikov,CAR,F,40.0,374.0,21.0,,3.0,210.0,58.0,70.0,201.0,166.0,405.0,119.0,,72.0,Second Line,68,1138.1833333333,24,37,61,22.0,56.25,56.88,19,2000-03-26,RUS,RUS,74,195,2018,1,2,8480830.0
2019-2020,Andrew Agozzino,PIT,F,399.0,1.0,,,375.0,1.0,430.0,403.0,111.0,75.0,111.0,69.0,100.0,426.0,Fringe,22,161.81666666667,1,2,3,1.22,63.64,51.25,28,1991-01-03,CAN,CAN,70,187,-,-,-,8475461.0
2019-2020,Andrew Agozzino,ANA,F,399.0,1.0,,,375.0,1.0,430.0,403.0,111.0,75.0,111.0,69.0,100.0,426.0,Fringe,22,161.81666666667,1,2,3,1.22,63.64,51.25,28,1991-01-03,CAN,CAN,70,187,-,-,-,8475461.0
2019-2020,Andrew Cogliano,DAL,F,324.0,169.0,,95.0,306.0,118.0,319.0,400.0,166.0,386.0,321.0,161.0,,370.0,Fourth Line,68,848.1,3,11,14,6.95,50.00,49.77,32,1987-06-14,CAN,CAN,70,179,2005,1,25,8471699.0
2019-2020,Andrew Copp,WPG,F,275.0,185.0,264.0,75.0,268.0,130.0,241.0,227.0,296.0,330.0,85.0,224.0,39.0,243.0,Second Line,63,1114.8666666667,10,16,26,11.04,44.26,46.23,25,1994-07-08,USA,USA,73,199,2013,4,104,8477429.0
2019-2020,Andrew Mangiapane,CGY,F,72.0,82.0,,,61.0,88.0,163.0,30.0,182.0,317.0,62.0,191.0,,232.0,Third Line,68,931.66666666667,17,15,32,15.79,52.94,54.27,23,1996-04-04,CAN,CAN,70,184,2015,6,166,8478233.0
2019-2020,Andrew Shaw,CHI,F,105.0,378.0,215.0,,36.0,387.0,178.0,202.0,114.0,155.0,412.0,44.0,115.0,182.0,Third Line,26,375.9,3,7,10,5.14,37.50,52.04,28,1991-07-20,CAN,CAN,71,182,2011,5,139,8476381.0
2019-2020,Anthony Beauvillier,NYI,F,212.0,371.0,163.0,,194.0,373.0,211.0,109.0,283.0,222.0,60.0,203.0,,169.0,Second Line,68,1173.6833333333,18,21,39,15.32,43.82,48.89,22,1997-06-08,CAN,CAN,71,180,2015,1,28,8478463.0
2019-2020,Anthony Cirelli,TBL,F,133.0,16.0,162.0,135.0,118.0,27.0,294.0,175.0,66.0,366.0,38.0,177.0,112.0,160.0,First Line,68,1255.35,16,28,44,14.46,67.61,55.24,22,1997-07-15,CAN,CAN,72,189,2015,3,72,8478519.0
2019-2020,Anthony Duclair,OTT,F,74.0,367.0,161.0,147.0,137.0,395.0,77.0,57.0,93.0,80.0,123.0,291.0,,122.0,Second Line,66,1073.2166666667,23,17,40,19.5,50.72,50.15,24,1995-08-26,CAN,CAN,71,197,2013,3,80,8477407.0
2019-2020,Anthony Mantha,DET,F,54.0,254.0,104.0,,97.0,159.0,73.0,125.0,34.0,89.0,289.0,241.0,,43.0,First Line,43,812.41666666667,16,22,38,13.08,53.13,54.37,24,1994-09-16,CAN,CAN,77,234,2013,1,20,8477511.0
2019-2020,Antoine Roussel,VAN,F,224.0,323.0,248.0,,242.0,354.0,284.0,169.0,141.0,139.0,428.0,147.0,,294.0,Fourth Line,41,485.21666666667,7,6,13,7.04,51.16,46.56,29,1989-11-21,FRA,FRA,71,200,-,-,-,8474849.0
2019-2020,Anze Kopitar,LAK,F,273.0,187.0,89.0,160.0,238.0,223.0,385.0,192.0,216.0,351.0,101.0,343.0,19.0,57.0,First Line,70,1472.8,21,41,62,15.68,55.56,50.26,32,1987-08-24,SVN,SVN,75,225,2005,1,11,8471685.0
2019-2020,Artem Anisimov,OTT,F,200.0,313.0,97.0,,244.0,408.0,200.0,102.0,237.0,133.0,266.0,421.0,113.0,188.0,Third Line,49,678.58333333333,15,5,20,11.41,35.42,46.0,31,1988-05-24,RUS,RUS,76,199,2006,2,54,8473573.0
2019-2020,Artemi Panarin,NYR,F,15.0,396.0,65.0,,20.0,263.0,146.0,51.0,4.0,45.0,86.0,420.0,,15.0,First Line,69,1421.6666666667,32,63,95,18.21,66.37,52.81,27,1991-10-30,RUS,RUS,72,173,-,-,-,8478550.0
2019-2020,Artturi Lehkonen,MTL,F,66.0,112.0,,134.0,89.0,70.0,61.0,127.0,78.0,209.0,234.0,144.0,,201.0,Third Line,70,1079.95,13,14,27,13.81,52.94,53.33,24,1995-07-04,FIN,FIN,71,179,2013,2,55,8477476.0
2019-2020,Austin Wagner,LAK,F,170.0,202.0,,,246.0,73.0,38.0,140.0,312.0,188.0,245.0,39.0,,341.0,Fourth Line,65,763.28333333333,6,5,11,13.67,43.59,54.91,22,1997-06-23,CAN,CAN,73,195,2015,4,99,8478455.0
2019-2020,Austin Watson,NSH,F,401.0,139.0,,53.0,418.0,301.0,290.0,258.0,419.0,430.0,409.0,31.0,,274.0,Fourth Line,53,615.86666666667,6,8,14,5.39,36.00,40.0,27,1992-01-13,USA,USA,76,204,2010,1,18,8475766.0
2019-2020,Auston Matthews,TOR,F,3.0,142.0,4.0,,10.0,340.0,15.0,4.0,72.0,31.0,70.0,386.0,33.0,4.0,First Line,70,1467.8666666667,47,33,80,27.75,58.88,55.15,21,1997-09-17,USA,USA,75,208,2016,1,1,8479318.0
2019-2020,Barclay Goodrow,SJS,F,338.0,11.0,,93.0,287.0,74.0,317.0,285.0,371.0,285.0,376.0,63.0,52.0,270.0,Second Line,70,1114.8166666667,8,18,26,12.34,43.48,48.8,26,1993-02-26,CAN,CAN,74,204,-,-,-,8476624.0
2019-2020,Barclay Goodrow,TBL,F,338.0,11.0,,93.0,287.0,74.0,317.0,285.0,371.0,285.0,376.0,63.0,52.0,270.0,Second Line,70,1114.8166666667,8,18,26,12.34,43.48,48.8,26,1993-02-26,CAN,CAN,74,204,-,-,-,8476624.0
2019-2020,Blake Coleman,NJD,F,116.0,116.0,,39.0,309.0,249.0,10.0,44.0,368.0,393.0,392.0,43.0,,114.0,Second Line,66,1103.3833333333,21,11,32,19.26,46.91,49.95,27,1991-11-28,USA,USA,71,199,2011,3,75,8476399.0
2019-2020,Blake Coleman,TBL,F,116.0,116.0,,39.0,309.0,249.0,10.0,44.0,368.0,393.0,392.0,43.0,,114.0,Second Line,66,1103.3833333333,21,11,32,19.26,46.91,49.95,27,1991-11-28,USA,USA,71,199,2011,3,75,8476399.0
2019-2020,Blake Comeau,DAL,F,353.0,250.0,,141.0,332.0,148.0,352.0,323.0,340.0,412.0,381.0,73.0,,318.0,Third Line,55,821.7,8,8,16,7.05,37.50,48.32,33,1986-02-18,CAN,CAN,73,200,2004,2,47,8471260.0
2019-2020,Blake Lizotte,LAK,F,321.0,92.0,178.0,80.0,72.0,38.0,332.0,423.0,252.0,228.0,42.0,271.0,95.0,306.0,Third Line,65,907.4,6,17,23,9.47,42.86,55.02,21,1997-12-13,USA,USA,69,170,-,-,-,8481481.0
2019-2020,Blake Wheeler,WPG,F,125.0,247.0,18.0,,216.0,277.0,132.0,149.0,92.0,103.0,231.0,196.0,88.0,28.0,First Line,71,1371.6666666667,22,43,65,17.43,50.00,47.58,33,1986-08-31,USA,USA,77,220,2004,1,5,8471218.0
2019-2020,Bo Horvat,VAN,F,179.0,311.0,147.0,,131.0,399.0,196.0,306.0,110.0,376.0,187.0,305.0,7.0,50.0,First Line,69,1361.5,22,31,53,21.61,44.44,48.41,24,1995-04-05,CAN,CAN,72,215,2013,1,9,8477500.0
2019-2020,Bobby Ryan,OTT,F,149.0,201.0,193.0,,173.0,278.0,160.0,167.0,146.0,93.0,340.0,118.0,,192.0,Third Line,24,324.41666666667,5,3,8,5.14,64.71,49.83,32,1987-03-17,USA,USA,74,208,2005,1,2,8471676.0
2019-2020,Boone Jenner,CBJ,F,182.0,104.0,241.0,40.0,247.0,290.0,55.0,278.0,198.0,389.0,296.0,116.0,15.0,143.0,First Line,70,1268.15,11,13,24,16.56,41.79,49.97,26,1993-06-15,CAN,CAN,74,203,2011,2,37,8476432.0
2019-2020,Brad Marchand,BOS,F,12.0,337.0,37.0,49.0,28.0,82.0,117.0,10.0,12.0,29.0,72.0,294.0,,14.0,First Line,70,1361.65,28,59,87,21.42,64.89,56.52,31,1988-05-11,CAN,CAN,69,176,2006,3,71,8473419.0
2019-2020,Brad Richardson,ARI,F,282.0,175.0,,127.0,313.0,318.0,218.0,237.0,306.0,424.0,400.0,168.0,13.0,278.0,Third Line,59,805.11666666667,6,5,11,8.66,47.62,45.05,34,1985-02-04,CAN,CAN,72,190,2003,5,163,8470755.0
2019-2020,Brady Tkachuk,OTT,F,7.0,340.0,123.0,,49.0,367.0,3.0,20.0,39.0,172.0,44.0,27.0,101.0,54.0,First Line,71,1344.3333333333,21,23,44,32.06,47.42,54.46,19,1999-09-16,USA,USA,76,221,2018,1,4,8480801.0
2019-2020,Brandon Saad,CHI,F,52.0,403.0,256.0,96.0,55.0,410.0,57.0,24.0,219.0,217.0,151.0,356.0,,124.0,Second Line,58,971.35,21,12,33,18.41,53.03,49.36,26,1992-10-27,USA,USA,73,215,2011,2,43,8476438.0
2019-2020,Brandon Sutter,VAN,F,326.0,393.0,185.0,129.0,374.0,406.0,212.0,272.0,309.0,425.0,67.0,280.0,84.0,254.0,Third Line,44,653.38333333333,8,9,17,6.62,50.00,45.75,30,1989-02-14,USA,CAN,75,190,2007,1,11,8474091.0
2019-2020,Brandon Tanev,PIT,F,365.0,13.0,,22.0,384.0,10.0,280.0,335.0,367.0,390.0,15.0,14.0,,220.0,Third Line,68,1003.6833333333,11,14,25,9.33,44.00,49.03,27,1991-12-31,CAN,CAN,72,189,-,-,-,8479293.0
2019-2020,Brayden Point,TBL,F,29.0,129.0,92.0,,29.0,171.0,248.0,34.0,10.0,74.0,90.0,401.0,109.0,34.0,First Line,66,1247.5166666667,25,39,64,18.82,65.35,55.57,23,1996-03-13,CAN,CAN,71,180,2014,3,79,8478010.0
2019-2020,Brayden Schenn,STL,F,204.0,170.0,49.0,,161.0,95.0,331.0,182.0,131.0,118.0,368.0,145.0,118.0,88.0,First Line,71,1308.7,25,33,58,15.28,57.53,49.18,28,1991-08-22,CAN,CAN,73,199,2009,1,5,8475170.0
2019-2020,Brendan Gallagher,MTL,F,1.0,59.0,229.0,,5.0,119.0,1.0,2.0,28.0,348.0,219.0,211.0,,39.0,Second Line,59,997.71666666667,22,21,43,24.87,57.61,60.51,27,1992-05-06,CAN,CAN,69,186,2010,5,147,8475848.0
2019-2020,Brendan Leipsic,WSH,F,304.0,204.0,,,267.0,117.0,326.0,382.0,181.0,212.0,109.0,185.0,,377.0,Fourth Line,61,558.78333333333,3,8,11,5.27,53.85,54.78,25,1994-05-19,CAN,CAN,70,180,2012,3,89,8476894.0
2019-2020,Brendan Lemieux,NYR,F,290.0,331.0,166.0,,320.0,412.0,194.0,247.0,335.0,284.0,89.0,21.0,,277.0,Fourth Line,59,759.35,6,12,18,10.44,38.78,46.52,23,1996-03-15,USA,USA,73,215,2014,2,31,8477962.0
2019-2020,Brendan Perlini,CHI,F,383.0,411.0,246.0,,417.0,423.0,144.0,343.0,415.0,144.0,329.0,253.0,,375.0,Fourth Line,40,427.83333333333,1,3,4,5.13,19.23,34.22,23,1996-04-27,GBR,GBR,75,211,2014,1,12,8477943.0
2019-2020,Brendan Perlini,DET,F,383.0,411.0,246.0,,417.0,423.0,144.0,343.0,415.0,144.0,329.0,253.0,,375.0,Fourth Line,40,427.83333333333,1,3,4,5.13,19.23,34.22,23,1996-04-27,GBR,GBR,75,211,2014,1,12,8477943.0
2019-2020,Brett Connolly,FLA,F,174.0,239.0,230.0,,232.0,234.0,240.0,43.0,258.0,88.0,327.0,263.0,,199.0,Third Line,69,1000.1,19,14,33,9.76,51.28,47.85,27,1992-05-02,CAN,CAN,75,198,2010,1,6,8475792.0
2019-2020,Brett Howden,NYR,F,381.0,413.0,,116.0,383.0,431.0,411.0,309.0,328.0,291.0,347.0,193.0,125.0,313.0,Fourth Line,70,919.98333333333,9,10,19,7.84,38.10,39.36,21,1998-03-29,CAN,CAN,74,203,2016,1,27,8479353.0
2019-2020,Brett Ritchie,BOS,F,351.0,212.0,,,371.0,53.0,193.0,357.0,388.0,246.0,413.0,7.0,,397.0,Fourth Line,27,280.9,2,4,6,3.34,47.06,47.19,26,1993-07-01,CAN,CAN,76,215,2011,2,44,8476439.0
2019-2020,Brian Boyle,FLA,F,276.0,127.0,235.0,,377.0,353.0,148.0,156.0,313.0,367.0,364.0,72.0,55.0,221.0,Fourth Line,39,482.63333333333,6,9,15,5.73,43.90,43.03,34,1984-12-18,USA,USA,78,245,2003,1,26,8470619.0
2019-2020,Brock Boeser,VAN,F,120.0,281.0,105.0,,217.0,238.0,118.0,78.0,138.0,2.0,271.0,393.0,,49.0,First Line,57,1058.6,16,29,45,17.0,57.32,53.1,22,1997-02-25,USA,USA,73,208,2015,1,23,8478444.0
2019-2020,Brock McGinn,CAR,F,252.0,166.0,,106.0,158.0,175.0,188.0,334.0,266.0,141.0,104.0,128.0,,317.0,Fourth Line,68,897.73333333333,7,10,17,9.72,43.86,52.15,25,1994-02-02,CAN,CAN,72,187,2012,2,47,8476934.0
2019-2020,Brock Nelson,NYI,F,188.0,355.0,141.0,112.0,273.0,344.0,195.0,67.0,265.0,310.0,246.0,326.0,99.0,84.0,First Line,68,1282.4666666667,26,28,54,20.94,51.16,48.98,27,1991-10-15,USA,USA,76,210,2010,1,30,8475754.0
2019-2020,Bryan Rust,PIT,F,60.0,297.0,68.0,11.0,69.0,239.0,124.0,31.0,130.0,27.0,199.0,176.0,,51.0,First Line,55,1087.0833333333,27,29,56,19.18,59.34,55.62,27,1992-05-11,USA,USA,71,192,2010,3,80,8475810.0
2019-2020,Cal Clutterbuck,NYI,F,414.0,80.0,,139.0,385.0,83.0,396.0,407.0,378.0,392.0,147.0,15.0,,338.0,Fourth Line,37,496.71666666667,3,4,7,3.42,50.00,46.51,31,1987-11-18,CAN,CAN,72,212,2006,3,72,8473504.0
2019-2020,Calle Jarnkrok,NSH,F,257.0,141.0,148.0,146.0,272.0,120.0,168.0,228.0,295.0,130.0,154.0,336.0,,190.0,Second Line,64,1019.85,15,19,34,12.42,54.39,50.33,27,1991-09-25,SWE,SWE,72,192,2010,2,51,8475714.0
2019-2020,Cam Atkinson,CBJ,F,49.0,195.0,142.0,12.0,199.0,191.0,8.0,66.0,171.0,33.0,207.0,406.0,,47.0,Second Line,44,785.18333333333,12,14,26,12.65,55.88,52.76,30,1989-06-05,USA,USA,68,176,2008,6,157,8474715.0
2019-2020,Carl Hagelin,WSH,F,140.0,183.0,,57.0,188.0,75.0,83.0,290.0,101.0,175.0,345.0,278.0,,240.0,Third Line,58,830.51666666667,8,17,25,10.31,54.55,50.37,31,1988-08-23,SWE,SWE,72,183,2007,6,168,8474176.0
2019-2020,Carl Soderberg,ARI,F,215.0,210.0,211.0,30.0,274.0,311.0,137.0,184.0,225.0,368.0,232.0,200.0,132.0,146.0,Second Line,70,1112.75,17,18,35,15.42,55.36,47.61,33,1985-10-12,SWE,SWE,75,210,2004,2,49,8471262.0
2019-2020,Carter Rowney,ANA,F,361.0,339.0,,86.0,353.0,374.0,420.0,383.0,175.0,384.0,230.0,22.0,,367.0,Fourth Line,71,910.18333333333,8,11,19,7.82,48.08,41.75,30,1989-05-10,CAN,CAN,74,208,-,-,-,8477240.0
2019-2020,Carter Verhaeghe,TBL,F,132.0,188.0,,,23.0,193.0,189.0,45.0,376.0,251.0,115.0,258.0,,382.0,Fourth Line,52,486.78333333333,9,4,13,6.01,40.00,55.24,24,1995-08-14,CAN,CAN,74,180,2013,3,82,8477409.0
2019-2020,Casey Cizikas,NYI,F,332.0,20.0,,114.0,337.0,30.0,275.0,148.0,395.0,404.0,379.0,42.0,25.0,228.0,Third Line,48,686.1,10,4,14,8.07,60.71,53.99,28,1991-02-27,CAN,CAN,71,190,2009,4,92,8475231.0
2019-2020,Casey Mittelstadt,BUF,F,376.0,376.0,207.0,,392.0,334.0,392.0,318.0,333.0,23.0,50.0,383.0,156.0,342.0,Fourth Line,31,395.56666666667,4,5,9,3.46,45.83,41.08,20,1998-11-22,USA,USA,73,195,2017,1,8,8479999.0
2019-2020,Cedric Paquette,TBL,F,343.0,43.0,,18.0,359.0,125.0,272.0,298.0,357.0,355.0,370.0,11.0,58.0,316.0,Fourth Line,61,796.26666666667,7,11,18,9.87,43.48,48.72,26,1993-08-13,CAN,CAN,72,205,2012,4,101,8476975.0
2019-2020,Chandler Stephenson,WSH,F,336.0,93.0,,38.0,132.0,132.0,423.0,365.0,271.0,215.0,256.0,279.0,153.0,345.0,Third Line,65,931.11666666667,11,15,26,8.17,64.62,56.55,25,1994-04-22,CAN,CAN,72,209,2012,3,77,8476905.0
2019-2020,Chandler Stephenson,VGK,F,336.0,93.0,,38.0,132.0,132.0,423.0,365.0,271.0,215.0,256.0,279.0,153.0,345.0,Third Line,65,931.11666666667,11,15,26,8.17,64.62,56.55,25,1994-04-22,CAN,CAN,72,209,2012,3,77,8476905.0
2019-2020,Charlie Coyle,BOS,F,162.0,48.0,236.0,2.0,219.0,37.0,182.0,197.0,106.0,174.0,77.0,209.0,119.0,166.0,Second Line,70,1175.2333333333,16,21,37,18.41,57.35,53.89,27,1992-03-02,USA,USA,75,223,2010,1,28,8475745.0
2019-2020,Chris Kreider,NYR,F,83.0,402.0,66.0,,110.0,381.0,84.0,50.0,197.0,313.0,365.0,99.0,,76.0,Second Line,63,1086.7333333333,24,21,45,20.16,60.71,44.52,28,1991-04-30,USA,USA,75,230,2009,1,19,8475184.0
2019-2020,Chris Tierney,OTT,F,294.0,388.0,227.0,152.0,204.0,400.0,390.0,393.0,102.0,350.0,190.0,357.0,64.0,194.0,Second Line,71,1220.4833333333,11,26,37,10.69,43.18,47.8,25,1994-07-01,CAN,CAN,73,191,2012,2,55,8476919.0
2019-2020,Chris Wagner,BOS,F,370.0,191.0,,123.0,398.0,138.0,217.0,322.0,394.0,416.0,330.0,18.0,97.0,361.0,Fourth Line,67,833.58333333333,6,4,10,8.93,42.86,48.11,28,1991-05-27,USA,USA,72,192,2010,5,122,8475780.0
2019-2020,Christian Dvorak,ARI,F,137.0,276.0,135.0,,109.0,298.0,271.0,195.0,90.0,142.0,306.0,295.0,41.0,161.0,Second Line,70,1168.7333333333,18,20,38,18.4,55.29,52.25,23,1996-02-02,USA,USA,73,193,2014,2,58,8477989.0
2019-2020,Christian Fischer,ARI,F,297.0,228.0,,,338.0,208.0,105.0,257.0,350.0,382.0,124.0,47.0,,340.0,Fourth Line,56,617.16666666667,6,3,9,7.26,48.72,48.77,22,1997-04-15,USA,USA,74,212,2015,2,32,8478432.0
2019-2020,Christoffer Ehn,DET,F,430.0,364.0,,15.0,427.0,335.0,424.0,421.0,420.0,304.0,26.0,137.0,159.0,423.0,Fourth Line,54,562.15,2,2,4,3.58,11.11,38.42,23,1996-04-05,SWE,SWE,75,195,2014,4,106,8478036.0
2019-2020,Claude Giroux,PHI,F,119.0,291.0,44.0,17.0,73.0,174.0,131.0,170.0,164.0,293.0,120.0,380.0,8.0,45.0,First Line,69,1309.95,21,32,53,16.11,54.22,53.94,31,1988-01-12,CAN,CAN,71,190,2006,1,22,8473512.0
2019-2020,Clayton Keller,ARI,F,126.0,328.0,120.0,,276.0,276.0,86.0,94.0,128.0,7.0,71.0,414.0,,117.0,Second Line,70,1140.6666666667,17,27,44,17.69,48.48,49.78,21,1998-07-29,USA,USA,70,178,2016,1,7,8479343.0
2019-2020,Cody Eakin,VGK,F,266.0,271.0,,122.0,228.0,257.0,346.0,260.0,179.0,123.0,103.0,219.0,74.0,284.0,Third Line,49,714.25,5,10,15,6.97,47.62,47.47,28,1991-05-24,CAN,CAN,72,196,2009,3,85,8475236.0
