Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,zon_rank,plm_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position
2012-2013,Alex Ovechkin,WSH,F,26.0,366.0,16.0,,148.0,325.0,1.0,2.0,135.0,85.0,27.0,124.0,,2.0,First Line,48,1002.45,32,13,26,1985-09-17,RUS,RUS,75,238,2004,1,1,1
2012-2013,Alex Tanguay,CGY,F,262.0,306.0,83.0,16.0,179.0,258.0,426.0,247.0,221.0,46.0,328.0,395.0,172.0,117.0,First Line,40,774.36666666667,11,10,32,1979-11-21,CAN,CAN,73,194,1998,1,12,12
2012-2013,Alexander Burmistrov,WPG,F,334.0,252.0,214.0,42.0,244.0,195.0,345.0,345.0,140.0,375.0,31.0,140.0,101.0,307.0,Second Line,44,688.15,4,3,20,1991-10-21,RUS,RUS,73,180,2010,1,8,8
2012-2013,Alexander Semin,CAR,F,6.0,413.0,36.0,,35.0,405.0,34.0,69.0,59.0,12.0,388.0,403.0,,34.0,First Line,44,921.48333333333,13,20,28,1984-03-03,RUS,RUS,74,211,2002,1,13,13
2012-2013,Alexander Steen,STL,F,34.0,96.0,47.0,38.0,69.0,58.0,27.0,98.0,196.0,109.0,125.0,365.0,166.0,50.0,First Line,40,759.68333333333,8,10,28,1984-03-01,CAN,SWE,72,211,2002,1,24,24
2012-2013,Alexandre Bolduc,PHX,F,311.0,288.0,,,363.0,400.0,129.0,362.0,245.0,381.0,33.0,63.0,183.0,399.0,Fringe,14,106.76666666667,0,0,27,1985-06-26,CAN,CAN,75,200,2003,4,26,127
2012-2013,Alexandre Burrows,VAN,F,56.0,102.0,114.0,62.0,49.0,48.0,87.0,53.0,2.0,228.0,298.0,256.0,,92.0,First Line,47,888.63333333333,13,7,31,1981-04-11,CAN,CAN,73,197,-,-,-,-
2012-2013,Alexei Ponikarovsky,"NJD, WPG",F,272.0,12.0,254.0,,202.0,7.0,239.0,277.0,155.0,346.0,319.0,97.0,,286.0,Bottom 6,42,552.66666666667,4,2,32,1980-04-09,UKR,UKR,76,225,1998,4,1,87
2012-2013,Andrei Loktionov,NJD,F,257.0,118.0,236.0,,171.0,73.0,203.0,224.0,53.0,326.0,135.0,431.0,127.0,280.0,Bottom 6,28,399.13333333333,8,3,22,1990-05-30,RUS,RUS,71,190,2008,5,2,123
2012-2013,Andrew Cogliano,ANA,F,260.0,276.0,259.0,60.0,225.0,229.0,297.0,191.0,338.0,256.0,26.0,268.0,175.0,217.0,Bottom 6,48,737.68333333333,13,6,25,1987-06-14,CAN,CAN,70,179,2005,1,25,25
2012-2013,Andrew Desjardins,SJS,F,247.0,62.0,,96.0,255.0,120.0,234.0,374.0,327.0,299.0,145.0,123.0,180.0,364.0,Bottom 6,42,425.2,2,1,26,1986-07-27,CAN,CAN,73,195,-,-,-,-
2012-2013,Andrew Ebbett,VAN,F,369.0,396.0,,,317.0,416.0,419.0,413.0,343.0,312.0,235.0,328.0,130.0,390.0,Bottom 6,28,345.06666666667,1,4,29,1983-01-02,CAN,CAN,69,174,-,-,-,-
2012-2013,Andrew Ladd,WPG,F,57.0,378.0,137.0,65.0,28.0,376.0,99.0,57.0,208.0,122.0,246.0,230.0,,44.0,First Line,48,944.66666666667,18,14,26,1985-12-12,CAN,CAN,75,205,2004,1,4,4
2012-2013,Andrew Shaw,CHI,F,298.0,131.0,243.0,,253.0,136.0,261.0,102.0,393.0,265.0,116.0,137.0,176.0,201.0,Bottom 6,48,722.46666666667,9,2,21,1991-07-20,CAN,CAN,71,182,2011,5,18,139
2012-2013,Andy McDonald,STL,F,85.0,231.0,96.0,,119.0,147.0,110.0,87.0,105.0,83.0,58.0,422.0,57.0,71.0,Second Line,37,638.4,7,9,35,1977-08-25,CAN,CAN,70,175,-,-,-,-
2012-2013,Antoine Roussel,DAL,F,136.0,369.0,,,234.0,415.0,192.0,71.0,378.0,182.0,385.0,51.0,,292.0,Bottom 6,39,366.58333333333,7,4,22,1989-11-21,FRA,FRA,71,200,-,-,-,-
2012-2013,Antoine Vermette,PHX,F,191.0,256.0,152.0,41.0,122.0,314.0,258.0,171.0,192.0,268.0,237.0,219.0,8.0,160.0,First Line,48,875.8,13,3,30,1982-07-20,CAN,CAN,73,197,2000,2,25,55
2012-2013,Antti Miettinen,WPG,F,351.0,391.0,264.0,222.0,283.0,381.0,269.0,236.0,213.0,396.0,249.0,198.0,,298.0,Bottom 6,22,278.28333333333,3,0,32,1980-07-03,FIN,FIN,72,190,2000,7,27,224
2012-2013,Anze Kopitar,LAK,F,54.0,46.0,59.0,46.0,18.0,25.0,180.0,190.0,187.0,41.0,73.0,280.0,35.0,35.0,First Line,47,962.51666666667,10,18,25,1987-08-24,SVN,SVN,75,225,2005,1,11,11
2012-2013,Arron Asham,NYR,F,371.0,133.0,,,375.0,101.0,356.0,329.0,251.0,327.0,378.0,39.0,,403.0,Fringe,27,179.08333333333,2,0,34,1978-04-13,CAN,CAN,71,210,1996,3,19,71
2012-2013,Artem Anisimov,CBJ,F,199.0,84.0,143.0,3.0,232.0,146.0,183.0,99.0,307.0,247.0,190.0,331.0,84.0,147.0,Second Line,35,574.3,11,4,24,1988-05-24,RUS,RUS,76,199,2006,2,24,54
2012-2013,B.J. Crombeen,TBL,F,288.0,116.0,,149.0,382.0,52.0,178.0,406.0,392.0,291.0,416.0,174.0,,386.0,Bottom 6,44,487.63333333333,1,5,27,1985-07-10,USA,USA,74,209,2003,2,24,54
2012-2013,Beau Bennett,PIT,F,246.0,287.0,197.0,,263.0,311.0,334.0,318.0,37.0,186.0,316.0,216.0,,242.0,Bottom 6,26,319.86666666667,3,4,20,1991-11-27,USA,USA,74,195,2010,1,20,20
2012-2013,Ben Eager,EDM,F,380.0,425.0,,,400.0,433.0,224.0,319.0,292.0,392.0,430.0,29.0,,367.0,Bottom 6,14,135.23333333333,1,0,28,1984-01-22,CAN,CAN,74,226,2002,1,23,23
2012-2013,Benoit Pouliot,TBL,F,97.0,198.0,141.0,,86.0,184.0,137.0,77.0,186.0,115.0,139.0,180.0,,207.0,Bottom 6,34,450.03333333333,8,6,25,1986-09-29,CAN,CAN,75,200,2005,1,4,4
2012-2013,Blair Jones,CGY,F,326.0,239.0,,,267.0,306.0,167.0,392.0,248.0,401.0,338.0,141.0,117.0,353.0,Bottom 6,15,161.13333333333,0,0,25,1986-09-27,CAN,CAN,74,216,2005,4,11,102
2012-2013,Blake Comeau,"CBJ, CGY",F,274.0,350.0,268.0,37.0,305.0,264.0,252.0,304.0,167.0,275.0,376.0,91.0,,276.0,Bottom 6,42,510.53333333333,6,4,26,1986-02-18,CAN,CAN,73,200,2004,2,17,47
2012-2013,Blake Wheeler,WPG,F,28.0,325.0,58.0,211.0,23.0,397.0,96.0,63.0,211.0,22.0,162.0,205.0,,46.0,First Line,48,902.41666666667,19,16,26,1986-08-31,USA,USA,77,220,2004,1,5,5
2012-2013,Bobby Butler,"NJD, NSH",F,220.0,237.0,215.0,,174.0,178.0,165.0,218.0,61.0,189.0,35.0,311.0,,281.0,Bottom 6,34,367.31666666667,4,4,25,1987-04-26,USA,USA,72,189,-,-,-,-
2012-2013,Bobby Ryan,ANA,F,88.0,339.0,40.0,224.0,130.0,333.0,101.0,66.0,127.0,74.0,50.0,187.0,,70.0,Second Line,46,762.91666666667,11,11,25,1987-03-17,USA,USA,74,208,2005,1,2,2
2012-2013,Boyd Gordon,PHX,F,251.0,83.0,,74.0,209.0,161.0,353.0,384.0,425.0,236.0,198.0,355.0,5.0,254.0,Bottom 6,48,720.53333333333,4,8,28,1983-10-19,CAN,CAN,72,200,2002,1,17,17
2012-2013,Brad Boyes,NYI,F,152.0,310.0,17.0,,68.0,255.0,200.0,205.0,62.0,73.0,223.0,321.0,167.0,140.0,First Line,48,874.11666666667,10,16,30,1982-04-17,CAN,CAN,72,199,2000,1,24,24
2012-2013,Brad Malone,COL,F,411.0,185.0,,,374.0,280.0,359.0,394.0,139.0,427.0,427.0,8.0,137.0,405.0,Bottom 6,13,114.25,1,0,23,1989-05-20,CAN,CAN,74,217,2007,4,14,105
2012-2013,Brad Marchand,BOS,F,44.0,167.0,211.0,2.0,5.0,98.0,163.0,47.0,284.0,125.0,112.0,277.0,,87.0,Second Line,45,763.4,18,12,24,1988-05-11,CAN,CAN,69,176,2006,3,8,71
2012-2013,Brad Richards,NYR,F,78.0,241.0,51.0,,27.0,307.0,100.0,138.0,38.0,44.0,192.0,390.0,56.0,37.0,First Line,46,865.66666666667,11,14,32,1980-05-02,CAN,CAN,72,199,1998,3,6,64
2012-2013,Brad Richardson,LAK,F,118.0,157.0,,207.0,173.0,99.0,84.0,262.0,31.0,184.0,185.0,158.0,163.0,300.0,Bottom 6,16,174.38333333333,1,2,27,1985-02-04,CAN,CAN,72,190,2003,5,27,163
2012-2013,Brad Staubitz,ANA,F,426.0,202.0,,,432.0,299.0,432.0,380.0,45.0,356.0,431.0,9.0,,422.0,Fringe,15,93.216666666667,1,1,28,1984-07-28,CAN,CAN,73,207,-,-,-,-
2012-2013,Brandon Bollig,CHI,F,316.0,35.0,,,368.0,26.0,39.0,430.0,72.0,417.0,422.0,45.0,,409.0,Fringe,25,200.31666666667,0,0,25,1987-01-31,USA,USA,74,220,-,-,-,-
2012-2013,Brandon Dubinsky,CBJ,F,177.0,130.0,92.0,28.0,111.0,105.0,263.0,296.0,354.0,66.0,282.0,103.0,21.0,133.0,First Line,29,533.76666666667,2,10,26,1986-04-29,USA,USA,74,208,2004,2,30,60
2012-2013,Brandon Prust,MTL,F,243.0,146.0,,35.0,143.0,187.0,409.0,337.0,364.0,176.0,391.0,72.0,,306.0,Bottom 6,38,518.11666666667,5,8,28,1984-03-16,CAN,CAN,72,195,2004,3,5,70
2012-2013,Brandon Saad,CHI,F,37.0,91.0,201.0,106.0,32.0,50.0,164.0,179.0,181.0,97.0,127.0,301.0,,156.0,Second Line,46,757.21666666667,10,11,19,1992-10-27,USA,USA,73,215,2011,2,13,43
2012-2013,Brandon Sutter,PIT,F,245.0,315.0,250.0,50.0,290.0,393.0,254.0,217.0,412.0,277.0,55.0,342.0,75.0,176.0,Second Line,48,787.5,11,5,23,1989-02-14,USA,CAN,75,190,2007,1,11,11
2012-2013,Brandon Yip,NSH,F,378.0,273.0,266.0,,405.0,198.0,299.0,352.0,286.0,301.0,370.0,138.0,,349.0,Bottom 6,34,409.36666666667,3,3,27,1985-04-25,CAN,CAN,73,198,2004,8,12,239
2012-2013,Brayden Schenn,PHI,F,218.0,365.0,167.0,,93.0,392.0,209.0,170.0,172.0,180.0,86.0,81.0,121.0,198.0,Second Line,47,729.86666666667,8,11,21,1991-08-22,CAN,CAN,73,199,2009,1,5,5
2012-2013,Brendan Gallagher,MTL,F,2.0,11.0,190.0,,11.0,107.0,12.0,8.0,18.0,50.0,141.0,236.0,,78.0,Bottom 6,44,609.96666666667,15,8,20,1992-05-06,CAN,CAN,69,186,2010,5,27,147
2012-2013,Brenden Morrow,"DAL, PIT",F,304.0,370.0,112.0,,293.0,334.0,323.0,97.0,342.0,205.0,348.0,106.0,,167.0,Bottom 6,44,653.93333333333,12,8,33,1979-01-16,CAN,CAN,71,212,1997,1,25,25
2012-2013,Brian Boyle,NYR,F,212.0,119.0,255.0,66.0,110.0,226.0,153.0,267.0,421.0,358.0,269.0,28.0,32.0,222.0,Bottom 6,38,540.21666666667,2,2,27,1984-12-18,USA,USA,78,245,2003,1,26,26
2012-2013,Brian Flynn,BUF,F,352.0,50.0,,,410.0,122.0,187.0,203.0,244.0,382.0,78.0,406.0,,185.0,Bottom 6,26,381.68333333333,6,2,24,1988-07-26,USA,USA,73,185,-,-,-,-
2012-2013,Brian Gionta,MTL,F,87.0,196.0,142.0,218.0,128.0,176.0,109.0,90.0,324.0,156.0,52.0,303.0,,105.0,First Line,48,869.91666666667,14,8,33,1979-01-18,USA,USA,67,178,1998,3,24,82
2012-2013,Brian McGrattan,"CGY, NSH",F,410.0,254.0,,,411.0,279.0,336.0,359.0,104.0,410.0,424.0,35.0,,418.0,Fringe,21,149.18333333333,3,0,30,1981-09-02,CAN,CAN,76,235,1999,4,8,104
2012-2013,Bryan Bickell,CHI,F,164.0,152.0,273.0,,250.0,113.0,188.0,238.0,276.0,169.0,153.0,77.0,,233.0,Bottom 6,48,614.66666666667,9,8,26,1986-03-09,CAN,CAN,76,223,2004,2,11,41
2012-2013,Bryan Little,WPG,F,121.0,395.0,128.0,83.0,47.0,402.0,304.0,201.0,321.0,84.0,43.0,376.0,70.0,127.0,First Line,48,950.35,7,17,24,1987-11-12,CAN,CAN,72,191,2006,1,12,12
2012-2013,Cal Clutterbuck,MIN,F,261.0,111.0,239.0,11.0,390.0,67.0,80.0,234.0,386.0,272.0,199.0,20.0,,216.0,Bottom 6,42,576.85,4,4,24,1987-11-18,CAN,CAN,72,212,2006,3,9,72
2012-2013,Cam Atkinson,CBJ,F,39.0,67.0,177.0,,183.0,131.0,45.0,58.0,395.0,87.0,367.0,304.0,,118.0,Second Line,35,545.51666666667,9,7,23,1989-06-05,USA,USA,68,176,2008,6,6,157
2012-2013,Carl Hagelin,NYR,F,36.0,274.0,247.0,,24.0,243.0,91.0,146.0,275.0,124.0,83.0,248.0,,131.0,Second Line,48,830.81666666667,10,9,24,1988-08-23,SWE,SWE,72,183,2007,6,17,168
2012-2013,Casey Cizikas,NYI,F,297.0,171.0,,,233.0,320.0,350.0,212.0,299.0,211.0,380.0,93.0,133.0,314.0,Bottom 6,45,485.4,6,5,21,1991-02-27,CAN,CAN,71,190,2009,4,1,92
2012-2013,Chad LaRose,CAR,F,142.0,421.0,210.0,227.0,78.0,417.0,57.0,145.0,226.0,363.0,295.0,117.0,,221.0,Bottom 6,35,449.66666666667,2,0,30,1982-03-27,USA,USA,70,181,-,-,-,-
2012-2013,Charlie Coyle,MIN,F,270.0,44.0,,,125.0,13.0,360.0,227.0,49.0,304.0,67.0,201.0,,283.0,Bottom 6,37,557.31666666667,8,5,20,1992-03-02,USA,USA,75,223,2010,1,28,28
2012-2013,Chris Bourque,BOS,F,404.0,97.0,183.0,,328.0,124.0,257.0,364.0,99.0,378.0,358.0,159.0,,333.0,Bottom 6,18,217.36666666667,1,1,26,1986-01-29,USA,USA,68,174,2004,2,3,33
2012-2013,Chris Conner,PHX,F,145.0,277.0,,,74.0,384.0,206.0,286.0,22.0,259.0,18.0,200.0,,332.0,Bottom 6,12,136.5,1,1,28,1983-12-23,USA,USA,67,181,-,-,-,-
2012-2013,Chris Higgins,VAN,F,141.0,208.0,235.0,10.0,153.0,270.0,134.0,111.0,295.0,287.0,183.0,260.0,,154.0,Second Line,41,673.05,10,2,29,1983-06-02,USA,USA,72,205,2002,1,14,14
2012-2013,Chris Kelly,BOS,F,313.0,73.0,,31.0,243.0,96.0,355.0,285.0,410.0,294.0,137.0,228.0,26.0,248.0,Bottom 6,34,509.08333333333,3,3,31,1980-11-11,CAN,CAN,72,190,1999,3,28,94
2012-2013,Chris Kreider,NYR,F,425.0,375.0,,,436.0,346.0,385.0,358.0,152.0,395.0,171.0,94.0,,404.0,Bottom 6,23,232.56666666667,2,1,21,1991-04-30,USA,USA,75,230,2009,1,19,19
2012-2013,Chris Kunitz,PIT,F,25.0,284.0,41.0,,4.0,200.0,112.0,20.0,125.0,39.0,250.0,135.0,,41.0,First Line,48,865.06666666667,22,17,32,1979-09-26,CAN,CAN,72,188,-,-,-,-
2012-2013,Chris Mueller,NSH,F,335.0,63.0,,,341.0,263.0,259.0,193.0,435.0,394.0,413.0,243.0,135.0,291.0,Bottom 6,18,192.71666666667,2,1,26,1986-03-06,USA,USA,71,196,-,-,-,-
2012-2013,Chris Neil,OTT,F,210.0,228.0,209.0,,159.0,168.0,147.0,237.0,173.0,283.0,414.0,11.0,,278.0,Bottom 6,48,665.41666666667,4,4,33,1979-06-18,CAN,CAN,73,209,1998,6,16,161
2012-2013,Chris Porter,STL,F,227.0,107.0,,,350.0,38.0,148.0,324.0,81.0,264.0,53.0,50.0,,351.0,Bottom 6,29,337.43333333333,2,4,28,1984-05-29,CAN,CAN,73,206,2003,9,21,282
2012-2013,Chris Stewart,STL,F,155.0,307.0,48.0,,214.0,237.0,125.0,55.0,65.0,123.0,322.0,235.0,,106.0,Second Line,48,759.3,18,10,24,1987-10-30,CAN,CAN,74,242,2006,1,18,18
2012-2013,Chris Thorburn,WPG,F,375.0,45.0,,220.0,344.0,145.0,406.0,389.0,357.0,316.0,398.0,32.0,190.0,392.0,Fringe,42,265.6,2,2,29,1983-06-03,CAN,CAN,75,235,2001,2,20,50
2012-2013,Chuck Kobasew,COL,F,324.0,247.0,,140.0,388.0,303.0,306.0,251.0,176.0,315.0,225.0,215.0,,324.0,Bottom 6,37,416.98333333333,5,3,30,1982-04-17,CAN,CAN,72,192,2001,1,14,14
2012-2013,Clarke MacArthur,TOR,F,148.0,356.0,156.0,,102.0,265.0,215.0,124.0,241.0,141.0,222.0,245.0,,159.0,Bottom 6,40,596.36666666667,8,6,27,1985-04-06,CAN,CAN,72,192,2003,3,6,74
2012-2013,Claude Giroux,PHI,F,21.0,349.0,4.0,44.0,41.0,336.0,114.0,121.0,281.0,4.0,6.0,291.0,22.0,9.0,First Line,48,1016.2333333333,13,22,24,1988-01-12,CAN,CAN,71,190,2006,1,22,22
2012-2013,Cody Eakin,DAL,F,264.0,272.0,249.0,191.0,332.0,278.0,307.0,276.0,171.0,254.0,279.0,231.0,168.0,279.0,Bottom 6,48,724.06666666667,7,9,21,1991-05-24,CAN,CAN,72,196,2009,3,24,85
2012-2013,Cody Hodgson,BUF,F,168.0,415.0,171.0,195.0,257.0,421.0,146.0,103.0,306.0,105.0,132.0,389.0,123.0,121.0,First Line,48,883.11666666667,15,13,22,1990-02-18,CAN,CAN,72,191,2008,1,10,10
2012-2013,Cody McLeod,COL,F,300.0,191.0,,188.0,300.0,151.0,189.0,195.0,85.0,388.0,417.0,46.0,,350.0,Bottom 6,48,628.25,8,2,28,1984-06-26,CAN,CAN,74,204,-,-,-,-
2012-2013,Colby Armstrong,MTL,F,419.0,103.0,,145.0,403.0,78.0,412.0,411.0,223.0,406.0,16.0,161.0,,387.0,Bottom 6,37,414.48333333333,2,2,29,1982-11-23,CAN,CAN,74,185,2001,1,21,21
2012-2013,Colin Fraser,LAK,F,386.0,28.0,,177.0,392.0,51.0,410.0,381.0,169.0,313.0,247.0,47.0,96.0,398.0,Bottom 6,34,318.6,2,4,27,1985-01-28,CAN,CAN,73,190,2003,3,1,69
2012-2013,Colin Greening,OTT,F,132.0,338.0,203.0,,54.0,357.0,128.0,125.0,118.0,212.0,155.0,79.0,,174.0,Bottom 6,47,692.3,8,6,26,1986-03-09,CAN,CAN,74,210,2005,7,10,204
2012-2013,Colin McDonald,NYI,F,81.0,426.0,,,92.0,414.0,68.0,107.0,379.0,181.0,195.0,38.0,,252.0,Bottom 6,45,511.81666666667,7,5,27,1984-09-30,USA,USA,74,219,2003,2,21,51
2012-2013,Colin Wilson,NSH,F,242.0,68.0,118.0,,199.0,31.0,371.0,135.0,212.0,76.0,108.0,378.0,,166.0,Second Line,25,414.16666666667,7,8,22,1989-10-20,USA,USA,73,215,2008,1,7,7
2012-2013,Colton Gillies,CBJ,F,433.0,77.0,,,435.0,140.0,420.0,429.0,296.0,411.0,381.0,27.0,,410.0,Fringe,27,224.05,1,1,23,1989-02-12,CAN,CAN,76,208,2007,1,16,16
2012-2013,Colton Orr,TOR,F,434.0,318.0,,,433.0,363.0,435.0,419.0,153.0,416.0,436.0,14.0,,431.0,Fringe,44,281.16666666667,1,2,30,1982-03-03,CAN,CAN,75,222,-,-,-,-
2012-2013,Corey Perry,ANA,F,63.0,285.0,18.0,56.0,100.0,230.0,55.0,19.0,272.0,68.0,333.0,288.0,,22.0,First Line,44,839.06666666667,15,13,27,1985-05-16,CAN,CAN,75,208,2003,1,28,28
2012-2013,Cory Conacher,"OTT, TBL",F,135.0,402.0,199.0,,161.0,348.0,319.0,169.0,36.0,119.0,8.0,282.0,,203.0,Bottom 6,47,656.76666666667,11,9,22,1989-12-14,CAN,CAN,68,185,-,-,-,-
2012-2013,Cory Emmerton,DET,F,387.0,60.0,,162.0,386.0,106.0,276.0,322.0,10.0,419.0,140.0,284.0,119.0,374.0,Bottom 6,48,518.95,5,1,24,1988-06-01,CAN,CAN,72,191,2006,2,11,41
2012-2013,Craig Adams,PIT,F,381.0,14.0,,23.0,401.0,30.0,372.0,404.0,293.0,343.0,118.0,57.0,171.0,346.0,Bottom 6,48,535.76666666667,3,3,35,1977-04-26,BRN,CAN,72,200,1996,9,8,223
2012-2013,Craig Smith,NSH,F,189.0,232.0,170.0,,326.0,204.0,72.0,189.0,312.0,179.0,372.0,292.0,124.0,214.0,Bottom 6,44,609.7,4,5,22,1989-09-05,USA,USA,72,204,2009,4,7,98
2012-2013,Curtis Glencross,CGY,F,182.0,323.0,155.0,9.0,198.0,260.0,233.0,51.0,230.0,217.0,251.0,238.0,,95.0,First Line,40,729.41666666667,15,7,29,1982-12-28,CAN,CAN,73,197,-,-,-,-
2012-2013,Dainius Zubrus,NJD,F,361.0,8.0,248.0,120.0,212.0,2.0,421.0,361.0,189.0,160.0,273.0,224.0,165.0,239.0,Second Line,22,369.26666666667,2,5,34,1978-06-16,LTU,LTU,77,225,1996,1,15,15
2012-2013,Dale Weise,VAN,F,406.0,253.0,,,413.0,284.0,362.0,368.0,427.0,383.0,203.0,42.0,,402.0,Bottom 6,40,382.21666666667,3,2,24,1988-08-05,CAN,CAN,74,196,2008,4,20,111
2012-2013,Damien Brunner,DET,F,59.0,419.0,179.0,,43.0,411.0,22.0,62.0,44.0,30.0,336.0,387.0,,116.0,Second Line,44,685.9,12,12,26,1986-03-09,CHE,CHE,71,185,-,-,-,-
2012-2013,Dana Tyrell,TBL,F,323.0,154.0,,206.0,336.0,138.0,358.0,410.0,329.0,244.0,36.0,199.0,,389.0,Bottom 6,21,217.4,1,2,23,1989-04-23,CAN,CAN,70,192,2007,2,17,47
2012-2013,Daniel Alfredsson,OTT,F,181.0,236.0,107.0,17.0,72.0,201.0,195.0,153.0,51.0,148.0,163.0,356.0,,96.0,First Line,47,909.43333333333,10,9,39,1972-12-11,SWE,SWE,71,203,1994,6,3,133
2012-2013,Daniel Briere,PHI,F,110.0,412.0,90.0,,116.0,356.0,60.0,74.0,77.0,100.0,98.0,364.0,80.0,99.0,Second Line,34,546.03333333333,6,4,34,1977-10-06,CAN,CAN,69,174,1996,1,24,24
2012-2013,Daniel Carcillo,CHI,F,283.0,89.0,,,226.0,91.0,285.0,316.0,21.0,288.0,350.0,48.0,,371.0,Bottom 6,23,206.9,2,1,27,1985-01-28,CAN,CAN,72,200,2003,3,5,73
2012-2013,Daniel Cleary,DET,F,139.0,125.0,126.0,75.0,91.0,72.0,102.0,127.0,117.0,340.0,307.0,222.0,,165.0,Second Line,48,789.28333333333,9,1,33,1978-12-18,CAN,CAN,73,205,1997,1,13,13
2012-2013,Daniel Paille,BOS,F,213.0,203.0,,117.0,277.0,174.0,250.0,157.0,243.0,202.0,146.0,234.0,,287.0,Bottom 6,46,583.4,10,6,28,1984-04-15,CAN,CAN,73,188,2002,1,20,20
2012-2013,Daniel Sedin,VAN,F,13.0,128.0,39.0,,20.0,40.0,37.0,56.0,1.0,21.0,216.0,421.0,,25.0,First Line,47,894.0,12,16,31,1980-09-26,SWE,SWE,73,190,1999,1,2,2
2012-2013,Daniel Winnik,ANA,F,201.0,124.0,,33.0,246.0,157.0,166.0,350.0,373.0,328.0,233.0,244.0,,202.0,Second Line,48,807.68333333333,6,5,27,1985-03-06,CAN,CAN,74,210,2004,9,7,265
2012-2013,Dany Heatley,MIN,F,244.0,257.0,22.0,214.0,220.0,232.0,131.0,75.0,237.0,137.0,179.0,323.0,,72.0,First Line,36,667.21666666667,11,7,31,1981-01-21,DEU,CAN,75,212,2000,1,2,2
2012-2013,Darroll Powe,"MIN, NYR",F,413.0,78.0,,24.0,415.0,199.0,392.0,423.0,376.0,412.0,252.0,58.0,,383.0,Bottom 6,42,377.91666666667,0,0,27,1985-06-22,CAN,CAN,71,212,-,-,-,-
2012-2013,Dave Bolland,CHI,F,359.0,184.0,134.0,194.0,340.0,253.0,351.0,223.0,383.0,209.0,342.0,266.0,104.0,195.0,Second Line,35,571.8,7,6,26,1986-06-05,CAN,CAN,72,188,2004,2,2,32
2012-2013,Dave Dziurzynski,OTT,F,292.0,428.0,,,324.0,430.0,160.0,182.0,384.0,379.0,420.0,59.0,,329.0,Bottom 6,12,150.58333333333,2,0,22,1989-10-06,CAN,CAN,75,224,-,-,-,-
