Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,zon_rank,plm_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position
2012-2013,Aaron Palushaj,COL,F,223.0,121.0,,,118.0,209.0,232.0,403.0,362.0,302.0,7.0,172.0,,354.0,Bottom 6,25,282.88333333333,2,3,22,1989-09-07,USA,USA,72,187,2007,2,14,44
2012-2013,Aaron Volpatti,"VAN, WSH",F,420.0,144.0,,,408.0,143.0,388.0,417.0,417.0,413.0,410.0,12.0,,421.0,Fringe,33,275.13333333333,1,1,27,1985-05-30,CAN,CAN,72,215,-,-,-,-
2012-2013,Adam Burish,SJS,F,379.0,149.0,,59.0,359.0,182.0,342.0,397.0,419.0,384.0,76.0,155.0,40.0,343.0,Bottom 6,46,486.2,1,1,29,1983-01-06,USA,USA,73,195,2002,9,22,282
2012-2013,Adam Cracknell,STL,F,163.0,51.0,,,310.0,104.0,177.0,211.0,131.0,120.0,374.0,126.0,184.0,335.0,Bottom 6,20,172.28333333333,2,2,27,1985-07-15,CAN,CAN,74,209,2004,9,21,279
2012-2013,Adam Hall,"CAR, PHI, TBL",F,346.0,48.0,,81.0,402.0,70.0,320.0,418.0,434.0,306.0,110.0,99.0,16.0,366.0,Bottom 6,37,389.68333333333,0,3,32,1980-08-14,USA,USA,74,212,1999,2,24,52
2012-2013,Adam Henrique,NJD,F,305.0,22.0,175.0,95.0,189.0,27.0,309.0,181.0,274.0,237.0,122.0,313.0,115.0,150.0,First Line,42,769.36666666667,11,5,22,1990-02-06,CAN,CAN,72,195,2008,3,21,82
2012-2013,Ales Hemsky,EDM,F,166.0,429.0,135.0,,210.0,420.0,156.0,172.0,239.0,130.0,291.0,408.0,,132.0,Second Line,38,596.73333333333,9,5,29,1983-08-13,CZE,CZE,72,177,2001,1,13,13
2012-2013,Alex Galchenyuk,MTL,F,17.0,150.0,191.0,,87.0,234.0,136.0,106.0,34.0,3.0,402.0,341.0,,188.0,Bottom 6,48,591.4,9,14,18,1994-02-12,USA,USA,73,194,2012,1,3,3
2012-2013,Alex Killorn,TBL,F,175.0,217.0,200.0,113.0,296.0,250.0,175.0,261.0,242.0,198.0,315.0,276.0,,164.0,Second Line,38,639.11666666667,7,7,22,1989-09-14,CAN,CAN,73,194,2007,3,16,77
2012-2013,Alex Kovalev,FLA,F,332.0,293.0,178.0,,294.0,172.0,255.0,244.0,138.0,257.0,375.0,405.0,,224.0,Second Line,14,218.58333333333,2,2,39,1973-02-24,RUS,RUS,74,222,1991,1,15,15
